variable,estimate,lci,uci,type,est_ci,sex
htn_screened,64.8,64.5,65.1,Proportion,"64.8 (64.5, 65.1)",NA
htn_disease,28.8,28.6,28.9,Proportion,"28.8 (28.6, 28.9)",NA
htn_diagnosed,11.3,11.1,11.4,Proportion,"11.3 (11.1, 11.4)",NA
htn_treated,6.6,6.5,6.7,Proportion,"6.6 (6.5, 6.7)",NA
htn_controlled,5.8,5.7,6,Proportion,"5.8 (5.7, 6)",NA
htn_screened,70.5,70.2,70.8,Proportion,"70.5 (70.2, 70.8)",Female
htn_disease,26.3,26.1,26.5,Proportion,"26.3 (26.1, 26.5)",Female
htn_diagnosed,12,11.8,12.2,Proportion,"12 (11.8, 12.2)",Female
htn_treated,6.8,6.6,6.9,Proportion,"6.8 (6.6, 6.9)",Female
htn_controlled,6.7,6.6,6.9,Proportion,"6.7 (6.6, 6.9)",Female
htn_screened,58.8,58.5,59.2,Proportion,"58.8 (58.5, 59.2)",Male
htn_disease,31.4,31.1,31.6,Proportion,"31.4 (31.1, 31.6)",Male
htn_diagnosed,10.4,10.3,10.6,Proportion,"10.4 (10.3, 10.6)",Male
htn_treated,6.4,6.3,6.6,Proportion,"6.4 (6.3, 6.6)",Male
htn_controlled,4.9,4.8,5,Proportion,"4.9 (4.8, 5)",Male
