state,residence,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,zone
1,Rural,htn_screened,88.1,86.3,89.8,Proportion,"88.1 (86.3, 89.8)",10592,,NA,Jammu & Kashmir,North
1,Rural,htn_diagnosed,46.9,43.7,50.1,Proportion,"46.9 (43.7, 50.1)",10592,,NA,Jammu & Kashmir,North
1,Urban,htn_screened,87.2,82.8,91.6,Proportion,"87.2 (82.8, 91.6)",2618,,NA,Jammu & Kashmir,North
1,Urban,htn_diagnosed,58.2,52.6,63.9,Proportion,"58.2 (52.6, 63.9)",2618,,NA,Jammu & Kashmir,North
2,Rural,htn_screened,83.6,81.8,85.5,Proportion,"83.6 (81.8, 85.5)",6960,,NA,Himachal Pradesh,North
2,Rural,htn_diagnosed,44.1,41.3,46.9,Proportion,"44.1 (41.3, 46.9)",6960,,NA,Himachal Pradesh,North
2,Urban,htn_screened,88.7,85,92.4,Proportion,"88.7 (85, 92.4)",661,,NA,Himachal Pradesh,North
2,Urban,htn_diagnosed,48.5,41.3,55.7,Proportion,"48.5 (41.3, 55.7)",661,,NA,Himachal Pradesh,North
3,Rural,htn_screened,83.6,82,85.3,Proportion,"83.6 (82, 85.3)",16117,,NA,Punjab,North
3,Rural,htn_diagnosed,41.1,38.9,43.4,Proportion,"41.1 (38.9, 43.4)",16117,,NA,Punjab,North
3,Urban,htn_screened,87.1,84.9,89.4,Proportion,"87.1 (84.9, 89.4)",6735,,NA,Punjab,North
3,Urban,htn_diagnosed,42.3,38.6,46.1,Proportion,"42.3 (38.6, 46.1)",6735,,NA,Punjab,North
4,Rural,htn_screened,97.6,97.4,97.8,Proportion,"97.6 (97.4, 97.8)",21,,NA,Chandigarh,North
4,Rural,htn_diagnosed,6.2,5.8,6.6,Proportion,"6.2 (5.8, 6.6)",21,,NA,Chandigarh,North
4,Urban,htn_screened,85.4,78.4,92.5,Proportion,"85.4 (78.4, 92.5)",487,,NA,Chandigarh,North
4,Urban,htn_diagnosed,38.2,25.3,51,Proportion,"38.2 (25.3, 51)",487,,NA,Chandigarh,North
5,Rural,htn_screened,74.7,72.2,77.3,Proportion,"74.7 (72.2, 77.3)",7535,,NA,Uttarakhand,Central
5,Rural,htn_diagnosed,30.2,27.8,32.6,Proportion,"30.2 (27.8, 32.6)",7535,,NA,Uttarakhand,Central
5,Urban,htn_screened,81.5,77.1,85.9,Proportion,"81.5 (77.1, 85.9)",1858,,NA,Uttarakhand,Central
5,Urban,htn_diagnosed,38.2,33.7,42.7,Proportion,"38.2 (33.7, 42.7)",1858,,NA,Uttarakhand,Central
6,Rural,htn_screened,80,78.4,81.5,Proportion,"80 (78.4, 81.5)",10814,,NA,Haryana,North
6,Rural,htn_diagnosed,39.1,36.5,41.8,Proportion,"39.1 (36.5, 41.8)",10814,,NA,Haryana,North
6,Urban,htn_screened,82.3,80.2,84.4,Proportion,"82.3 (80.2, 84.4)",5180,,NA,Haryana,North
6,Urban,htn_diagnosed,41,37.2,44.7,Proportion,"41 (37.2, 44.7)",5180,,NA,Haryana,North
7,Rural,htn_screened,82,73.4,90.5,Proportion,"82 (73.4, 90.5)",257,,NA,Nct Of Delhi,North
7,Rural,htn_diagnosed,39.7,24.9,54.6,Proportion,"39.7 (24.9, 54.6)",257,,NA,Nct Of Delhi,North
7,Urban,htn_screened,84.4,82.8,86,Proportion,"84.4 (82.8, 86)",7239,,NA,Nct Of Delhi,North
7,Urban,htn_diagnosed,32.2,30.1,34.3,Proportion,"32.2 (30.1, 34.3)",7239,,NA,Nct Of Delhi,North
8,Rural,htn_screened,67.4,65.4,69.5,Proportion,"67.4 (65.4, 69.5)",16813,,NA,Rajasthan,North
8,Rural,htn_diagnosed,33.5,31,36,Proportion,"33.5 (31, 36)",16813,,NA,Rajasthan,North
8,Urban,htn_screened,79.8,77.2,82.3,Proportion,"79.8 (77.2, 82.3)",5550,,NA,Rajasthan,North
8,Urban,htn_diagnosed,42.5,38.2,46.9,Proportion,"42.5 (38.2, 46.9)",5550,,NA,Rajasthan,North
9,Rural,htn_screened,73.8,72.7,74.9,Proportion,"73.8 (72.7, 74.9)",43070,,NA,Uttar Pradesh,Central
9,Rural,htn_diagnosed,37.9,36.4,39.5,Proportion,"37.9 (36.4, 39.5)",43070,,NA,Uttar Pradesh,Central
9,Urban,htn_screened,77.8,75.7,80,Proportion,"77.8 (75.7, 80)",11736,,NA,Uttar Pradesh,Central
9,Urban,htn_diagnosed,33.8,31,36.6,Proportion,"33.8 (31, 36.6)",11736,,NA,Uttar Pradesh,Central
10,Rural,htn_screened,79.4,78.1,80.7,Proportion,"79.4 (78.1, 80.7)",19083,,NA,Bihar,East
10,Rural,htn_diagnosed,54,51.9,56.1,Proportion,"54 (51.9, 56.1)",19083,,NA,Bihar,East
10,Urban,htn_screened,86.6,84.2,89,Proportion,"86.6 (84.2, 89)",2673,,NA,Bihar,East
10,Urban,htn_diagnosed,61.6,56.3,66.8,Proportion,"61.6 (56.3, 66.8)",2673,,NA,Bihar,East
11,Rural,htn_screened,76.6,73.1,80.1,Proportion,"76.6 (73.1, 80.1)",3309,,NA,Sikkim,North East
11,Rural,htn_diagnosed,27.3,24.1,30.6,Proportion,"27.3 (24.1, 30.6)",3309,,NA,Sikkim,North East
11,Urban,htn_screened,84.4,79.1,89.7,Proportion,"84.4 (79.1, 89.7)",478,,NA,Sikkim,North East
11,Urban,htn_diagnosed,42,33.2,50.9,Proportion,"42 (33.2, 50.9)",478,,NA,Sikkim,North East
12,Rural,htn_screened,70.3,67.9,72.7,Proportion,"70.3 (67.9, 72.7)",13349,,NA,Arunachal Pradesh,North East
12,Rural,htn_diagnosed,28.2,25.9,30.6,Proportion,"28.2 (25.9, 30.6)",13349,,NA,Arunachal Pradesh,North East
12,Urban,htn_screened,77.4,71.5,83.2,Proportion,"77.4 (71.5, 83.2)",3430,,NA,Arunachal Pradesh,North East
12,Urban,htn_diagnosed,36.3,30.2,42.3,Proportion,"36.3 (30.2, 42.3)",3430,,NA,Arunachal Pradesh,North East
13,Rural,htn_screened,65.9,62.4,69.4,Proportion,"65.9 (62.4, 69.4)",5759,,NA,Nagaland,North East
13,Rural,htn_diagnosed,32.9,29.4,36.5,Proportion,"32.9 (29.4, 36.5)",5759,,NA,Nagaland,North East
13,Urban,htn_screened,80.5,76.2,84.7,Proportion,"80.5 (76.2, 84.7)",1898,,NA,Nagaland,North East
13,Urban,htn_diagnosed,48.8,43.1,54.4,Proportion,"48.8 (43.1, 54.4)",1898,,NA,Nagaland,North East
14,Rural,htn_screened,87.9,86.3,89.6,Proportion,"87.9 (86.3, 89.6)",4551,,NA,Manipur,North East
14,Rural,htn_diagnosed,38.1,35.3,40.8,Proportion,"38.1 (35.3, 40.8)",4551,,NA,Manipur,North East
14,Urban,htn_screened,91.7,89.6,93.8,Proportion,"91.7 (89.6, 93.8)",2000,,NA,Manipur,North East
14,Urban,htn_diagnosed,46.2,42.6,49.9,Proportion,"46.2 (42.6, 49.9)",2000,,NA,Manipur,North East
15,Rural,htn_screened,77.8,72.7,82.9,Proportion,"77.8 (72.7, 82.9)",2101,,NA,Mizoram,North East
15,Rural,htn_diagnosed,33.1,27.9,38.2,Proportion,"33.1 (27.9, 38.2)",2101,,NA,Mizoram,North East
15,Urban,htn_screened,94.1,92.6,95.7,Proportion,"94.1 (92.6, 95.7)",2061,,NA,Mizoram,North East
15,Urban,htn_diagnosed,50.9,45,56.7,Proportion,"50.9 (45, 56.7)",2061,,NA,Mizoram,North East
16,Rural,htn_screened,79.4,76.3,82.5,Proportion,"79.4 (76.3, 82.5)",3273,,NA,Tripura,North East
16,Rural,htn_diagnosed,45.8,42.4,49.3,Proportion,"45.8 (42.4, 49.3)",3273,,NA,Tripura,North East
16,Urban,htn_screened,91.2,88.4,94.1,Proportion,"91.2 (88.4, 94.1)",1025,,NA,Tripura,North East
16,Urban,htn_diagnosed,57.5,51.8,63.2,Proportion,"57.5 (51.8, 63.2)",1025,,NA,Tripura,North East
17,Rural,htn_screened,57.6,53.1,62.1,Proportion,"57.6 (53.1, 62.1)",4737,,NA,Meghalaya,North East
17,Rural,htn_diagnosed,25.7,22.7,28.8,Proportion,"25.7 (22.7, 28.8)",4737,,NA,Meghalaya,North East
17,Urban,htn_screened,80,72.5,87.6,Proportion,"80 (72.5, 87.6)",732,,NA,Meghalaya,North East
17,Urban,htn_diagnosed,36.4,31,41.8,Proportion,"36.4 (31, 41.8)",732,,NA,Meghalaya,North East
18,Rural,htn_screened,77.4,75.9,79,Proportion,"77.4 (75.9, 79)",16780,,NA,Assam,North East
18,Rural,htn_diagnosed,39.7,37.9,41.5,Proportion,"39.7 (37.9, 41.5)",16780,,NA,Assam,North East
18,Urban,htn_screened,86.3,84.2,88.5,Proportion,"86.3 (84.2, 88.5)",2963,,NA,Assam,North East
18,Urban,htn_diagnosed,49.5,45.9,53,Proportion,"49.5 (45.9, 53)",2963,,NA,Assam,North East
19,Rural,htn_screened,72.5,70.3,74.6,Proportion,"72.5 (70.3, 74.6)",7832,,NA,West Bengal,East
19,Rural,htn_diagnosed,33.6,31.6,35.5,Proportion,"33.6 (31.6, 35.5)",7832,,NA,West Bengal,East
19,Urban,htn_screened,79.6,76.1,83,Proportion,"79.6 (76.1, 83)",4071,,NA,West Bengal,East
19,Urban,htn_diagnosed,41.2,38.2,44.3,Proportion,"41.2 (38.2, 44.3)",4071,,NA,West Bengal,East
20,Rural,htn_screened,64.3,62,66.6,Proportion,"64.3 (62, 66.6)",12094,,NA,Jharkhand,East
20,Rural,htn_diagnosed,33.1,30.1,36.2,Proportion,"33.1 (30.1, 36.2)",12094,,NA,Jharkhand,East
20,Urban,htn_screened,77.4,74.4,80.4,Proportion,"77.4 (74.4, 80.4)",3684,,NA,Jharkhand,East
20,Urban,htn_diagnosed,40.7,36.5,44.8,Proportion,"40.7 (36.5, 44.8)",3684,,NA,Jharkhand,East
21,Rural,htn_screened,57.2,55.5,59,Proportion,"57.2 (55.5, 59)",16893,,NA,Odisha,East
