REGCODE,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,v024,REGNAME
1,htn_screened,89.2,83.2,95.2,Proportion,"89.2 (83.2, 95.2)",699,,NA,Jammu & Kashmir,1,Kupwara
1,htn_diagnosed,60.7,48.9,72.6,Proportion,"60.7 (48.9, 72.6)",699,,NA,Jammu & Kashmir,1,Kupwara
1,htn_unscreened,10.8,4.8,16.8,Proportion,"10.8 (4.8, 16.8)",699,,NA,Jammu & Kashmir,1,Kupwara
1,htn_undiagnosed,39.3,27.4,51.1,Proportion,"39.3 (27.4, 51.1)",699,,NA,Jammu & Kashmir,1,Kupwara
2,htn_screened,88.5,84.2,92.8,Proportion,"88.5 (84.2, 92.8)",666,,NA,Jammu & Kashmir,1,Badgam
2,htn_diagnosed,50.9,43.6,58.1,Proportion,"50.9 (43.6, 58.1)",666,,NA,Jammu & Kashmir,1,Badgam
2,htn_unscreened,11.5,7.2,15.8,Proportion,"11.5 (7.2, 15.8)",666,,NA,Jammu & Kashmir,1,Badgam
2,htn_undiagnosed,49.1,41.9,56.4,Proportion,"49.1 (41.9, 56.4)",666,,NA,Jammu & Kashmir,1,Badgam
3,htn_screened,94.3,90.6,98,Proportion,"94.3 (90.6, 98)",506,,NA,Ladakh,37,Leh
3,htn_diagnosed,55.2,42.4,67.9,Proportion,"55.2 (42.4, 67.9)",506,,NA,Ladakh,37,Leh
3,htn_unscreened,5.7,2,9.4,Proportion,"5.7 (2, 9.4)",506,,NA,Ladakh,37,Leh
3,htn_undiagnosed,44.8,32.1,57.6,Proportion,"44.8 (32.1, 57.6)",506,,NA,Ladakh,37,Leh
4,htn_screened,90.3,85.2,95.4,Proportion,"90.3 (85.2, 95.4)",898,,NA,Ladakh,37,Kargil
4,htn_diagnosed,64.8,52.6,77.1,Proportion,"64.8 (52.6, 77.1)",898,,NA,Ladakh,37,Kargil
4,htn_unscreened,9.7,4.6,14.8,Proportion,"9.7 (4.6, 14.8)",898,,NA,Ladakh,37,Kargil
4,htn_undiagnosed,35.2,22.9,47.4,Proportion,"35.2 (22.9, 47.4)",898,,NA,Ladakh,37,Kargil
5,htn_screened,92.3,88.9,95.8,Proportion,"92.3 (88.9, 95.8)",619,,NA,Jammu & Kashmir,1,Punch
5,htn_diagnosed,64.7,58,71.4,Proportion,"64.7 (58, 71.4)",619,,NA,Jammu & Kashmir,1,Punch
5,htn_unscreened,7.7,4.2,11.1,Proportion,"7.7 (4.2, 11.1)",619,,NA,Jammu & Kashmir,1,Punch
5,htn_undiagnosed,35.3,28.6,42,Proportion,"35.3 (28.6, 42)",619,,NA,Jammu & Kashmir,1,Punch
6,htn_screened,89.2,83.7,94.7,Proportion,"89.2 (83.7, 94.7)",552,,NA,Jammu & Kashmir,1,Rajouri
6,htn_diagnosed,37.5,28,47,Proportion,"37.5 (28, 47)",552,,NA,Jammu & Kashmir,1,Rajouri
6,htn_unscreened,10.8,5.3,16.3,Proportion,"10.8 (5.3, 16.3)",552,,NA,Jammu & Kashmir,1,Rajouri
6,htn_undiagnosed,62.5,53,72,Proportion,"62.5 (53, 72)",552,,NA,Jammu & Kashmir,1,Rajouri
7,htn_screened,90.5,85.9,95,Proportion,"90.5 (85.9, 95)",642,,NA,Jammu & Kashmir,1,Kathua
7,htn_diagnosed,13.9,7.3,20.4,Proportion,"13.9 (7.3, 20.4)",642,,NA,Jammu & Kashmir,1,Kathua
7,htn_unscreened,9.5,5,14.1,Proportion,"9.5 (5, 14.1)",642,,NA,Jammu & Kashmir,1,Kathua
7,htn_undiagnosed,86.1,79.6,92.7,Proportion,"86.1 (79.6, 92.7)",642,,NA,Jammu & Kashmir,1,Kathua
8,htn_screened,85.4,80.6,90.2,Proportion,"85.4 (80.6, 90.2)",758,,NA,Jammu & Kashmir,1,Baramula
8,htn_diagnosed,42.9,35.6,50.2,Proportion,"42.9 (35.6, 50.2)",758,,NA,Jammu & Kashmir,1,Baramula
8,htn_unscreened,14.6,9.8,19.4,Proportion,"14.6 (9.8, 19.4)",758,,NA,Jammu & Kashmir,1,Baramula
8,htn_undiagnosed,57.1,49.8,64.4,Proportion,"57.1 (49.8, 64.4)",758,,NA,Jammu & Kashmir,1,Baramula
9,htn_screened,85.6,79.8,91.3,Proportion,"85.6 (79.8, 91.3)",784,,NA,Jammu & Kashmir,1,Bandipore
9,htn_diagnosed,61.1,49.1,73.1,Proportion,"61.1 (49.1, 73.1)",784,,NA,Jammu & Kashmir,1,Bandipore
9,htn_unscreened,14.4,8.7,20.2,Proportion,"14.4 (8.7, 20.2)",784,,NA,Jammu & Kashmir,1,Bandipore
9,htn_undiagnosed,38.9,26.9,50.9,Proportion,"38.9 (26.9, 50.9)",784,,NA,Jammu & Kashmir,1,Bandipore
10,htn_screened,86.4,78.4,94.4,Proportion,"86.4 (78.4, 94.4)",691,,NA,Jammu & Kashmir,1,Srinagar
10,htn_diagnosed,73.4,62.9,83.8,Proportion,"73.4 (62.9, 83.8)",691,,NA,Jammu & Kashmir,1,Srinagar
10,htn_unscreened,13.6,5.6,21.6,Proportion,"13.6 (5.6, 21.6)",691,,NA,Jammu & Kashmir,1,Srinagar
10,htn_undiagnosed,26.6,16.2,37.1,Proportion,"26.6 (16.2, 37.1)",691,,NA,Jammu & Kashmir,1,Srinagar
11,htn_screened,89.2,85.1,93.3,Proportion,"89.2 (85.1, 93.3)",714,,NA,Jammu & Kashmir,1,Ganderbal
11,htn_diagnosed,56.4,48,64.8,Proportion,"56.4 (48, 64.8)",714,,NA,Jammu & Kashmir,1,Ganderbal
11,htn_unscreened,10.8,6.7,14.9,Proportion,"10.8 (6.7, 14.9)",714,,NA,Jammu & Kashmir,1,Ganderbal
11,htn_undiagnosed,43.6,35.2,52,Proportion,"43.6 (35.2, 52)",714,,NA,Jammu & Kashmir,1,Ganderbal
12,htn_screened,92.9,89.3,96.5,Proportion,"92.9 (89.3, 96.5)",755,,NA,Jammu & Kashmir,1,Pulwama
12,htn_diagnosed,53.8,44.6,63,Proportion,"53.8 (44.6, 63)",755,,NA,Jammu & Kashmir,1,Pulwama
12,htn_unscreened,7.1,3.5,10.7,Proportion,"7.1 (3.5, 10.7)",755,,NA,Jammu & Kashmir,1,Pulwama
12,htn_undiagnosed,46.2,37,55.4,Proportion,"46.2 (37, 55.4)",755,,NA,Jammu & Kashmir,1,Pulwama
13,htn_screened,95,92,98,Proportion,"95 (92, 98)",551,,NA,Jammu & Kashmir,1,Shupiyan
13,htn_diagnosed,49.8,42.1,57.6,Proportion,"49.8 (42.1, 57.6)",551,,NA,Jammu & Kashmir,1,Shupiyan
13,htn_unscreened,5,2,8,Proportion,"5 (2, 8)",551,,NA,Jammu & Kashmir,1,Shupiyan
13,htn_undiagnosed,50.2,42.4,57.9,Proportion,"50.2 (42.4, 57.9)",551,,NA,Jammu & Kashmir,1,Shupiyan
14,htn_screened,88.5,81.3,95.6,Proportion,"88.5 (81.3, 95.6)",555,,NA,Jammu & Kashmir,1,Anantnag
14,htn_diagnosed,52.5,44.2,60.8,Proportion,"52.5 (44.2, 60.8)",555,,NA,Jammu & Kashmir,1,Anantnag
14,htn_unscreened,11.5,4.4,18.7,Proportion,"11.5 (4.4, 18.7)",555,,NA,Jammu & Kashmir,1,Anantnag
14,htn_undiagnosed,47.5,39.2,55.8,Proportion,"47.5 (39.2, 55.8)",555,,NA,Jammu & Kashmir,1,Anantnag
15,htn_screened,91.3,86.5,96,Proportion,"91.3 (86.5, 96)",640,,NA,Jammu & Kashmir,1,Kulgam
15,htn_diagnosed,29.3,22.3,36.2,Proportion,"29.3 (22.3, 36.2)",640,,NA,Jammu & Kashmir,1,Kulgam
15,htn_unscreened,8.7,4,13.5,Proportion,"8.7 (4, 13.5)",640,,NA,Jammu & Kashmir,1,Kulgam
15,htn_undiagnosed,70.7,63.8,77.7,Proportion,"70.7 (63.8, 77.7)",640,,NA,Jammu & Kashmir,1,Kulgam
16,htn_screened,83.4,78.6,88.3,Proportion,"83.4 (78.6, 88.3)",554,,NA,Jammu & Kashmir,1,Doda
16,htn_diagnosed,36.9,28.2,45.7,Proportion,"36.9 (28.2, 45.7)",554,,NA,Jammu & Kashmir,1,Doda
16,htn_unscreened,16.6,11.7,21.4,Proportion,"16.6 (11.7, 21.4)",554,,NA,Jammu & Kashmir,1,Doda
16,htn_undiagnosed,63.1,54.3,71.8,Proportion,"63.1 (54.3, 71.8)",554,,NA,Jammu & Kashmir,1,Doda
17,htn_screened,89.4,83.9,94.9,Proportion,"89.4 (83.9, 94.9)",721,,NA,Jammu & Kashmir,1,Ramban
17,htn_diagnosed,57.6,42.7,72.5,Proportion,"57.6 (42.7, 72.5)",721,,NA,Jammu & Kashmir,1,Ramban
17,htn_unscreened,10.6,5.1,16.1,Proportion,"10.6 (5.1, 16.1)",721,,NA,Jammu & Kashmir,1,Ramban
17,htn_undiagnosed,42.4,27.5,57.3,Proportion,"42.4 (27.5, 57.3)",721,,NA,Jammu & Kashmir,1,Ramban
18,htn_screened,84.3,75.6,92.9,Proportion,"84.3 (75.6, 92.9)",437,,NA,Jammu & Kashmir,1,Kishtwar
18,htn_diagnosed,69.1,57.8,80.4,Proportion,"69.1 (57.8, 80.4)",437,,NA,Jammu & Kashmir,1,Kishtwar
18,htn_unscreened,15.7,7.1,24.4,Proportion,"15.7 (7.1, 24.4)",437,,NA,Jammu & Kashmir,1,Kishtwar
18,htn_undiagnosed,30.9,19.6,42.2,Proportion,"30.9 (19.6, 42.2)",437,,NA,Jammu & Kashmir,1,Kishtwar
19,htn_screened,90.9,85.9,95.9,Proportion,"90.9 (85.9, 95.9)",647,,NA,Jammu & Kashmir,1,Udhampur
19,htn_diagnosed,39.1,27.2,51,Proportion,"39.1 (27.2, 51)",647,,NA,Jammu & Kashmir,1,Udhampur
19,htn_unscreened,9.1,4.1,14.1,Proportion,"9.1 (4.1, 14.1)",647,,NA,Jammu & Kashmir,1,Udhampur
19,htn_undiagnosed,60.9,49,72.8,Proportion,"60.9 (49, 72.8)",647,,NA,Jammu & Kashmir,1,Udhampur
20,htn_screened,83.4,77.1,89.7,Proportion,"83.4 (77.1, 89.7)",469,,NA,Jammu & Kashmir,1,Reasi
20,htn_diagnosed,40,31.2,48.7,Proportion,"40 (31.2, 48.7)",469,,NA,Jammu & Kashmir,1,Reasi
20,htn_unscreened,16.6,10.3,22.9,Proportion,"16.6 (10.3, 22.9)",469,,NA,Jammu & Kashmir,1,Reasi
20,htn_undiagnosed,60,51.3,68.8,Proportion,"60 (51.3, 68.8)",469,,NA,Jammu & Kashmir,1,Reasi
21,htn_screened,87.1,80.3,93.8,Proportion,"87.1 (80.3, 93.8)",680,,NA,Jammu & Kashmir,1,Jammu
21,htn_diagnosed,59.6,50.3,68.8,Proportion,"59.6 (50.3, 68.8)",680,,NA,Jammu & Kashmir,1,Jammu
21,htn_unscreened,12.9,6.2,19.7,Proportion,"12.9 (6.2, 19.7)",680,,NA,Jammu & Kashmir,1,Jammu
21,htn_undiagnosed,40.4,31.2,49.7,Proportion,"40.4 (31.2, 49.7)",680,,NA,Jammu & Kashmir,1,Jammu
22,htn_screened,84.3,76.9,91.8,Proportion,"84.3 (76.9, 91.8)",766,,NA,Jammu & Kashmir,1,Samba
22,htn_diagnosed,50.3,37.8,62.9,Proportion,"50.3 (37.8, 62.9)",766,,NA,Jammu & Kashmir,1,Samba
22,htn_unscreened,15.7,8.2,23.1,Proportion,"15.7 (8.2, 23.1)",766,,NA,Jammu & Kashmir,1,Samba
22,htn_undiagnosed,49.7,37.1,62.2,Proportion,"49.7 (37.1, 62.2)",766,,NA,Jammu & Kashmir,1,Samba
23,htn_screened,81.3,74.9,87.8,Proportion,"81.3 (74.9, 87.8)",616,,NA,Himachal Pradesh,2,Chamba
23,htn_diagnosed,39,30.4,47.7,Proportion,"39 (30.4, 47.7)",616,,NA,Himachal Pradesh,2,Chamba
23,htn_unscreened,18.7,12.2,25.1,Proportion,"18.7 (12.2, 25.1)",616,,NA,Himachal Pradesh,2,Chamba
23,htn_undiagnosed,61,52.3,69.6,Proportion,"61 (52.3, 69.6)",616,,NA,Himachal Pradesh,2,Chamba
24,htn_screened,80.1,74.3,85.9,Proportion,"80.1 (74.3, 85.9)",673,,NA,Himachal Pradesh,2,Kangra
24,htn_diagnosed,42.4,36.1,48.7,Proportion,"42.4 (36.1, 48.7)",673,,NA,Himachal Pradesh,2,Kangra
24,htn_unscreened,19.9,14.1,25.7,Proportion,"19.9 (14.1, 25.7)",673,,NA,Himachal Pradesh,2,Kangra
24,htn_undiagnosed,57.6,51.3,63.9,Proportion,"57.6 (51.3, 63.9)",673,,NA,Himachal Pradesh,2,Kangra
25,htn_screened,80.3,73.6,87.1,Proportion,"80.3 (73.6, 87.1)",435,,NA,Himachal Pradesh,2,Lahul & Spiti
25,htn_diagnosed,38.9,33.1,44.7,Proportion,"38.9 (33.1, 44.7)",435,,NA,Himachal Pradesh,2,Lahul & Spiti
25,htn_unscreened,19.7,12.9,26.4,Proportion,"19.7 (12.9, 26.4)",435,,NA,Himachal Pradesh,2,Lahul & Spiti
25,htn_undiagnosed,61.1,55.3,66.9,Proportion,"61.1 (55.3, 66.9)",435,,NA,Himachal Pradesh,2,Lahul & Spiti
26,htn_screened,81.6,74.5,88.6,Proportion,"81.6 (74.5, 88.6)",571,,NA,Himachal Pradesh,2,Kullu
26,htn_diagnosed,50.6,39,62.3,Proportion,"50.6 (39, 62.3)",571,,NA,Himachal Pradesh,2,Kullu
26,htn_unscreened,18.4,11.4,25.5,Proportion,"18.4 (11.4, 25.5)",571,,NA,Himachal Pradesh,2,Kullu
26,htn_undiagnosed,49.4,37.7,61,Proportion,"49.4 (37.7, 61)",571,,NA,Himachal Pradesh,2,Kullu
27,htn_screened,86.4,82.8,90,Proportion,"86.4 (82.8, 90)",617,,NA,Himachal Pradesh,2,Mandi
27,htn_diagnosed,43.3,37.2,49.4,Proportion,"43.3 (37.2, 49.4)",617,,NA,Himachal Pradesh,2,Mandi
27,htn_unscreened,13.6,10,17.2,Proportion,"13.6 (10, 17.2)",617,,NA,Himachal Pradesh,2,Mandi
27,htn_undiagnosed,56.7,50.6,62.8,Proportion,"56.7 (50.6, 62.8)",617,,NA,Himachal Pradesh,2,Mandi
28,htn_screened,86.4,83,89.8,Proportion,"86.4 (83, 89.8)",770,,NA,Himachal Pradesh,2,Hamirpur
28,htn_diagnosed,55.5,50.6,60.4,Proportion,"55.5 (50.6, 60.4)",770,,NA,Himachal Pradesh,2,Hamirpur
28,htn_unscreened,13.6,10.2,17,Proportion,"13.6 (10.2, 17)",770,,NA,Himachal Pradesh,2,Hamirpur
28,htn_undiagnosed,44.5,39.6,49.4,Proportion,"44.5 (39.6, 49.4)",770,,NA,Himachal Pradesh,2,Hamirpur
29,htn_screened,82.9,78,87.8,Proportion,"82.9 (78, 87.8)",742,,NA,Himachal Pradesh,2,Una
29,htn_diagnosed,56.6,49.1,64.1,Proportion,"56.6 (49.1, 64.1)",742,,NA,Himachal Pradesh,2,Una
29,htn_unscreened,17.1,12.2,22,Proportion,"17.1 (12.2, 22)",742,,NA,Himachal Pradesh,2,Una
29,htn_undiagnosed,43.4,35.9,50.9,Proportion,"43.4 (35.9, 50.9)",742,,NA,Himachal Pradesh,2,Una
30,htn_screened,83.1,78.2,88,Proportion,"83.1 (78.2, 88)",665,,NA,Himachal Pradesh,2,Bilaspur
30,htn_diagnosed,48.2,41.4,55,Proportion,"48.2 (41.4, 55)",665,,NA,Himachal Pradesh,2,Bilaspur
30,htn_unscreened,16.9,12,21.8,Proportion,"16.9 (12, 21.8)",665,,NA,Himachal Pradesh,2,Bilaspur
30,htn_undiagnosed,51.8,45,58.6,Proportion,"51.8 (45, 58.6)",665,,NA,Himachal Pradesh,2,Bilaspur
31,htn_screened,87.1,83.1,91.1,Proportion,"87.1 (83.1, 91.1)",560,,NA,Himachal Pradesh,2,Solan
31,htn_diagnosed,39.3,29.3,49.4,Proportion,"39.3 (29.3, 49.4)",560,,NA,Himachal Pradesh,2,Solan
31,htn_unscreened,12.9,8.9,16.9,Proportion,"12.9 (8.9, 16.9)",560,,NA,Himachal Pradesh,2,Solan
31,htn_undiagnosed,60.7,50.6,70.7,Proportion,"60.7 (50.6, 70.7)",560,,NA,Himachal Pradesh,2,Solan
32,htn_screened,87.4,84.3,90.6,Proportion,"87.4 (84.3, 90.6)",743,,NA,Himachal Pradesh,2,Sirmaur
32,htn_diagnosed,48.7,39.3,58.2,Proportion,"48.7 (39.3, 58.2)",743,,NA,Himachal Pradesh,2,Sirmaur
32,htn_unscreened,12.6,9.4,15.7,Proportion,"12.6 (9.4, 15.7)",743,,NA,Himachal Pradesh,2,Sirmaur
32,htn_undiagnosed,51.3,41.8,60.7,Proportion,"51.3 (41.8, 60.7)",743,,NA,Himachal Pradesh,2,Sirmaur
33,htn_screened,86.7,83.7,89.8,Proportion,"86.7 (83.7, 89.8)",591,,NA,Himachal Pradesh,2,Shimla
33,htn_diagnosed,37.7,31.1,44.3,Proportion,"37.7 (31.1, 44.3)",591,,NA,Himachal Pradesh,2,Shimla
33,htn_unscreened,13.3,10.2,16.3,Proportion,"13.3 (10.2, 16.3)",591,,NA,Himachal Pradesh,2,Shimla
33,htn_undiagnosed,62.3,55.7,68.9,Proportion,"62.3 (55.7, 68.9)",591,,NA,Himachal Pradesh,2,Shimla
34,htn_screened,84.6,80.1,89.1,Proportion,"84.6 (80.1, 89.1)",568,,NA,Himachal Pradesh,2,Kinnaur
34,htn_diagnosed,36.4,29.9,42.9,Proportion,"36.4 (29.9, 42.9)",568,,NA,Himachal Pradesh,2,Kinnaur
34,htn_unscreened,15.4,10.9,19.9,Proportion,"15.4 (10.9, 19.9)",568,,NA,Himachal Pradesh,2,Kinnaur
34,htn_undiagnosed,63.6,57.1,70.1,Proportion,"63.6 (57.1, 70.1)",568,,NA,Himachal Pradesh,2,Kinnaur
36,htn_screened,91.1,87.5,94.8,Proportion,"91.1 (87.5, 94.8)",1079,,NA,Punjab,3,Kapurthala
36,htn_diagnosed,46.1,38.1,54.1,Proportion,"46.1 (38.1, 54.1)",1079,,NA,Punjab,3,Kapurthala
36,htn_unscreened,8.9,5.2,12.5,Proportion,"8.9 (5.2, 12.5)",1079,,NA,Punjab,3,Kapurthala
36,htn_undiagnosed,53.9,45.9,61.9,Proportion,"53.9 (45.9, 61.9)",1079,,NA,Punjab,3,Kapurthala
37,htn_screened,87.4,82.8,92,Proportion,"87.4 (82.8, 92)",840,,NA,Punjab,3,Jalandhar
37,htn_diagnosed,37.2,30.2,44.1,Proportion,"37.2 (30.2, 44.1)",840,,NA,Punjab,3,Jalandhar
37,htn_unscreened,12.6,8,17.2,Proportion,"12.6 (8, 17.2)",840,,NA,Punjab,3,Jalandhar
37,htn_undiagnosed,62.8,55.9,69.8,Proportion,"62.8 (55.9, 69.8)",840,,NA,Punjab,3,Jalandhar
38,htn_screened,87.5,83.7,91.4,Proportion,"87.5 (83.7, 91.4)",1198,,NA,Punjab,3,Hoshiarpur
38,htn_diagnosed,32,26,38,Proportion,"32 (26, 38)",1198,,NA,Punjab,3,Hoshiarpur
38,htn_unscreened,12.5,8.6,16.3,Proportion,"12.5 (8.6, 16.3)",1198,,NA,Punjab,3,Hoshiarpur
38,htn_undiagnosed,68,62,74,Proportion,"68 (62, 74)",1198,,NA,Punjab,3,Hoshiarpur
39,htn_screened,88.6,85.1,92.1,Proportion,"88.6 (85.1, 92.1)",1257,,NA,Punjab,3,Shahid Bhagat Singh Nagar
39,htn_diagnosed,33.2,25,41.4,Proportion,"33.2 (25, 41.4)",1257,,NA,Punjab,3,Shahid Bhagat Singh Nagar
39,htn_unscreened,11.4,7.9,14.9,Proportion,"11.4 (7.9, 14.9)",1257,,NA,Punjab,3,Shahid Bhagat Singh Nagar
39,htn_undiagnosed,66.8,58.6,75,Proportion,"66.8 (58.6, 75)",1257,,NA,Punjab,3,Shahid Bhagat Singh Nagar
40,htn_screened,91.3,88.4,94.3,Proportion,"91.3 (88.4, 94.3)",865,,NA,Punjab,3,Fatehgarh Sahib
40,htn_diagnosed,46,39.1,52.9,Proportion,"46 (39.1, 52.9)",865,,NA,Punjab,3,Fatehgarh Sahib
40,htn_unscreened,8.7,5.7,11.6,Proportion,"8.7 (5.7, 11.6)",865,,NA,Punjab,3,Fatehgarh Sahib
40,htn_undiagnosed,54,47.1,60.9,Proportion,"54 (47.1, 60.9)",865,,NA,Punjab,3,Fatehgarh Sahib
41,htn_screened,94.6,91.8,97.4,Proportion,"94.6 (91.8, 97.4)",704,,NA,Punjab,3,Ludhiana
41,htn_diagnosed,44.1,36.3,51.8,Proportion,"44.1 (36.3, 51.8)",704,,NA,Punjab,3,Ludhiana
41,htn_unscreened,5.4,2.6,8.2,Proportion,"5.4 (2.6, 8.2)",704,,NA,Punjab,3,Ludhiana
41,htn_undiagnosed,55.9,48.2,63.7,Proportion,"55.9 (48.2, 63.7)",704,,NA,Punjab,3,Ludhiana
42,htn_screened,86.2,82.5,90,Proportion,"86.2 (82.5, 90)",1142,,NA,Punjab,3,Moga
42,htn_diagnosed,41.6,35,48.1,Proportion,"41.6 (35, 48.1)",1142,,NA,Punjab,3,Moga
42,htn_unscreened,13.8,10,17.5,Proportion,"13.8 (10, 17.5)",1142,,NA,Punjab,3,Moga
42,htn_undiagnosed,58.4,51.9,65,Proportion,"58.4 (51.9, 65)",1142,,NA,Punjab,3,Moga
44,htn_screened,86.5,81.4,91.6,Proportion,"86.5 (81.4, 91.6)",999,,NA,Punjab,3,Muktsar
44,htn_diagnosed,54.4,45.7,63.1,Proportion,"54.4 (45.7, 63.1)",999,,NA,Punjab,3,Muktsar
44,htn_unscreened,13.5,8.4,18.6,Proportion,"13.5 (8.4, 18.6)",999,,NA,Punjab,3,Muktsar
44,htn_undiagnosed,45.6,36.9,54.3,Proportion,"45.6 (36.9, 54.3)",999,,NA,Punjab,3,Muktsar
45,htn_screened,81.5,76.4,86.7,Proportion,"81.5 (76.4, 86.7)",1123,,NA,Punjab,3,Faridkot
45,htn_diagnosed,59.4,52.9,66,Proportion,"59.4 (52.9, 66)",1123,,NA,Punjab,3,Faridkot
45,htn_unscreened,18.5,13.3,23.6,Proportion,"18.5 (13.3, 23.6)",1123,,NA,Punjab,3,Faridkot
45,htn_undiagnosed,40.6,34,47.1,Proportion,"40.6 (34, 47.1)",1123,,NA,Punjab,3,Faridkot
46,htn_screened,80.3,74.7,85.9,Proportion,"80.3 (74.7, 85.9)",1137,,NA,Punjab,3,Bathinda
46,htn_diagnosed,57.9,49.2,66.7,Proportion,"57.9 (49.2, 66.7)",1137,,NA,Punjab,3,Bathinda
46,htn_unscreened,19.7,14.1,25.3,Proportion,"19.7 (14.1, 25.3)",1137,,NA,Punjab,3,Bathinda
46,htn_undiagnosed,42.1,33.3,50.8,Proportion,"42.1 (33.3, 50.8)",1137,,NA,Punjab,3,Bathinda
47,htn_screened,66.1,59.2,73,Proportion,"66.1 (59.2, 73)",1117,,NA,Punjab,3,Mansa
47,htn_diagnosed,33.1,26.9,39.3,Proportion,"33.1 (26.9, 39.3)",1117,,NA,Punjab,3,Mansa
47,htn_unscreened,33.9,27,40.8,Proportion,"33.9 (27, 40.8)",1117,,NA,Punjab,3,Mansa
47,htn_undiagnosed,66.9,60.7,73.1,Proportion,"66.9 (60.7, 73.1)",1117,,NA,Punjab,3,Mansa
48,htn_screened,93.7,90.6,96.8,Proportion,"93.7 (90.6, 96.8)",785,,NA,Punjab,3,Patiala
48,htn_diagnosed,45.3,37.9,52.7,Proportion,"45.3 (37.9, 52.7)",785,,NA,Punjab,3,Patiala
48,htn_unscreened,6.3,3.2,9.4,Proportion,"6.3 (3.2, 9.4)",785,,NA,Punjab,3,Patiala
48,htn_undiagnosed,54.7,47.3,62.1,Proportion,"54.7 (47.3, 62.1)",785,,NA,Punjab,3,Patiala
49,htn_screened,82.4,75.8,89,Proportion,"82.4 (75.8, 89)",1053,,NA,Punjab,3,Amritsar
49,htn_diagnosed,31,23,38.9,Proportion,"31 (23, 38.9)",1053,,NA,Punjab,3,Amritsar
49,htn_unscreened,17.6,11,24.2,Proportion,"17.6 (11, 24.2)",1053,,NA,Punjab,3,Amritsar
49,htn_undiagnosed,69,61.1,77,Proportion,"69 (61.1, 77)",1053,,NA,Punjab,3,Amritsar
50,htn_screened,93.3,89.4,97.2,Proportion,"93.3 (89.4, 97.2)",985,,NA,Punjab,3,Tarn Taran
50,htn_diagnosed,42.9,35.3,50.5,Proportion,"42.9 (35.3, 50.5)",985,,NA,Punjab,3,Tarn Taran
50,htn_unscreened,6.7,2.8,10.6,Proportion,"6.7 (2.8, 10.6)",985,,NA,Punjab,3,Tarn Taran
50,htn_undiagnosed,57.1,49.5,64.7,Proportion,"57.1 (49.5, 64.7)",985,,NA,Punjab,3,Tarn Taran
51,htn_screened,93.1,89.7,96.5,Proportion,"93.1 (89.7, 96.5)",773,,NA,Punjab,3,Rupnagar
51,htn_diagnosed,48.4,43.7,53.2,Proportion,"48.4 (43.7, 53.2)",773,,NA,Punjab,3,Rupnagar
51,htn_unscreened,6.9,3.5,10.3,Proportion,"6.9 (3.5, 10.3)",773,,NA,Punjab,3,Rupnagar
51,htn_undiagnosed,51.6,46.8,56.3,Proportion,"51.6 (46.8, 56.3)",773,,NA,Punjab,3,Rupnagar
52,htn_screened,91,87.2,94.8,Proportion,"91 (87.2, 94.8)",734,,NA,Punjab,3,Sahibzada Ajit Singh Nagar
52,htn_diagnosed,50.1,42.4,57.8,Proportion,"50.1 (42.4, 57.8)",734,,NA,Punjab,3,Sahibzada Ajit Singh Nagar
52,htn_unscreened,9,5.2,12.8,Proportion,"9 (5.2, 12.8)",734,,NA,Punjab,3,Sahibzada Ajit Singh Nagar
52,htn_undiagnosed,49.9,42.2,57.6,Proportion,"49.9 (42.2, 57.6)",734,,NA,Punjab,3,Sahibzada Ajit Singh Nagar
53,htn_screened,67.5,60.9,74.1,Proportion,"67.5 (60.9, 74.1)",1011,,NA,Punjab,3,Sangrur
53,htn_diagnosed,37.3,29.2,45.3,Proportion,"37.3 (29.2, 45.3)",1011,,NA,Punjab,3,Sangrur
53,htn_unscreened,32.5,25.9,39.1,Proportion,"32.5 (25.9, 39.1)",1011,,NA,Punjab,3,Sangrur
53,htn_undiagnosed,62.7,54.7,70.8,Proportion,"62.7 (54.7, 70.8)",1011,,NA,Punjab,3,Sangrur
54,htn_screened,73,63.8,82.2,Proportion,"73 (63.8, 82.2)",1016,,NA,Punjab,3,Barnala
54,htn_diagnosed,33.6,27.8,39.5,Proportion,"33.6 (27.8, 39.5)",1016,,NA,Punjab,3,Barnala
