strata,variable,estimate,lci,uci,type,group,est_ci,n,stratification,residence
Female,bmi,22.8,22.8,22.8,Continuous,NA,"22.8 (22.8, 22.8)",609478,sex,Total
Female,age,40.1,40.1,40.2,Continuous,NA,"40.1 (40.1, 40.2)",889468,sex,Total
Male,bmi,22.9,22.9,23,Continuous,NA,"22.9 (22.9, 23)",88145,sex,Total
Male,age,44,44,44.1,Continuous,NA,"44 (44, 44.1)",801568,sex,Total
Female,highwc,43.9,43.6,44.2,Proportion,NA,"43.9 (43.6, 44.2)",609921,sex,Total
Female,htn,25.7,25.5,25.9,Proportion,NA,"25.7 (25.5, 25.9)",889468,sex,Total
Female,highbp,18.8,18.7,19,Proportion,NA,"18.8 (18.7, 19)",889468,sex,Total
Female,diaghtn,42.2,41.6,42.8,Proportion,NA,"42.2 (41.6, 42.8)",107340,sex,Total
Female,htn_screened,70.5,70.2,70.8,Proportion,NA,"70.5 (70.2, 70.8)",889468,sex,Total
Female,htn_disease,25.7,25.5,25.9,Proportion,NA,"25.7 (25.5, 25.9)",889468,sex,Total
Female,htn_diagnosed,12,11.8,12.2,Proportion,NA,"12 (11.8, 12.2)",889468,sex,Total
Female,htn_treated,6.8,6.6,6.9,Proportion,NA,"6.8 (6.6, 6.9)",889468,sex,Total
Female,htn_controlled,3.2,3.1,3.3,Proportion,NA,"3.2 (3.1, 3.3)",889468,sex,Total
Male,highwc,15.6,15.1,16.1,Proportion,NA,"15.6 (15.1, 16.1)",88253,sex,Total
Male,htn,30.6,30.3,30.8,Proportion,NA,"30.6 (30.3, 30.8)",801568,sex,Total
Male,highbp,25.6,25.3,25.8,Proportion,NA,"25.6 (25.3, 25.8)",801568,sex,Total
Male,diaghtn,51.3,50.6,52.1,Proportion,NA,"51.3 (50.6, 52.1)",71982,sex,Total
Male,htn_screened,58.8,58.5,59.2,Proportion,NA,"58.8 (58.5, 59.2)",801568,sex,Total
Male,htn_disease,30.6,30.3,30.8,Proportion,NA,"30.6 (30.3, 30.8)",801568,sex,Total
Male,htn_diagnosed,10.4,10.3,10.6,Proportion,NA,"10.4 (10.3, 10.6)",801568,sex,Total
Male,htn_treated,6.4,6.3,6.6,Proportion,NA,"6.4 (6.3, 6.6)",801568,sex,Total
Male,htn_controlled,2.8,2.8,2.9,Proportion,NA,"2.8 (2.8, 2.9)",801568,sex,Total
Female,age_category,55.8,55.7,56,Grouped,18-39,"55.8 (55.7, 56)",889468,sex,Total
Female,age_category,36.3,36.2,36.4,Grouped,40-64,"36.3 (36.2, 36.4)",889468,sex,Total
Female,age_category,7.9,7.8,8,Grouped,65 plus,"7.9 (7.8, 8)",889468,sex,Total
Male,age_category,43,42.9,43.1,Grouped,18-39,"43 (42.9, 43.1)",801568,sex,Total
Male,age_category,42,41.9,42.1,Grouped,40-64,"42 (41.9, 42.1)",801568,sex,Total
Male,age_category,15,14.9,15.1,Grouped,65 plus,"15 (14.9, 15.1)",801568,sex,Total
Female,age_category10,27.7,27.6,27.9,Grouped,"[18,30)","27.7 (27.6, 27.9)",889468,sex,Total
Female,age_category10,28.1,28,28.3,Grouped,"[30,40)","28.1 (28, 28.3)",889468,sex,Total
Female,age_category10,18,17.9,18.1,Grouped,"[40,50)","18 (17.9, 18.1)",889468,sex,Total
Female,age_category10,12.9,12.8,13,Grouped,"[50,60)","12.9 (12.8, 13)",889468,sex,Total
Female,age_category10,9,8.9,9.1,Grouped,"[60,70)","9 (8.9, 9.1)",889468,sex,Total
Female,age_category10,3.1,3.1,3.2,Grouped,"[70,80)","3.1 (3.1, 3.2)",889468,sex,Total
Female,age_category10,1.1,1.1,1.2,Grouped,"[80,100]","1.1 (1.1, 1.2)",889468,sex,Total
Male,age_category10,23.2,23.1,23.4,Grouped,"[18,30)","23.2 (23.1, 23.4)",801568,sex,Total
Male,age_category10,19.8,19.6,19.9,Grouped,"[30,40)","19.8 (19.6, 19.9)",801568,sex,Total
Male,age_category10,20.6,20.4,20.7,Grouped,"[40,50)","20.6 (20.4, 20.7)",801568,sex,Total
Male,age_category10,14.7,14.6,14.8,Grouped,"[50,60)","14.7 (14.6, 14.8)",801568,sex,Total
Male,age_category10,13.5,13.4,13.6,Grouped,"[60,70)","13.5 (13.4, 13.6)",801568,sex,Total
Male,age_category10,6.4,6.3,6.5,Grouped,"[70,80)","6.4 (6.3, 6.5)",801568,sex,Total
Male,age_category10,1.8,1.7,1.8,Grouped,"[80,100]","1.8 (1.7, 1.8)",801568,sex,Total
Female,age_category5,4.4,4.3,4.4,Grouped,"[15,20)","4.4 (4.3, 4.4)",889468,sex,Total
Female,age_category5,10.7,10.6,10.8,Grouped,"[20,25)","10.7 (10.6, 10.8)",889468,sex,Total
Female,age_category5,12.7,12.5,12.8,Grouped,"[25,30)","12.7 (12.5, 12.8)",889468,sex,Total
Female,age_category5,13.1,13,13.3,Grouped,"[30,35)","13.1 (13, 13.3)",889468,sex,Total
Female,age_category5,15,14.8,15.1,Grouped,"[35,40)","15 (14.8, 15.1)",889468,sex,Total
Female,age_category5,9.2,9.1,9.3,Grouped,"[40,45)","9.2 (9.1, 9.3)",889468,sex,Total
Female,age_category5,8.9,8.8,8.9,Grouped,"[45,50)","8.9 (8.8, 8.9)",889468,sex,Total
Female,age_category5,6.6,6.5,6.7,Grouped,"[50,55)","6.6 (6.5, 6.7)",889468,sex,Total
Female,age_category5,6.3,6.2,6.4,Grouped,"[55,60)","6.3 (6.2, 6.4)",889468,sex,Total
Female,age_category5,5.4,5.3,5.5,Grouped,"[60,65)","5.4 (5.3, 5.5)",889468,sex,Total
Female,age_category5,3.6,3.6,3.7,Grouped,"[65,70)","3.6 (3.6, 3.7)",889468,sex,Total
Female,age_category5,2.1,2,2.1,Grouped,"[70,75)","2.1 (2, 2.1)",889468,sex,Total
Female,age_category5,1,1,1.1,Grouped,"[75,80)","1 (1, 1.1)",889468,sex,Total
Female,age_category5,0.6,0.6,0.7,Grouped,"[80,85)","0.6 (0.6, 0.7)",889468,sex,Total
Female,age_category5,0.3,0.3,0.3,Grouped,"[85,90)","0.3 (0.3, 0.3)",889468,sex,Total
Female,age_category5,0.1,0.1,0.1,Grouped,"[90,95)","0.1 (0.1, 0.1)",889468,sex,Total
Female,age_category5,0.1,0.1,0.1,Grouped,"[95,100]","0.1 (0.1, 0.1)",889468,sex,Total
Male,age_category5,4.3,4.2,4.3,Grouped,"[15,20)","4.3 (4.2, 4.3)",801568,sex,Total
Male,age_category5,9.2,9.1,9.3,Grouped,"[20,25)","9.2 (9.1, 9.3)",801568,sex,Total
Male,age_category5,9.7,9.6,9.8,Grouped,"[25,30)","9.7 (9.6, 9.8)",801568,sex,Total
Male,age_category5,9.6,9.5,9.7,Grouped,"[30,35)","9.6 (9.5, 9.7)",801568,sex,Total
Male,age_category5,10.2,10.1,10.3,Grouped,"[35,40)","10.2 (10.1, 10.3)",801568,sex,Total
Male,age_category5,10.4,10.3,10.5,Grouped,"[40,45)","10.4 (10.3, 10.5)",801568,sex,Total
Male,age_category5,10.2,10.1,10.3,Grouped,"[45,50)","10.2 (10.1, 10.3)",801568,sex,Total
Male,age_category5,7.8,7.7,7.9,Grouped,"[50,55)","7.8 (7.7, 7.9)",801568,sex,Total
Male,age_category5,6.9,6.8,6.9,Grouped,"[55,60)","6.9 (6.8, 6.9)",801568,sex,Total
Male,age_category5,6.8,6.7,6.8,Grouped,"[60,65)","6.8 (6.7, 6.8)",801568,sex,Total
Male,age_category5,6.8,6.7,6.9,Grouped,"[65,70)","6.8 (6.7, 6.9)",801568,sex,Total
Male,age_category5,4.4,4.3,4.4,Grouped,"[70,75)","4.4 (4.3, 4.4)",801568,sex,Total
Male,age_category5,2.1,2,2.1,Grouped,"[75,80)","2.1 (2, 2.1)",801568,sex,Total
Male,age_category5,1.1,1.1,1.1,Grouped,"[80,85)","1.1 (1.1, 1.1)",801568,sex,Total
Male,age_category5,0.5,0.4,0.5,Grouped,"[85,90)","0.5 (0.4, 0.5)",801568,sex,Total
Male,age_category5,0.1,0.1,0.1,Grouped,"[90,95)","0.1 (0.1, 0.1)",801568,sex,Total
Male,age_category5,0.1,0.1,0.1,Grouped,"[95,100]","0.1 (0.1, 0.1)",801568,sex,Total
Female,education,11.1,11,11.2,Grouped,Higher,"11.1 (11, 11.2)",889468,sex,Total
Female,education,39,38.9,39.1,Grouped,No education,"39 (38.9, 39.1)",889468,sex,Total
Female,education,14.5,14.4,14.6,Grouped,Primary,"14.5 (14.4, 14.6)",889468,sex,Total
Female,education,35.4,35.3,35.5,Grouped,Secondary,"35.4 (35.3, 35.5)",889468,sex,Total
