residence,variable,estimate,lci,uci,type,est_ci,n,stratification,strata
Rural,htn_diagnosed,35.4,34.8,35.9,Proportion,"35.4 (34.8, 35.9)",342580,,NA
Rural,htn_treated,14.7,14.4,14.9,Proportion,"14.7 (14.4, 14.9)",342580,,NA
Rural,htn_controlled,7.1,7,7.3,Proportion,"7.1 (7, 7.3)",342580,,NA
Urban,htn_diagnosed,39.9,39.1,40.8,Proportion,"39.9 (39.1, 40.8)",127440,,NA
Urban,htn_treated,24,23.4,24.5,Proportion,"24 (23.4, 24.5)",127440,,NA
Urban,htn_controlled,11.2,10.8,11.5,Proportion,"11.2 (10.8, 11.5)",127440,,NA
Rural,htn_diagnosed,43.1,42.4,43.8,Proportion,"43.1 (42.4, 43.8)",175225,sex,Female
Rural,htn_treated,16.9,16.5,17.2,Proportion,"16.9 (16.5, 17.2)",175225,sex,Female
Rural,htn_controlled,8.6,8.3,8.9,Proportion,"8.6 (8.3, 8.9)",175225,sex,Female
Rural,htn_diagnosed,26.3,25.8,26.8,Proportion,"26.3 (25.8, 26.8)",167355,sex,Male
Rural,htn_treated,12.1,11.9,12.4,Proportion,"12.1 (11.9, 12.4)",167355,sex,Male
Rural,htn_controlled,5.4,5.2,5.6,Proportion,"5.4 (5.2, 5.6)",167355,sex,Male
Urban,htn_diagnosed,47.9,46.8,48.9,Proportion,"47.9 (46.8, 48.9)",64009,sex,Female
Urban,htn_treated,27.5,26.8,28.2,Proportion,"27.5 (26.8, 28.2)",64009,sex,Female
Urban,htn_controlled,13.3,12.8,13.8,Proportion,"13.3 (12.8, 13.8)",64009,sex,Female
Urban,htn_diagnosed,32.2,31.4,33,Proportion,"32.2 (31.4, 33)",63431,sex,Male
Urban,htn_treated,20.5,19.9,21,Proportion,"20.5 (19.9, 21)",63431,sex,Male
Urban,htn_controlled,9.1,8.7,9.5,Proportion,"9.1 (8.7, 9.5)",63431,sex,Male
Rural,htn_diagnosed,32.6,31.8,33.4,Proportion,"32.6 (31.8, 33.4)",91424,age_category,18-39
Rural,htn_treated,7.3,7,7.6,Proportion,"7.3 (7, 7.6)",91424,age_category,18-39
Rural,htn_controlled,4.6,4.3,4.8,Proportion,"4.6 (4.3, 4.8)",91424,age_category,18-39
Rural,htn_diagnosed,36.6,36.1,37.1,Proportion,"36.6 (36.1, 37.1)",178497,age_category,40-64
Rural,htn_treated,20.5,20.1,20.8,Proportion,"20.5 (20.1, 20.8)",178497,age_category,40-64
Rural,htn_controlled,8.8,8.6,9,Proportion,"8.8 (8.6, 9)",178497,age_category,40-64
Rural,htn_diagnosed,45.7,45.1,46.4,Proportion,"45.7 (45.1, 46.4)",72659,age_category,65 plus
Rural,htn_treated,32.9,32.3,33.5,Proportion,"32.9 (32.3, 33.5)",72659,age_category,65 plus
Rural,htn_controlled,14.6,14.1,15,Proportion,"14.6 (14.1, 15)",72659,age_category,65 plus
Urban,htn_diagnosed,28.6,27.2,29.9,Proportion,"28.6 (27.2, 29.9)",32908,age_category,18-39
