state,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,residence,n5_state,zone
1,htn_screened,74.9,73.5,76.3,Proportion,"74.9 (73.5, 76.3)",54528,,NA,Total,Jammu & Kashmir,North
1,htn_disease,25.5,24.6,26.5,Proportion,"25.5 (24.6, 26.5)",54528,,NA,Total,Jammu & Kashmir,North
1,htn_diagnosed,14.4,13.6,15.2,Proportion,"14.4 (13.6, 15.2)",54528,,NA,Total,Jammu & Kashmir,North
1,htn_treated,9.7,9.1,10.3,Proportion,"9.7 (9.1, 10.3)",54528,,NA,Total,Jammu & Kashmir,North
1,htn_controlled,4.4,4,4.9,Proportion,"4.4 (4, 4.9)",54528,,NA,Total,Jammu & Kashmir,North
2,htn_screened,74.3,72.9,75.7,Proportion,"74.3 (72.9, 75.7)",27459,,NA,Total,Himachal Pradesh,North
2,htn_disease,26.6,25.6,27.5,Proportion,"26.6 (25.6, 27.5)",27459,,NA,Total,Himachal Pradesh,North
2,htn_diagnosed,12.8,12.1,13.6,Proportion,"12.8 (12.1, 13.6)",27459,,NA,Total,Himachal Pradesh,North
2,htn_treated,7.7,7.2,8.1,Proportion,"7.7 (7.2, 8.1)",27459,,NA,Total,Himachal Pradesh,North
2,htn_controlled,3.8,3.4,4.1,Proportion,"3.8 (3.4, 4.1)",27459,,NA,Total,Himachal Pradesh,North
3,htn_screened,80.2,79.1,81.3,Proportion,"80.2 (79.1, 81.3)",51933,,NA,Total,Punjab,North
3,htn_disease,42.5,41.5,43.4,Proportion,"42.5 (41.5, 43.4)",51933,,NA,Total,Punjab,North
3,htn_diagnosed,19.7,18.8,20.6,Proportion,"19.7 (18.8, 20.6)",51933,,NA,Total,Punjab,North
3,htn_treated,8.6,8.3,9,Proportion,"8.6 (8.3, 9)",51933,,NA,Total,Punjab,North
3,htn_controlled,3.1,2.8,3.3,Proportion,"3.1 (2.8, 3.3)",51933,,NA,Total,Punjab,North
4,htn_screened,81.4,76,86.8,Proportion,"81.4 (76, 86.8)",1418,,NA,Total,Chandigarh,North
4,htn_disease,36.5,33.5,39.5,Proportion,"36.5 (33.5, 39.5)",1418,,NA,Total,Chandigarh,North
4,htn_diagnosed,15.6,12.2,18.9,Proportion,"15.6 (12.2, 18.9)",1418,,NA,Total,Chandigarh,North
4,htn_treated,8.9,7,10.8,Proportion,"8.9 (7, 10.8)",1418,,NA,Total,Chandigarh,North
4,htn_controlled,3.9,2.7,5.2,Proportion,"3.9 (2.7, 5.2)",1418,,NA,Total,Chandigarh,North
5,htn_screened,70.5,69.1,71.9,Proportion,"70.5 (69.1, 71.9)",28825,,NA,Total,Uttarakhand,Central
5,htn_disease,33.1,32,34.2,Proportion,"33.1 (32, 34.2)",28825,,NA,Total,Uttarakhand,Central
5,htn_diagnosed,12.3,11.5,13.1,Proportion,"12.3 (11.5, 13.1)",28825,,NA,Total,Uttarakhand,Central
5,htn_treated,6.5,5.9,7,Proportion,"6.5 (5.9, 7)",28825,,NA,Total,Uttarakhand,Central
5,htn_controlled,2.5,2.2,2.8,Proportion,"2.5 (2.2, 2.8)",28825,,NA,Total,Uttarakhand,Central
6,htn_screened,72.7,71.8,73.7,Proportion,"72.7 (71.8, 73.7)",50875,,NA,Total,Haryana,North
6,htn_disease,31.3,30.5,32.1,Proportion,"31.3 (30.5, 32.1)",50875,,NA,Total,Haryana,North
6,htn_diagnosed,13.7,13,14.5,Proportion,"13.7 (13, 14.5)",50875,,NA,Total,Haryana,North
6,htn_treated,5.9,5.6,6.2,Proportion,"5.9 (5.6, 6.2)",50875,,NA,Total,Haryana,North
6,htn_controlled,2.4,2.2,2.6,Proportion,"2.4 (2.2, 2.6)",50875,,NA,Total,Haryana,North
7,htn_screened,80.5,79.3,81.7,Proportion,"80.5 (79.3, 81.7)",22150,,NA,Total,Nct Of Delhi,North
7,htn_disease,36.3,35.3,37.4,Proportion,"36.3 (35.3, 37.4)",22150,,NA,Total,Nct Of Delhi,North
7,htn_diagnosed,14.2,13.4,15,Proportion,"14.2 (13.4, 15)",22150,,NA,Total,Nct Of Delhi,North
7,htn_treated,9.6,9,10.1,Proportion,"9.6 (9, 10.1)",22150,,NA,Total,Nct Of Delhi,North
7,htn_controlled,3.4,3.1,3.7,Proportion,"3.4 (3.1, 3.7)",22150,,NA,Total,Nct Of Delhi,North
8,htn_screened,53.9,52.7,55.1,Proportion,"53.9 (52.7, 55.1)",96731,,NA,Total,Rajasthan,North
8,htn_disease,23.4,22.7,24.1,Proportion,"23.4 (22.7, 24.1)",96731,,NA,Total,Rajasthan,North
8,htn_diagnosed,8.7,8.2,9.3,Proportion,"8.7 (8.2, 9.3)",96731,,NA,Total,Rajasthan,North
8,htn_treated,3.8,3.6,4,Proportion,"3.8 (3.6, 4)",96731,,NA,Total,Rajasthan,North
8,htn_controlled,1.6,1.5,1.8,Proportion,"1.6 (1.5, 1.8)",96731,,NA,Total,Rajasthan,North
9,htn_screened,60.6,59.8,61.4,Proportion,"60.6 (59.8, 61.4)",197374,,NA,Total,Uttar Pradesh,Central
9,htn_disease,28.4,28,28.9,Proportion,"28.4 (28, 28.9)",197374,,NA,Total,Uttar Pradesh,Central
9,htn_diagnosed,10.5,10.1,11,Proportion,"10.5 (10.1, 11)",197374,,NA,Total,Uttar Pradesh,Central
9,htn_treated,3.3,3.2,3.4,Proportion,"3.3 (3.2, 3.4)",197374,,NA,Total,Uttar Pradesh,Central
9,htn_controlled,1.4,1.3,1.5,Proportion,"1.4 (1.3, 1.5)",197374,,NA,Total,Uttar Pradesh,Central
10,htn_screened,59.9,58.9,60.9,Proportion,"59.9 (58.9, 60.9)",87241,,NA,Total,Bihar,East
10,htn_disease,25.7,25,26.4,Proportion,"25.7 (25, 26.4)",87241,,NA,Total,Bihar,East
10,htn_diagnosed,13.8,13.1,14.6,Proportion,"13.8 (13.1, 14.6)",87241,,NA,Total,Bihar,East
10,htn_treated,4.9,4.7,5.2,Proportion,"4.9 (4.7, 5.2)",87241,,NA,Total,Bihar,East
10,htn_controlled,2.4,2.3,2.6,Proportion,"2.4 (2.3, 2.6)",87241,,NA,Total,Bihar,East
11,htn_screened,74.2,71.2,77.3,Proportion,"74.2 (71.2, 77.3)",8036,,NA,Total,Sikkim,North East
11,htn_disease,44,41.9,46.2,Proportion,"44 (41.9, 46.2)",8036,,NA,Total,Sikkim,North East
11,htn_diagnosed,16.7,15.1,18.2,Proportion,"16.7 (15.1, 18.2)",8036,,NA,Total,Sikkim,North East
11,htn_treated,8.9,7.9,9.9,Proportion,"8.9 (7.9, 9.9)",8036,,NA,Total,Sikkim,North East
11,htn_controlled,2.3,1.6,3,Proportion,"2.3 (1.6, 3)",8036,,NA,Total,Sikkim,North East
12,htn_screened,61.2,59.3,63.1,Proportion,"61.2 (59.3, 63.1)",45726,,NA,Total,Arunachal Pradesh,North East
12,htn_disease,36.1,34.9,37.3,Proportion,"36.1 (34.9, 37.3)",45726,,NA,Total,Arunachal Pradesh,North East
12,htn_diagnosed,11.1,10.2,12,Proportion,"11.1 (10.2, 12)",45726,,NA,Total,Arunachal Pradesh,North East
12,htn_treated,3.3,3,3.6,Proportion,"3.3 (3, 3.6)",45726,,NA,Total,Arunachal Pradesh,North East
12,htn_controlled,0.9,0.8,1.1,Proportion,"0.9 (0.8, 1.1)",45726,,NA,Total,Arunachal Pradesh,North East
13,htn_screened,56.4,53.9,58.9,Proportion,"56.4 (53.9, 58.9)",24100,,NA,Total,Nagaland,North East
13,htn_disease,31.3,30.1,32.6,Proportion,"31.3 (30.1, 32.6)",24100,,NA,Total,Nagaland,North East
13,htn_diagnosed,12.4,11.3,13.5,Proportion,"12.4 (11.3, 13.5)",24100,,NA,Total,Nagaland,North East
13,htn_treated,4.1,3.5,4.7,Proportion,"4.1 (3.5, 4.7)",24100,,NA,Total,Nagaland,North East
13,htn_controlled,0.7,0.5,0.8,Proportion,"0.7 (0.5, 0.8)",24100,,NA,Total,Nagaland,North East
14,htn_screened,83.6,82.4,84.7,Proportion,"83.6 (82.4, 84.7)",20676,,NA,Total,Manipur,North East
14,htn_disease,32.9,31.8,34,Proportion,"32.9 (31.8, 34)",20676,,NA,Total,Manipur,North East
14,htn_diagnosed,14.5,13.6,15.4,Proportion,"14.5 (13.6, 15.4)",20676,,NA,Total,Manipur,North East
14,htn_treated,8.2,7.5,8.9,Proportion,"8.2 (7.5, 8.9)",20676,,NA,Total,Manipur,North East
