state,residence,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,zone
1,Rural,htn_screened,73.1,71.5,74.6,Proportion,"73.1 (71.5, 74.6)",44462,,NA,Jammu & Kashmir,North
1,Rural,htn_disease,24.1,23,25.1,Proportion,"24.1 (23, 25.1)",44462,,NA,Jammu & Kashmir,North
1,Rural,htn_diagnosed,12.5,11.6,13.3,Proportion,"12.5 (11.6, 13.3)",44462,,NA,Jammu & Kashmir,North
1,Rural,htn_treated,8.4,7.8,9,Proportion,"8.4 (7.8, 9)",44462,,NA,Jammu & Kashmir,North
1,Rural,htn_controlled,6.7,6.1,7.3,Proportion,"6.7 (6.1, 7.3)",44462,,NA,Jammu & Kashmir,North
1,Urban,htn_screened,76.5,73.2,79.8,Proportion,"76.5 (73.2, 79.8)",10066,,NA,Jammu & Kashmir,North
1,Urban,htn_disease,26.8,24.8,28.8,Proportion,"26.8 (24.8, 28.8)",10066,,NA,Jammu & Kashmir,North
1,Urban,htn_diagnosed,16.5,14.7,18.3,Proportion,"16.5 (14.7, 18.3)",10066,,NA,Jammu & Kashmir,North
1,Urban,htn_treated,10.5,9.1,11.8,Proportion,"10.5 (9.1, 11.8)",10066,,NA,Jammu & Kashmir,North
1,Urban,htn_controlled,9.9,8.3,11.4,Proportion,"9.9 (8.3, 11.4)",10066,,NA,Jammu & Kashmir,North
2,Rural,htn_screened,74.9,73.4,76.4,Proportion,"74.9 (73.4, 76.4)",25328,,NA,Himachal Pradesh,North
2,Rural,htn_disease,28.5,27.3,29.7,Proportion,"28.5 (27.3, 29.7)",25328,,NA,Himachal Pradesh,North
2,Rural,htn_diagnosed,13.8,12.9,14.7,Proportion,"13.8 (12.9, 14.7)",25328,,NA,Himachal Pradesh,North
2,Rural,htn_treated,8.3,7.7,8.8,Proportion,"8.3 (7.7, 8.8)",25328,,NA,Himachal Pradesh,North
2,Rural,htn_controlled,6.8,6.2,7.4,Proportion,"6.8 (6.2, 7.4)",25328,,NA,Himachal Pradesh,North
2,Urban,htn_screened,80.1,76.1,84.1,Proportion,"80.1 (76.1, 84.1)",2131,,NA,Himachal Pradesh,North
2,Urban,htn_disease,30.7,28.3,33.2,Proportion,"30.7 (28.3, 33.2)",2131,,NA,Himachal Pradesh,North
2,Urban,htn_diagnosed,16.3,13.6,18.9,Proportion,"16.3 (13.6, 18.9)",2131,,NA,Himachal Pradesh,North
2,Urban,htn_treated,11.5,9.3,13.6,Proportion,"11.5 (9.3, 13.6)",2131,,NA,Himachal Pradesh,North
2,Urban,htn_controlled,9.1,7,11.1,Proportion,"9.1 (7, 11.1)",2131,,NA,Himachal Pradesh,North
3,Rural,htn_screened,79.3,78,80.7,Proportion,"79.3 (78, 80.7)",36144,,NA,Punjab,North
3,Rural,htn_disease,45.1,43.9,46.3,Proportion,"45.1 (43.9, 46.3)",36144,,NA,Punjab,North
3,Rural,htn_diagnosed,20.1,19,21.2,Proportion,"20.1 (19, 21.2)",36144,,NA,Punjab,North
3,Rural,htn_treated,8.5,8.1,9,Proportion,"8.5 (8.1, 9)",36144,,NA,Punjab,North
3,Rural,htn_controlled,7.8,7.2,8.5,Proportion,"7.8 (7.2, 8.5)",36144,,NA,Punjab,North
3,Urban,htn_screened,82.1,80.3,83.9,Proportion,"82.1 (80.3, 83.9)",15789,,NA,Punjab,North
3,Urban,htn_disease,42.9,41.3,44.6,Proportion,"42.9 (41.3, 44.6)",15789,,NA,Punjab,North
3,Urban,htn_diagnosed,19.7,18.2,21.2,Proportion,"19.7 (18.2, 21.2)",15789,,NA,Punjab,North
3,Urban,htn_treated,9.5,8.7,10.3,Proportion,"9.5 (8.7, 10.3)",15789,,NA,Punjab,North
3,Urban,htn_controlled,8.3,7.3,9.3,Proportion,"8.3 (7.3, 9.3)",15789,,NA,Punjab,North
4,Rural,htn_screened,89.1,89.1,89.1,Proportion,"89.1 (89.1, 89.1)",46,,NA,Chandigarh,North
4,Rural,htn_disease,45.7,45.7,45.7,Proportion,"45.7 (45.7, 45.7)",46,,NA,Chandigarh,North
4,Rural,htn_diagnosed,8.7,8.7,8.7,Proportion,"8.7 (8.7, 8.7)",46,,NA,Chandigarh,North
4,Rural,htn_treated,4.3,4.3,4.3,Proportion,"4.3 (4.3, 4.3)",46,,NA,Chandigarh,North
4,Rural,htn_controlled,2.2,2.2,2.2,Proportion,"2.2 (2.2, 2.2)",46,,NA,Chandigarh,North
4,Urban,htn_screened,80.5,74.8,86.3,Proportion,"80.5 (74.8, 86.3)",1372,,NA,Chandigarh,North
4,Urban,htn_disease,35.5,32,39,Proportion,"35.5 (32, 39)",1372,,NA,Chandigarh,North
4,Urban,htn_diagnosed,14.8,11.1,18.5,Proportion,"14.8 (11.1, 18.5)",1372,,NA,Chandigarh,North
4,Urban,htn_treated,8.2,5.9,10.6,Proportion,"8.2 (5.9, 10.6)",1372,,NA,Chandigarh,North
4,Urban,htn_controlled,7.3,4.6,9.9,Proportion,"7.3 (4.6, 9.9)",1372,,NA,Chandigarh,North
5,Rural,htn_screened,67.4,65.7,69.1,Proportion,"67.4 (65.7, 69.1)",23708,,NA,Uttarakhand,Central
5,Rural,htn_disease,32.4,31.1,33.6,Proportion,"32.4 (31.1, 33.6)",23708,,NA,Uttarakhand,Central
5,Rural,htn_diagnosed,10.9,10.1,11.7,Proportion,"10.9 (10.1, 11.7)",23708,,NA,Uttarakhand,Central
5,Rural,htn_treated,5,4.5,5.5,Proportion,"5 (4.5, 5.5)",23708,,NA,Uttarakhand,Central
5,Rural,htn_controlled,4.6,4.1,5.1,Proportion,"4.6 (4.1, 5.1)",23708,,NA,Uttarakhand,Central
5,Urban,htn_screened,77.5,74.6,80.4,Proportion,"77.5 (74.6, 80.4)",5117,,NA,Uttarakhand,Central
5,Urban,htn_disease,36.3,34,38.7,Proportion,"36.3 (34, 38.7)",5117,,NA,Uttarakhand,Central
5,Urban,htn_diagnosed,15.6,13.6,17.6,Proportion,"15.6 (13.6, 17.6)",5117,,NA,Uttarakhand,Central
5,Urban,htn_treated,9.8,8.2,11.4,Proportion,"9.8 (8.2, 11.4)",5117,,NA,Uttarakhand,Central
5,Urban,htn_controlled,6.8,5.7,7.9,Proportion,"6.8 (5.7, 7.9)",5117,,NA,Uttarakhand,Central
6,Rural,htn_screened,70.6,69.4,71.8,Proportion,"70.6 (69.4, 71.8)",35527,,NA,Haryana,North
6,Rural,htn_disease,30.6,29.6,31.6,Proportion,"30.6 (29.6, 31.6)",35527,,NA,Haryana,North
6,Rural,htn_diagnosed,12.5,11.7,13.4,Proportion,"12.5 (11.7, 13.4)",35527,,NA,Haryana,North
6,Rural,htn_treated,4.9,4.6,5.3,Proportion,"4.9 (4.6, 5.3)",35527,,NA,Haryana,North
6,Rural,htn_controlled,6.5,5.9,7.1,Proportion,"6.5 (5.9, 7.1)",35527,,NA,Haryana,North
6,Urban,htn_screened,75.6,74,77.3,Proportion,"75.6 (74, 77.3)",15348,,NA,Haryana,North
6,Urban,htn_disease,33.5,32.1,34.8,Proportion,"33.5 (32.1, 34.8)",15348,,NA,Haryana,North
6,Urban,htn_diagnosed,15,13.6,16.3,Proportion,"15 (13.6, 16.3)",15348,,NA,Haryana,North
6,Urban,htn_treated,7,6.4,7.6,Proportion,"7 (6.4, 7.6)",15348,,NA,Haryana,North
6,Urban,htn_controlled,7.1,6.1,8.2,Proportion,"7.1 (6.1, 8.2)",15348,,NA,Haryana,North
7,Rural,htn_screened,84.1,76.3,91.9,Proportion,"84.1 (76.3, 91.9)",856,,NA,Nct Of Delhi,North
7,Rural,htn_disease,32.2,23,41.4,Proportion,"32.2 (23, 41.4)",856,,NA,Nct Of Delhi,North
7,Rural,htn_diagnosed,15.9,7.7,24.2,Proportion,"15.9 (7.7, 24.2)",856,,NA,Nct Of Delhi,North
7,Rural,htn_treated,9.6,6.9,12.4,Proportion,"9.6 (6.9, 12.4)",856,,NA,Nct Of Delhi,North
