REGCODE,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,v024,REGNAME
1,htn_screened,92.5,88.8,96.3,Proportion,"92.5 (88.8, 96.3)",699,,NA,Jammu & Kashmir,1,Kupwara
1,htn_diagnosed,66.9,56.8,77,Proportion,"66.9 (56.8, 77)",699,,NA,Jammu & Kashmir,1,Kupwara
2,htn_screened,90.2,86.5,94,Proportion,"90.2 (86.5, 94)",666,,NA,Jammu & Kashmir,1,Badgam
2,htn_diagnosed,54.7,47.5,61.8,Proportion,"54.7 (47.5, 61.8)",666,,NA,Jammu & Kashmir,1,Badgam
3,htn_screened,95,92.1,97.9,Proportion,"95 (92.1, 97.9)",506,,NA,Ladakh,37,Leh
3,htn_diagnosed,65.3,55.1,75.6,Proportion,"65.3 (55.1, 75.6)",506,,NA,Ladakh,37,Leh
4,htn_screened,91,86.2,95.8,Proportion,"91 (86.2, 95.8)",898,,NA,Ladakh,37,Kargil
4,htn_diagnosed,69.3,58.8,79.8,Proportion,"69.3 (58.8, 79.8)",898,,NA,Ladakh,37,Kargil
5,htn_screened,93.1,90.3,95.9,Proportion,"93.1 (90.3, 95.9)",619,,NA,Jammu & Kashmir,1,Punch
5,htn_diagnosed,65.7,59,72.4,Proportion,"65.7 (59, 72.4)",619,,NA,Jammu & Kashmir,1,Punch
6,htn_screened,91.2,87,95.4,Proportion,"91.2 (87, 95.4)",552,,NA,Jammu & Kashmir,1,Rajouri
6,htn_diagnosed,42.9,32.7,53.2,Proportion,"42.9 (32.7, 53.2)",552,,NA,Jammu & Kashmir,1,Rajouri
7,htn_screened,92.1,88.4,95.8,Proportion,"92.1 (88.4, 95.8)",642,,NA,Jammu & Kashmir,1,Kathua
7,htn_diagnosed,17.7,10,25.3,Proportion,"17.7 (10, 25.3)",642,,NA,Jammu & Kashmir,1,Kathua
8,htn_screened,88.7,84.9,92.5,Proportion,"88.7 (84.9, 92.5)",758,,NA,Jammu & Kashmir,1,Baramula
8,htn_diagnosed,48.7,42.4,55.1,Proportion,"48.7 (42.4, 55.1)",758,,NA,Jammu & Kashmir,1,Baramula
9,htn_screened,86.2,81.4,91,Proportion,"86.2 (81.4, 91)",784,,NA,Jammu & Kashmir,1,Bandipore
9,htn_diagnosed,62.9,52.2,73.6,Proportion,"62.9 (52.2, 73.6)",784,,NA,Jammu & Kashmir,1,Bandipore
10,htn_screened,88.6,82.5,94.6,Proportion,"88.6 (82.5, 94.6)",691,,NA,Jammu & Kashmir,1,Srinagar
10,htn_diagnosed,77.5,68.9,86,Proportion,"77.5 (68.9, 86)",691,,NA,Jammu & Kashmir,1,Srinagar
11,htn_screened,90.4,87.2,93.6,Proportion,"90.4 (87.2, 93.6)",714,,NA,Jammu & Kashmir,1,Ganderbal
11,htn_diagnosed,57.3,49.7,64.9,Proportion,"57.3 (49.7, 64.9)",714,,NA,Jammu & Kashmir,1,Ganderbal
12,htn_screened,94.1,91.2,97,Proportion,"94.1 (91.2, 97)",755,,NA,Jammu & Kashmir,1,Pulwama
12,htn_diagnosed,58.5,50.2,66.8,Proportion,"58.5 (50.2, 66.8)",755,,NA,Jammu & Kashmir,1,Pulwama
13,htn_screened,95.4,92.8,97.9,Proportion,"95.4 (92.8, 97.9)",551,,NA,Jammu & Kashmir,1,Shupiyan
13,htn_diagnosed,50,42.2,57.7,Proportion,"50 (42.2, 57.7)",551,,NA,Jammu & Kashmir,1,Shupiyan
14,htn_screened,88.8,82.1,95.5,Proportion,"88.8 (82.1, 95.5)",555,,NA,Jammu & Kashmir,1,Anantnag
14,htn_diagnosed,55.9,47.4,64.5,Proportion,"55.9 (47.4, 64.5)",555,,NA,Jammu & Kashmir,1,Anantnag
15,htn_screened,93.6,90.1,97.1,Proportion,"93.6 (90.1, 97.1)",640,,NA,Jammu & Kashmir,1,Kulgam
15,htn_diagnosed,36.7,30,43.5,Proportion,"36.7 (30, 43.5)",640,,NA,Jammu & Kashmir,1,Kulgam
16,htn_screened,87.8,83.9,91.6,Proportion,"87.8 (83.9, 91.6)",554,,NA,Jammu & Kashmir,1,Doda
16,htn_diagnosed,44.3,35.3,53.3,Proportion,"44.3 (35.3, 53.3)",554,,NA,Jammu & Kashmir,1,Doda
17,htn_screened,92.4,88.4,96.4,Proportion,"92.4 (88.4, 96.4)",721,,NA,Jammu & Kashmir,1,Ramban
17,htn_diagnosed,62.1,48.9,75.3,Proportion,"62.1 (48.9, 75.3)",721,,NA,Jammu & Kashmir,1,Ramban
18,htn_screened,86.6,79.2,93.9,Proportion,"86.6 (79.2, 93.9)",437,,NA,Jammu & Kashmir,1,Kishtwar
18,htn_diagnosed,70.5,59.4,81.6,Proportion,"70.5 (59.4, 81.6)",437,,NA,Jammu & Kashmir,1,Kishtwar
19,htn_screened,91.3,87,95.7,Proportion,"91.3 (87, 95.7)",647,,NA,Jammu & Kashmir,1,Udhampur
19,htn_diagnosed,45.2,34.7,55.7,Proportion,"45.2 (34.7, 55.7)",647,,NA,Jammu & Kashmir,1,Udhampur
20,htn_screened,86.3,80.9,91.7,Proportion,"86.3 (80.9, 91.7)",469,,NA,Jammu & Kashmir,1,Reasi
20,htn_diagnosed,40.1,31.7,48.4,Proportion,"40.1 (31.7, 48.4)",469,,NA,Jammu & Kashmir,1,Reasi
21,htn_screened,87.6,80.3,94.9,Proportion,"87.6 (80.3, 94.9)",680,,NA,Jammu & Kashmir,1,Jammu
21,htn_diagnosed,64.7,57,72.5,Proportion,"64.7 (57, 72.5)",680,,NA,Jammu & Kashmir,1,Jammu
22,htn_screened,86.1,80.4,91.7,Proportion,"86.1 (80.4, 91.7)",766,,NA,Jammu & Kashmir,1,Samba
22,htn_diagnosed,56.1,46.4,65.9,Proportion,"56.1 (46.4, 65.9)",766,,NA,Jammu & Kashmir,1,Samba
23,htn_screened,81.3,76,86.7,Proportion,"81.3 (76, 86.7)",616,,NA,Himachal Pradesh,2,Chamba
23,htn_diagnosed,40.7,33.5,47.9,Proportion,"40.7 (33.5, 47.9)",616,,NA,Himachal Pradesh,2,Chamba
24,htn_screened,85.1,81,89.3,Proportion,"85.1 (81, 89.3)",673,,NA,Himachal Pradesh,2,Kangra
24,htn_diagnosed,48.6,41.8,55.5,Proportion,"48.6 (41.8, 55.5)",673,,NA,Himachal Pradesh,2,Kangra
25,htn_screened,84.1,78.3,89.9,Proportion,"84.1 (78.3, 89.9)",435,,NA,Himachal Pradesh,2,Lahul & Spiti
25,htn_diagnosed,44.4,38.6,50.3,Proportion,"44.4 (38.6, 50.3)",435,,NA,Himachal Pradesh,2,Lahul & Spiti
26,htn_screened,84.6,79.6,89.6,Proportion,"84.6 (79.6, 89.6)",571,,NA,Himachal Pradesh,2,Kullu
26,htn_diagnosed,53.4,43.5,63.2,Proportion,"53.4 (43.5, 63.2)",571,,NA,Himachal Pradesh,2,Kullu
27,htn_screened,89.6,87,92.2,Proportion,"89.6 (87, 92.2)",617,,NA,Himachal Pradesh,2,Mandi
27,htn_diagnosed,51.4,46.1,56.6,Proportion,"51.4 (46.1, 56.6)",617,,NA,Himachal Pradesh,2,Mandi
28,htn_screened,89.7,87.3,92,Proportion,"89.7 (87.3, 92)",770,,NA,Himachal Pradesh,2,Hamirpur
28,htn_diagnosed,59.1,54.7,63.6,Proportion,"59.1 (54.7, 63.6)",770,,NA,Himachal Pradesh,2,Hamirpur
29,htn_screened,86.3,83.6,89,Proportion,"86.3 (83.6, 89)",742,,NA,Himachal Pradesh,2,Una
29,htn_diagnosed,60.9,54.9,66.9,Proportion,"60.9 (54.9, 66.9)",742,,NA,Himachal Pradesh,2,Una
30,htn_screened,87.4,84.2,90.5,Proportion,"87.4 (84.2, 90.5)",665,,NA,Himachal Pradesh,2,Bilaspur
30,htn_diagnosed,53.9,48.6,59.3,Proportion,"53.9 (48.6, 59.3)",665,,NA,Himachal Pradesh,2,Bilaspur
31,htn_screened,86.4,83,89.8,Proportion,"86.4 (83, 89.8)",560,,NA,Himachal Pradesh,2,Solan
31,htn_diagnosed,39,33.9,44.1,Proportion,"39 (33.9, 44.1)",560,,NA,Himachal Pradesh,2,Solan
32,htn_screened,87.9,85.3,90.5,Proportion,"87.9 (85.3, 90.5)",743,,NA,Himachal Pradesh,2,Sirmaur
32,htn_diagnosed,45.6,38.5,52.8,Proportion,"45.6 (38.5, 52.8)",743,,NA,Himachal Pradesh,2,Sirmaur
33,htn_screened,90,87.8,92.2,Proportion,"90 (87.8, 92.2)",591,,NA,Himachal Pradesh,2,Shimla
33,htn_diagnosed,44.5,38.2,50.7,Proportion,"44.5 (38.2, 50.7)",591,,NA,Himachal Pradesh,2,Shimla
34,htn_screened,89.4,86.9,92,Proportion,"89.4 (86.9, 92)",568,,NA,Himachal Pradesh,2,Kinnaur
34,htn_diagnosed,42,36.8,47.2,Proportion,"42 (36.8, 47.2)",568,,NA,Himachal Pradesh,2,Kinnaur
36,htn_screened,94,91.9,96,Proportion,"94 (91.9, 96)",1079,,NA,Punjab,3,Kapurthala
36,htn_diagnosed,51.8,45.1,58.5,Proportion,"51.8 (45.1, 58.5)",1079,,NA,Punjab,3,Kapurthala
37,htn_screened,91.4,88.6,94.3,Proportion,"91.4 (88.6, 94.3)",840,,NA,Punjab,3,Jalandhar
37,htn_diagnosed,43.1,37,49.3,Proportion,"43.1 (37, 49.3)",840,,NA,Punjab,3,Jalandhar
38,htn_screened,90.3,87.1,93.5,Proportion,"90.3 (87.1, 93.5)",1198,,NA,Punjab,3,Hoshiarpur
38,htn_diagnosed,33.5,28.2,38.8,Proportion,"33.5 (28.2, 38.8)",1198,,NA,Punjab,3,Hoshiarpur
39,htn_screened,91.9,89.5,94.2,Proportion,"91.9 (89.5, 94.2)",1257,,NA,Punjab,3,Shahid Bhagat Singh Nagar
39,htn_diagnosed,35.8,29,42.5,Proportion,"35.8 (29, 42.5)",1257,,NA,Punjab,3,Shahid Bhagat Singh Nagar
40,htn_screened,92.5,90.3,94.7,Proportion,"92.5 (90.3, 94.7)",865,,NA,Punjab,3,Fatehgarh Sahib
40,htn_diagnosed,49.8,44.3,55.4,Proportion,"49.8 (44.3, 55.4)",865,,NA,Punjab,3,Fatehgarh Sahib
41,htn_screened,96.2,94.7,97.7,Proportion,"96.2 (94.7, 97.7)",704,,NA,Punjab,3,Ludhiana
41,htn_diagnosed,52.4,46.5,58.4,Proportion,"52.4 (46.5, 58.4)",704,,NA,Punjab,3,Ludhiana
42,htn_screened,88.7,85.7,91.8,Proportion,"88.7 (85.7, 91.8)",1142,,NA,Punjab,3,Moga
42,htn_diagnosed,46.7,40.5,52.9,Proportion,"46.7 (40.5, 52.9)",1142,,NA,Punjab,3,Moga
44,htn_screened,88.2,84.2,92.1,Proportion,"88.2 (84.2, 92.1)",999,,NA,Punjab,3,Muktsar
44,htn_diagnosed,54.4,48,60.8,Proportion,"54.4 (48, 60.8)",999,,NA,Punjab,3,Muktsar
45,htn_screened,84.9,81.5,88.4,Proportion,"84.9 (81.5, 88.4)",1123,,NA,Punjab,3,Faridkot
45,htn_diagnosed,60.8,56.1,65.6,Proportion,"60.8 (56.1, 65.6)",1123,,NA,Punjab,3,Faridkot
46,htn_screened,85,81.8,88.3,Proportion,"85 (81.8, 88.3)",1137,,NA,Punjab,3,Bathinda
46,htn_diagnosed,60.1,53.5,66.7,Proportion,"60.1 (53.5, 66.7)",1137,,NA,Punjab,3,Bathinda
47,htn_screened,69.4,64.6,74.3,Proportion,"69.4 (64.6, 74.3)",1117,,NA,Punjab,3,Mansa
47,htn_diagnosed,37.4,31.9,42.8,Proportion,"37.4 (31.9, 42.8)",1117,,NA,Punjab,3,Mansa
48,htn_screened,95.2,93.5,96.9,Proportion,"95.2 (93.5, 96.9)",785,,NA,Punjab,3,Patiala
48,htn_diagnosed,52.2,46.1,58.2,Proportion,"52.2 (46.1, 58.2)",785,,NA,Punjab,3,Patiala
49,htn_screened,85.6,80.2,91,Proportion,"85.6 (80.2, 91)",1053,,NA,Punjab,3,Amritsar
49,htn_diagnosed,35.6,28.4,42.8,Proportion,"35.6 (28.4, 42.8)",1053,,NA,Punjab,3,Amritsar
50,htn_screened,95.3,92.7,97.9,Proportion,"95.3 (92.7, 97.9)",985,,NA,Punjab,3,Tarn Taran
50,htn_diagnosed,48.8,42.9,54.7,Proportion,"48.8 (42.9, 54.7)",985,,NA,Punjab,3,Tarn Taran
51,htn_screened,95.7,93.9,97.6,Proportion,"95.7 (93.9, 97.6)",773,,NA,Punjab,3,Rupnagar
51,htn_diagnosed,53.8,49.7,57.8,Proportion,"53.8 (49.7, 57.8)",773,,NA,Punjab,3,Rupnagar
52,htn_screened,93,90.3,95.8,Proportion,"93 (90.3, 95.8)",734,,NA,Punjab,3,Sahibzada Ajit Singh Nagar
52,htn_diagnosed,52.6,47,58.2,Proportion,"52.6 (47, 58.2)",734,,NA,Punjab,3,Sahibzada Ajit Singh Nagar
53,htn_screened,74.6,70.4,78.8,Proportion,"74.6 (70.4, 78.8)",1011,,NA,Punjab,3,Sangrur
