REGCODE,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,v024,REGNAME
1,htn_unscreened,7.5,3.7,11.2,Proportion,"7.5 (3.7, 11.2)",699,,NA,Jammu & Kashmir,1,Kupwara
1,htn_undiagnosed,33.1,23,43.2,Proportion,"33.1 (23, 43.2)",699,,NA,Jammu & Kashmir,1,Kupwara
2,htn_unscreened,9.8,6,13.5,Proportion,"9.8 (6, 13.5)",666,,NA,Jammu & Kashmir,1,Badgam
2,htn_undiagnosed,45.3,38.2,52.5,Proportion,"45.3 (38.2, 52.5)",666,,NA,Jammu & Kashmir,1,Badgam
3,htn_unscreened,5,2.1,7.9,Proportion,"5 (2.1, 7.9)",506,,NA,Ladakh,37,Leh
3,htn_undiagnosed,34.7,24.4,44.9,Proportion,"34.7 (24.4, 44.9)",506,,NA,Ladakh,37,Leh
4,htn_unscreened,9,4.2,13.8,Proportion,"9 (4.2, 13.8)",898,,NA,Ladakh,37,Kargil
4,htn_undiagnosed,30.7,20.2,41.2,Proportion,"30.7 (20.2, 41.2)",898,,NA,Ladakh,37,Kargil
5,htn_unscreened,6.9,4.1,9.7,Proportion,"6.9 (4.1, 9.7)",619,,NA,Jammu & Kashmir,1,Punch
5,htn_undiagnosed,34.3,27.6,41,Proportion,"34.3 (27.6, 41)",619,,NA,Jammu & Kashmir,1,Punch
6,htn_unscreened,8.8,4.6,13,Proportion,"8.8 (4.6, 13)",552,,NA,Jammu & Kashmir,1,Rajouri
6,htn_undiagnosed,57.1,46.8,67.3,Proportion,"57.1 (46.8, 67.3)",552,,NA,Jammu & Kashmir,1,Rajouri
7,htn_unscreened,7.9,4.2,11.6,Proportion,"7.9 (4.2, 11.6)",642,,NA,Jammu & Kashmir,1,Kathua
7,htn_undiagnosed,82.3,74.7,90,Proportion,"82.3 (74.7, 90)",642,,NA,Jammu & Kashmir,1,Kathua
8,htn_unscreened,11.3,7.5,15.1,Proportion,"11.3 (7.5, 15.1)",758,,NA,Jammu & Kashmir,1,Baramula
8,htn_undiagnosed,51.3,44.9,57.6,Proportion,"51.3 (44.9, 57.6)",758,,NA,Jammu & Kashmir,1,Baramula
9,htn_unscreened,13.8,9,18.6,Proportion,"13.8 (9, 18.6)",784,,NA,Jammu & Kashmir,1,Bandipore
9,htn_undiagnosed,37.1,26.4,47.8,Proportion,"37.1 (26.4, 47.8)",784,,NA,Jammu & Kashmir,1,Bandipore
10,htn_unscreened,11.4,5.4,17.5,Proportion,"11.4 (5.4, 17.5)",691,,NA,Jammu & Kashmir,1,Srinagar
10,htn_undiagnosed,22.5,14,31.1,Proportion,"22.5 (14, 31.1)",691,,NA,Jammu & Kashmir,1,Srinagar
11,htn_unscreened,9.6,6.4,12.8,Proportion,"9.6 (6.4, 12.8)",714,,NA,Jammu & Kashmir,1,Ganderbal
11,htn_undiagnosed,42.7,35.1,50.3,Proportion,"42.7 (35.1, 50.3)",714,,NA,Jammu & Kashmir,1,Ganderbal
12,htn_unscreened,5.9,3,8.8,Proportion,"5.9 (3, 8.8)",755,,NA,Jammu & Kashmir,1,Pulwama
12,htn_undiagnosed,41.5,33.2,49.8,Proportion,"41.5 (33.2, 49.8)",755,,NA,Jammu & Kashmir,1,Pulwama
13,htn_unscreened,4.6,2.1,7.2,Proportion,"4.6 (2.1, 7.2)",551,,NA,Jammu & Kashmir,1,Shupiyan
13,htn_undiagnosed,50,42.3,57.8,Proportion,"50 (42.3, 57.8)",551,,NA,Jammu & Kashmir,1,Shupiyan
14,htn_unscreened,11.2,4.5,17.9,Proportion,"11.2 (4.5, 17.9)",555,,NA,Jammu & Kashmir,1,Anantnag
14,htn_undiagnosed,44.1,35.5,52.6,Proportion,"44.1 (35.5, 52.6)",555,,NA,Jammu & Kashmir,1,Anantnag
15,htn_unscreened,6.4,2.9,9.9,Proportion,"6.4 (2.9, 9.9)",640,,NA,Jammu & Kashmir,1,Kulgam
