residence,variable,estimate,lci,uci,type,est_ci,n,stratification,strata
Rural,htn_unscreened,25.9,25.5,26.3,Proportion,"25.9 (25.5, 26.3)",351680,,NA
Rural,htn_undiagnosed,63.6,63.1,64.1,Proportion,"63.6 (63.1, 64.1)",351680,,NA
Urban,htn_unscreened,16.1,15.5,16.7,Proportion,"16.1 (15.5, 16.7)",130041,,NA
Urban,htn_undiagnosed,57.1,56.3,57.8,Proportion,"57.1 (56.3, 57.8)",130041,,NA
Rural,htn_unscreened,20.4,20,20.8,Proportion,"20.4 (20, 20.8)",179456,sex,Female
Rural,htn_undiagnosed,56.9,56.4,57.5,Proportion,"56.9 (56.4, 57.5)",179456,sex,Female
Rural,htn_unscreened,31.9,31.4,32.3,Proportion,"31.9 (31.4, 32.3)",172224,sex,Male
Rural,htn_undiagnosed,70.9,70.4,71.4,Proportion,"70.9 (70.4, 71.4)",172224,sex,Male
Urban,htn_unscreened,11.5,10.9,12.2,Proportion,"11.5 (10.9, 12.2)",65225,sex,Female
Urban,htn_undiagnosed,49.6,48.8,50.5,Proportion,"49.6 (48.8, 50.5)",65225,sex,Female
Urban,htn_unscreened,20.9,20.2,21.6,Proportion,"20.9 (20.2, 21.6)",64816,sex,Male
Urban,htn_undiagnosed,64.8,64,65.6,Proportion,"64.8 (64, 65.6)",64816,sex,Male
Rural,htn_unscreened,32.3,31.7,32.8,Proportion,"32.3 (31.7, 32.8)",91818,age_category,18-39
Rural,htn_undiagnosed,68.4,67.7,69.2,Proportion,"68.4 (67.7, 69.2)",91818,age_category,18-39
Rural,htn_unscreened,24.8,24.4,25.2,Proportion,"24.8 (24.4, 25.2)",184113,age_category,40-64
Rural,htn_undiagnosed,64.4,63.9,64.9,Proportion,"64.4 (63.9, 64.9)",184113,age_category,40-64
Rural,htn_unscreened,21.2,20.7,21.7,Proportion,"21.2 (20.7, 21.7)",75749,age_category,65 plus
Rural,htn_undiagnosed,56.3,55.7,56.9,Proportion,"56.3 (55.7, 56.9)",75749,age_category,65 plus
Urban,htn_unscreened,27.4,26.4,28.5,Proportion,"27.4 (26.4, 28.5)",32842,age_category,18-39
Urban,htn_undiagnosed,71.7,70.4,72.9,Proportion,"71.7 (70.4, 72.9)",32842,age_category,18-39
Urban,htn_unscreened,13.9,13.3,14.5,Proportion,"13.9 (13.3, 14.5)",70972,age_category,40-64
Urban,htn_undiagnosed,56.5,55.8,57.3,Proportion,"56.5 (55.8, 57.3)",70972,age_category,40-64
Urban,htn_unscreened,9.2,8.5,9.8,Proportion,"9.2 (8.5, 9.8)",26227,age_category,65 plus
Urban,htn_undiagnosed,41.9,40.8,43,Proportion,"41.9 (40.8, 43)",26227,age_category,65 plus
Rural,htn_unscreened,24.9,24.1,25.8,Proportion,"24.9 (24.1, 25.8)",23707,education,Higher
Rural,htn_undiagnosed,63.7,62.6,64.8,Proportion,"63.7 (62.6, 64.8)",23707,education,Higher
Rural,htn_unscreened,27.3,26.8,27.8,Proportion,"27.3 (26.8, 27.8)",146745,education,No education
Rural,htn_undiagnosed,63.9,63.4,64.4,Proportion,"63.9 (63.4, 64.4)",146745,education,No education
Rural,htn_unscreened,24.3,23.7,24.9,Proportion,"24.3 (23.7, 24.9)",59638,education,Primary
Rural,htn_undiagnosed,62.1,61.4,62.8,Proportion,"62.1 (61.4, 62.8)",59638,education,Primary
Rural,htn_unscreened,25.2,24.7,25.6,Proportion,"25.2 (24.7, 25.6)",121590,education,Secondary
Rural,htn_undiagnosed,64,63.4,64.5,Proportion,"64 (63.4, 64.5)",121590,education,Secondary
Urban,htn_unscreened,15.5,14.6,16.5,Proportion,"15.5 (14.6, 16.5)",24364,education,Higher
Urban,htn_undiagnosed,57.7,56.4,59,Proportion,"57.7 (56.4, 59)",24364,education,Higher
Urban,htn_unscreened,17.1,16.2,17.9,Proportion,"17.1 (16.2, 17.9)",28218,education,No education
Urban,htn_undiagnosed,55.7,54.6,56.8,Proportion,"55.7 (54.6, 56.8)",28218,education,No education
Urban,htn_unscreened,15.5,14.6,16.4,Proportion,"15.5 (14.6, 16.4)",18853,education,Primary
Urban,htn_undiagnosed,55.4,54.2,56.7,Proportion,"55.4 (54.2, 56.7)",18853,education,Primary
Urban,htn_unscreened,16.2,15.5,16.8,Proportion,"16.2 (15.5, 16.8)",58606,education,Secondary
