strata,variable,estimate,lci,uci,type,group,est_ci,n,stratification
Analytic,bmi,22.8,22.7,22.8,Continuous,NA,"22.8 (22.7, 22.8)",697651,status
Analytic,age,41.8,41.8,41.9,Continuous,NA,"41.8 (41.8, 41.9)",1691109,status
Excluded,bmi,22.8,22.5,23.1,Continuous,NA,"22.8 (22.5, 23.1)",2085,status
Excluded,age,38.9,38.8,39,Continuous,NA,"38.9 (38.8, 39)",204188,status
Analytic,highwc,40,39.7,40.3,Proportion,NA,"40 (39.7, 40.3)",698201,status
Analytic,htn,28.4,28.2,28.6,Proportion,NA,"28.4 (28.2, 28.6)",1691109,status
Analytic,highbp,22.9,22.7,23,Proportion,NA,"22.9 (22.7, 23)",1691109,status
Analytic,diaghtn,49.8,49.3,50.3,Proportion,NA,"49.8 (49.3, 50.3)",179328,status
Analytic,htn_screened,63.8,63.5,64.2,Proportion,NA,"63.8 (63.5, 64.2)",1691109,status
Analytic,htn_disease,28.4,28.2,28.6,Proportion,NA,"28.4 (28.2, 28.6)",1691109,status
Analytic,htn_diagnosed,11,10.8,11.1,Proportion,NA,"11 (10.8, 11.1)",1691109,status
Analytic,htn_treated,6.4,6.3,6.5,Proportion,NA,"6.4 (6.3, 6.5)",1691109,status
Analytic,htn_controlled,2.7,2.6,2.7,Proportion,NA,"2.7 (2.6, 2.7)",1691109,status
Excluded,highwc,41,38,44.1,Proportion,NA,"41 (38, 44.1)",1894,status
Excluded,htn_screened,0,0,0,Proportion,NA,"0 (0, 0)",204188,status
Analytic,residence,67.9,67.2,68.7,Grouped,Rural,"67.9 (67.2, 68.7)",1691109,status
Analytic,residence,32.1,31.3,32.8,Grouped,Urban,"32.1 (31.3, 32.8)",1691109,status
Excluded,residence,56.1,54.7,57.5,Grouped,Rural,"56.1 (54.7, 57.5)",204188,status
Excluded,residence,43.9,42.5,45.3,Grouped,Urban,"43.9 (42.5, 45.3)",204188,status
Analytic,sex,53,52.9,53.1,Grouped,Female,"53 (52.9, 53.1)",1691109,status
Analytic,sex,47,46.9,47.1,Grouped,Male,"47 (46.9, 47.1)",1691109,status
Excluded,sex,35.4,35,35.7,Grouped,Female,"35.4 (35, 35.7)",204188,status
Excluded,sex,64.6,64.3,65,Grouped,Male,"64.6 (64.3, 65)",204188,status
Analytic,age_category,49.6,49.4,49.8,Grouped,18-39,"49.6 (49.4, 49.8)",1691109,status
Analytic,age_category,39.1,38.9,39.2,Grouped,40-64,"39.1 (38.9, 39.2)",1691109,status
Analytic,age_category,11.3,11.2,11.4,Grouped,65 plus,"11.3 (11.2, 11.4)",1691109,status
Excluded,age_category,57.6,57.2,58,Grouped,18-39,"57.6 (57.2, 58)",204188,status
Excluded,age_category,33.8,33.5,34.1,Grouped,40-64,"33.8 (33.5, 34.1)",204188,status
Excluded,age_category,8.6,8.4,8.8,Grouped,65 plus,"8.6 (8.4, 8.8)",204188,status
Analytic,age_category10,28.6,28.5,28.8,Grouped,"[18,30)","28.6 (28.5, 28.8)",1691109,status
Analytic,age_category10,21,20.9,21.1,Grouped,"[30,40)","21 (20.9, 21.1)",1691109,status
Analytic,age_category10,18,17.9,18.1,Grouped,"[40,50)","18 (17.9, 18.1)",1691109,status
Analytic,age_category10,14.4,14.3,14.5,Grouped,"[50,60)","14.4 (14.3, 14.5)",1691109,status
Analytic,age_category10,11.4,11.4,11.5,Grouped,"[60,70)","11.4 (11.4, 11.5)",1691109,status
Analytic,age_category10,4.8,4.7,4.8,Grouped,"[70,80)","4.8 (4.7, 4.8)",1691109,status
Analytic,age_category10,1.8,1.8,1.8,Grouped,"[80,100]","1.8 (1.8, 1.8)",1691109,status
Excluded,age_category10,35.9,35.6,36.3,Grouped,"[18,30)","35.9 (35.6, 36.3)",204188,status
Excluded,age_category10,21.7,21.3,22,Grouped,"[30,40)","21.7 (21.3, 22)",204188,status
Excluded,age_category10,16.4,16.1,16.7,Grouped,"[40,50)","16.4 (16.1, 16.7)",204188,status
