state,residence,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,zone
1,Rural,htn_screened,74.2,72.8,75.7,Proportion,"74.2 (72.8, 75.7)",44461,,NA,Jammu & Kashmir,North
1,Rural,htn_disease,61.3,59.7,62.8,Proportion,"61.3 (59.7, 62.8)",44461,,NA,Jammu & Kashmir,North
1,Rural,htn_diagnosed,13.5,12.6,14.4,Proportion,"13.5 (12.6, 14.4)",44461,,NA,Jammu & Kashmir,North
1,Rural,htn_treated,9.3,8.6,9.9,Proportion,"9.3 (8.6, 9.9)",44461,,NA,Jammu & Kashmir,North
1,Rural,htn_controlled,4,3.5,4.4,Proportion,"4 (3.5, 4.4)",44461,,NA,Jammu & Kashmir,North
1,Urban,htn_screened,76.7,73.4,80,Proportion,"76.7 (73.4, 80)",10066,,NA,Jammu & Kashmir,North
1,Urban,htn_disease,59.8,57.2,62.4,Proportion,"59.8 (57.2, 62.4)",10066,,NA,Jammu & Kashmir,North
1,Urban,htn_diagnosed,17,15.2,18.9,Proportion,"17 (15.2, 18.9)",10066,,NA,Jammu & Kashmir,North
1,Urban,htn_treated,10.9,9.6,12.3,Proportion,"10.9 (9.6, 12.3)",10066,,NA,Jammu & Kashmir,North
1,Urban,htn_controlled,5.7,4.5,6.8,Proportion,"5.7 (4.5, 6.8)",10066,,NA,Jammu & Kashmir,North
2,Rural,htn_screened,73.6,72.1,75,Proportion,"73.6 (72.1, 75)",25328,,NA,Himachal Pradesh,North
2,Rural,htn_disease,58.3,57,59.5,Proportion,"58.3 (57, 59.5)",25328,,NA,Himachal Pradesh,North
2,Rural,htn_diagnosed,12.4,11.6,13.1,Proportion,"12.4 (11.6, 13.1)",25328,,NA,Himachal Pradesh,North
2,Rural,htn_treated,7.1,6.7,7.6,Proportion,"7.1 (6.7, 7.6)",25328,,NA,Himachal Pradesh,North
2,Rural,htn_controlled,3.4,3,3.7,Proportion,"3.4 (3, 3.7)",25328,,NA,Himachal Pradesh,North
2,Urban,htn_screened,79.6,75.6,83.6,Proportion,"79.6 (75.6, 83.6)",2131,,NA,Himachal Pradesh,North
2,Urban,htn_disease,64.1,58.1,70.1,Proportion,"64.1 (58.1, 70.1)",2131,,NA,Himachal Pradesh,North
2,Urban,htn_diagnosed,16.1,14.1,18.2,Proportion,"16.1 (14.1, 18.2)",2131,,NA,Himachal Pradesh,North
2,Urban,htn_treated,11.3,9.8,12.8,Proportion,"11.3 (9.8, 12.8)",2131,,NA,Himachal Pradesh,North
2,Urban,htn_controlled,6.7,5.3,8.1,Proportion,"6.7 (5.3, 8.1)",2131,,NA,Himachal Pradesh,North
3,Rural,htn_screened,79.3,77.9,80.6,Proportion,"79.3 (77.9, 80.6)",36143,,NA,Punjab,North
3,Rural,htn_disease,72.9,72.1,73.8,Proportion,"72.9 (72.1, 73.8)",36143,,NA,Punjab,North
3,Rural,htn_diagnosed,19.8,18.7,21,Proportion,"19.8 (18.7, 21)",36143,,NA,Punjab,North
3,Rural,htn_treated,8.3,7.8,8.7,Proportion,"8.3 (7.8, 8.7)",36143,,NA,Punjab,North
3,Rural,htn_controlled,2.7,2.5,2.9,Proportion,"2.7 (2.5, 2.9)",36143,,NA,Punjab,North
3,Urban,htn_screened,81.9,80.1,83.7,Proportion,"81.9 (80.1, 83.7)",15789,,NA,Punjab,North
3,Urban,htn_disease,72.2,70.9,73.5,Proportion,"72.2 (70.9, 73.5)",15789,,NA,Punjab,North
3,Urban,htn_diagnosed,19.4,17.9,20.9,Proportion,"19.4 (17.9, 20.9)",15789,,NA,Punjab,North
3,Urban,htn_treated,9.3,8.6,9.9,Proportion,"9.3 (8.6, 9.9)",15789,,NA,Punjab,North
3,Urban,htn_controlled,3.8,3.3,4.3,Proportion,"3.8 (3.3, 4.3)",15789,,NA,Punjab,North
4,Rural,htn_screened,90.3,90.3,90.3,Proportion,"90.3 (90.3, 90.3)",46,,NA,Chandigarh,North
4,Rural,htn_disease,81.5,81.5,81.5,Proportion,"81.5 (81.5, 81.5)",46,,NA,Chandigarh,North
4,Rural,htn_diagnosed,12.8,12.8,12.8,Proportion,"12.8 (12.8, 12.8)",46,,NA,Chandigarh,North
4,Rural,htn_treated,7.6,7.6,7.6,Proportion,"7.6 (7.6, 7.6)",46,,NA,Chandigarh,North
4,Rural,htn_controlled,7.6,7.6,7.6,Proportion,"7.6 (7.6, 7.6)",46,,NA,Chandigarh,North
4,Urban,htn_screened,81.3,75.9,86.7,Proportion,"81.3 (75.9, 86.7)",1372,,NA,Chandigarh,North
4,Urban,htn_disease,63.8,60.3,67.4,Proportion,"63.8 (60.3, 67.4)",1372,,NA,Chandigarh,North
4,Urban,htn_diagnosed,15.6,12.2,19,Proportion,"15.6 (12.2, 19)",1372,,NA,Chandigarh,North
4,Urban,htn_treated,8.9,7,10.9,Proportion,"8.9 (7, 10.9)",1372,,NA,Chandigarh,North
4,Urban,htn_controlled,3.9,2.6,5.1,Proportion,"3.9 (2.6, 5.1)",1372,,NA,Chandigarh,North
5,Rural,htn_screened,67.2,65.5,68.9,Proportion,"67.2 (65.5, 68.9)",23708,,NA,Uttarakhand,Central
5,Rural,htn_disease,65.9,64.8,67,Proportion,"65.9 (64.8, 67)",23708,,NA,Uttarakhand,Central
5,Rural,htn_diagnosed,10.6,9.8,11.4,Proportion,"10.6 (9.8, 11.4)",23708,,NA,Uttarakhand,Central
5,Rural,htn_treated,4.7,4.3,5.2,Proportion,"4.7 (4.3, 5.2)",23708,,NA,Uttarakhand,Central
5,Rural,htn_controlled,1.7,1.4,2,Proportion,"1.7 (1.4, 2)",23708,,NA,Uttarakhand,Central
5,Urban,htn_screened,78.2,75.5,80.8,Proportion,"78.2 (75.5, 80.8)",5117,,NA,Uttarakhand,Central
5,Urban,htn_disease,68.6,66.5,70.7,Proportion,"68.6 (66.5, 70.7)",5117,,NA,Uttarakhand,Central
5,Urban,htn_diagnosed,16.4,14.5,18.4,Proportion,"16.4 (14.5, 18.4)",5117,,NA,Uttarakhand,Central
5,Urban,htn_treated,10.5,9,11.9,Proportion,"10.5 (9, 11.9)",5117,,NA,Uttarakhand,Central
5,Urban,htn_controlled,4.4,3.5,5.2,Proportion,"4.4 (3.5, 5.2)",5117,,NA,Uttarakhand,Central
6,Rural,htn_screened,70.9,69.7,72.1,Proportion,"70.9 (69.7, 72.1)",35527,,NA,Haryana,North
6,Rural,htn_disease,65,64.1,65.8,Proportion,"65 (64.1, 65.8)",35527,,NA,Haryana,North
6,Rural,htn_diagnosed,12.8,11.9,13.6,Proportion,"12.8 (11.9, 13.6)",35527,,NA,Haryana,North
6,Rural,htn_treated,5.1,4.7,5.4,Proportion,"5.1 (4.7, 5.4)",35527,,NA,Haryana,North
6,Rural,htn_controlled,2.2,2,2.4,Proportion,"2.2 (2, 2.4)",35527,,NA,Haryana,North
6,Urban,htn_screened,76.2,74.6,77.8,Proportion,"76.2 (74.6, 77.8)",15348,,NA,Haryana,North
6,Urban,htn_disease,68.7,67.5,69.8,Proportion,"68.7 (67.5, 69.8)",15348,,NA,Haryana,North
6,Urban,htn_diagnosed,15.6,14.3,16.9,Proportion,"15.6 (14.3, 16.9)",15348,,NA,Haryana,North
6,Urban,htn_treated,7.5,7,8.1,Proportion,"7.5 (7, 8.1)",15348,,NA,Haryana,North
6,Urban,htn_controlled,2.9,2.5,3.2,Proportion,"2.9 (2.5, 3.2)",15348,,NA,Haryana,North
7,Rural,htn_screened,85,78,92,Proportion,"85 (78, 92)",856,,NA,Nct Of Delhi,North
7,Rural,htn_disease,65.7,59.2,72.2,Proportion,"65.7 (59.2, 72.2)",856,,NA,Nct Of Delhi,North
7,Rural,htn_diagnosed,18,9.5,26.4,Proportion,"18 (9.5, 26.4)",856,,NA,Nct Of Delhi,North
7,Rural,htn_treated,11.4,8.5,14.4,Proportion,"11.4 (8.5, 14.4)",856,,NA,Nct Of Delhi,North
7,Rural,htn_controlled,3.5,2.3,4.7,Proportion,"3.5 (2.3, 4.7)",856,,NA,Nct Of Delhi,North
7,Urban,htn_screened,80.4,79.2,81.6,Proportion,"80.4 (79.2, 81.6)",21294,,NA,Nct Of Delhi,North
7,Urban,htn_disease,69.8,68.8,70.8,Proportion,"69.8 (68.8, 70.8)",21294,,NA,Nct Of Delhi,North
7,Urban,htn_diagnosed,14.1,13.4,14.9,Proportion,"14.1 (13.4, 14.9)",21294,,NA,Nct Of Delhi,North
7,Urban,htn_treated,9.5,8.9,10.1,Proportion,"9.5 (8.9, 10.1)",21294,,NA,Nct Of Delhi,North
7,Urban,htn_controlled,3.4,3,3.7,Proportion,"3.4 (3, 3.7)",21294,,NA,Nct Of Delhi,North
8,Rural,htn_screened,50.8,49.5,52.2,Proportion,"50.8 (49.5, 52.2)",75638,,NA,Rajasthan,North
8,Rural,htn_disease,60.2,59.4,61.1,Proportion,"60.2 (59.4, 61.1)",75638,,NA,Rajasthan,North
8,Rural,htn_diagnosed,7.6,7,8.1,Proportion,"7.6 (7, 8.1)",75638,,NA,Rajasthan,North
8,Rural,htn_treated,3.1,2.9,3.3,Proportion,"3.1 (2.9, 3.3)",75638,,NA,Rajasthan,North
8,Rural,htn_controlled,1.4,1.2,1.5,Proportion,"1.4 (1.2, 1.5)",75638,,NA,Rajasthan,North
8,Urban,htn_screened,63.2,60.7,65.8,Proportion,"63.2 (60.7, 65.8)",21092,,NA,Rajasthan,North
8,Urban,htn_disease,64.3,62.3,66.2,Proportion,"64.3 (62.3, 66.2)",21092,,NA,Rajasthan,North
8,Urban,htn_diagnosed,12.3,10.9,13.7,Proportion,"12.3 (10.9, 13.7)",21092,,NA,Rajasthan,North
8,Urban,htn_treated,5.9,5.4,6.5,Proportion,"5.9 (5.4, 6.5)",21092,,NA,Rajasthan,North
8,Urban,htn_controlled,2.5,2.2,2.8,Proportion,"2.5 (2.2, 2.8)",21092,,NA,Rajasthan,North
9,Rural,htn_screened,58.2,57.4,59.1,Proportion,"58.2 (57.4, 59.1)",159122,,NA,Uttar Pradesh,Central
9,Rural,htn_disease,60.6,60.2,61.1,Proportion,"60.6 (60.2, 61.1)",159122,,NA,Uttar Pradesh,Central
9,Rural,htn_diagnosed,10.1,9.6,10.6,Proportion,"10.1 (9.6, 10.6)",159122,,NA,Uttar Pradesh,Central
9,Rural,htn_treated,2.8,2.7,2.9,Proportion,"2.8 (2.7, 2.9)",159122,,NA,Uttar Pradesh,Central
9,Rural,htn_controlled,1.3,1.2,1.4,Proportion,"1.3 (1.2, 1.4)",159122,,NA,Uttar Pradesh,Central
9,Urban,htn_screened,68,66.2,69.7,Proportion,"68 (66.2, 69.7)",38239,,NA,Uttar Pradesh,Central
9,Urban,htn_disease,65.9,65,66.9,Proportion,"65.9 (65, 66.9)",38239,,NA,Uttar Pradesh,Central
9,Urban,htn_diagnosed,11.7,10.8,12.6,Proportion,"11.7 (10.8, 12.6)",38239,,NA,Uttar Pradesh,Central
9,Urban,htn_treated,4.9,4.5,5.3,Proportion,"4.9 (4.5, 5.3)",38239,,NA,Uttar Pradesh,Central
9,Urban,htn_controlled,1.9,1.7,2.1,Proportion,"1.9 (1.7, 2.1)",38239,,NA,Uttar Pradesh,Central
10,Rural,htn_screened,58.2,57.2,59.2,Proportion,"58.2 (57.2, 59.2)",77247,,NA,Bihar,East
10,Rural,htn_disease,52.5,51.8,53.2,Proportion,"52.5 (51.8, 53.2)",77247,,NA,Bihar,East
