residence,variable,estimate,lci,uci,type,est_ci,n,stratification,strata
Rural,htn_screened,63.8,63.4,64.2,Proportion,"63.8 (63.4, 64.2)",764739,,NA
Rural,htn_diagnosed,15.2,15,15.5,Proportion,"15.2 (15, 15.5)",764739,,NA
Urban,htn_screened,75.8,75.1,76.5,Proportion,"75.8 (75.1, 76.5)",264159,,NA
Urban,htn_diagnosed,20.4,20,20.9,Proportion,"20.4 (20, 20.9)",264159,,NA
Rural,htn_screened,70.7,70.3,71.1,Proportion,"70.7 (70.3, 71.1)",377512,sex,Female
Rural,htn_diagnosed,18.3,18,18.7,Proportion,"18.3 (18, 18.7)",377512,sex,Female
Rural,htn_screened,56.7,56.3,57.2,Proportion,"56.7 (56.3, 57.2)",387227,sex,Male
Rural,htn_diagnosed,12.1,11.8,12.3,Proportion,"12.1 (11.8, 12.3)",387227,sex,Male
Urban,htn_screened,81.7,81,82.4,Proportion,"81.7 (81, 82.4)",128518,sex,Female
Urban,htn_diagnosed,24,23.4,24.6,Proportion,"24 (23.4, 24.6)",128518,sex,Female
Urban,htn_screened,70.6,69.9,71.4,Proportion,"70.6 (69.9, 71.4)",135641,sex,Male
Urban,htn_diagnosed,17.3,16.8,17.7,Proportion,"17.3 (16.8, 17.7)",135641,sex,Male
Rural,htn_screened,58.6,58.2,59.1,Proportion,"58.6 (58.2, 59.1)",303724,age_category,18-39
Rural,htn_diagnosed,10.1,9.8,10.4,Proportion,"10.1 (9.8, 10.4)",303724,age_category,18-39
Rural,htn_screened,68.3,67.9,68.7,Proportion,"68.3 (67.9, 68.7)",352227,age_category,40-64
Rural,htn_diagnosed,18.4,18.1,18.7,Proportion,"18.4 (18.1, 18.7)",352227,age_category,40-64
Rural,htn_screened,74.4,73.8,74.9,Proportion,"74.4 (73.8, 74.9)",108788,age_category,65 plus
Rural,htn_diagnosed,30.7,30.1,31.2,Proportion,"30.7 (30.1, 31.2)",108788,age_category,65 plus
Urban,htn_screened,65.7,64.9,66.6,Proportion,"65.7 (64.9, 66.6)",104005,age_category,18-39
Urban,htn_diagnosed,9.1,8.6,9.6,Proportion,"9.1 (8.6, 9.6)",104005,age_category,18-39
Urban,htn_screened,81.6,80.9,82.2,Proportion,"81.6 (80.9, 82.2)",125272,age_category,40-64
Urban,htn_diagnosed,24,23.4,24.5,Proportion,"24 (23.4, 24.5)",125272,age_category,40-64
Urban,htn_screened,87.8,87.1,88.6,Proportion,"87.8 (87.1, 88.6)",34882,age_category,65 plus
Urban,htn_diagnosed,43.8,42.7,44.9,Proportion,"43.8 (42.7, 44.9)",34882,age_category,65 plus
Rural,htn_screened,65.2,64.5,65.9,Proportion,"65.2 (64.5, 65.9)",65927,education,Higher
Rural,htn_diagnosed,15.1,14.6,15.7,Proportion,"15.1 (14.6, 15.7)",65927,education,Higher
Rural,htn_screened,62.7,62.2,63.2,Proportion,"62.7 (62.2, 63.2)",278839,education,No education
Rural,htn_diagnosed,15.4,15,15.8,Proportion,"15.4 (15, 15.8)",278839,education,No education
Rural,htn_screened,64.3,63.8,64.9,Proportion,"64.3 (63.8, 64.9)",122640,education,Primary
Rural,htn_diagnosed,15.4,15,15.7,Proportion,"15.4 (15, 15.7)",122640,education,Primary
Rural,htn_screened,64.3,63.8,64.7,Proportion,"64.3 (63.8, 64.7)",297333,education,Secondary
Rural,htn_diagnosed,15,14.7,15.3,Proportion,"15 (14.7, 15.3)",297333,education,Secondary
Urban,htn_screened,78.8,77.9,79.7,Proportion,"78.8 (77.9, 79.7)",58278,education,Higher
Urban,htn_diagnosed,20.6,19.8,21.3,Proportion,"20.6 (19.8, 21.3)",58278,education,Higher
Urban,htn_screened,72.5,71.4,73.7,Proportion,"72.5 (71.4, 73.7)",48821,education,No education
Urban,htn_diagnosed,19.8,19,20.6,Proportion,"19.8 (19, 20.6)",48821,education,No education
Urban,htn_screened,74.8,73.7,75.9,Proportion,"74.8 (73.7, 75.9)",33642,education,Primary
Urban,htn_diagnosed,20.6,19.9,21.4,Proportion,"20.6 (19.9, 21.4)",33642,education,Primary
Urban,htn_screened,75.8,75.1,76.5,Proportion,"75.8 (75.1, 76.5)",123418,education,Secondary
Urban,htn_diagnosed,20.6,20,21.1,Proportion,"20.6 (20, 21.1)",123418,education,Secondary
Rural,htn_screened,67.2,66.5,67.9,Proportion,"67.2 (66.5, 67.9)",173354,caste,General
Rural,htn_diagnosed,17.8,17.4,18.2,Proportion,"17.8 (17.4, 18.2)",173354,caste,General
Rural,htn_screened,65.3,64.9,65.8,Proportion,"65.3 (64.9, 65.8)",275232,caste,OBC
Rural,htn_diagnosed,15.6,15.2,16,Proportion,"15.6 (15.2, 16)",275232,caste,OBC
Rural,htn_screened,63.8,63.2,64.5,Proportion,"63.8 (63.2, 64.5)",145726,caste,Schedule Caste
Rural,htn_diagnosed,14.9,14.4,15.3,Proportion,"14.9 (14.4, 15.3)",145726,caste,Schedule Caste
Rural,htn_screened,51.1,50.2,52,Proportion,"51.1 (50.2, 52)",170427,caste,Schedule Tribe
Rural,htn_diagnosed,9.3,8.9,9.7,Proportion,"9.3 (8.9, 9.7)",170427,caste,Schedule Tribe
Urban,htn_screened,77.6,76.7,78.5,Proportion,"77.6 (76.7, 78.5)",89237,caste,General
Urban,htn_diagnosed,20.6,19.9,21.2,Proportion,"20.6 (19.9, 21.2)",89237,caste,General
Urban,htn_screened,76.2,75.3,77,Proportion,"76.2 (75.3, 77)",102077,caste,OBC
Urban,htn_diagnosed,21.1,20.5,21.8,Proportion,"21.1 (20.5, 21.8)",102077,caste,OBC
Urban,htn_screened,73.6,72.4,74.7,Proportion,"73.6 (72.4, 74.7)",45660,caste,Schedule Caste
Urban,htn_diagnosed,19.1,18.3,20,Proportion,"19.1 (18.3, 20)",45660,caste,Schedule Caste
Urban,htn_screened,67.2,64.6,69.7,Proportion,"67.2 (64.6, 69.7)",27185,caste,Schedule Tribe
Urban,htn_diagnosed,18.5,16.9,20.1,Proportion,"18.5 (16.9, 20.1)",27185,caste,Schedule Tribe
Rural,htn_screened,62.7,62.3,63.1,Proportion,"62.7 (62.3, 63.1)",583055,religion,Hindu
