REGCODE,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,v024,REGNAME
1,htn_screened,77.2,71.9,82.4,Proportion,"77.2 (71.9, 82.4)",1751,,NA,Jammu & Kashmir,1,Kupwara
1,htn_diagnosed,25.5,19.6,31.4,Proportion,"25.5 (19.6, 31.4)",1751,,NA,Jammu & Kashmir,1,Kupwara
1,htn_unscreened,22.8,17.6,28.1,Proportion,"22.8 (17.6, 28.1)",1751,,NA,Jammu & Kashmir,1,Kupwara
1,htn_undiagnosed,74.5,68.6,80.4,Proportion,"74.5 (68.6, 80.4)",1751,,NA,Jammu & Kashmir,1,Kupwara
2,htn_screened,81.9,77.5,86.3,Proportion,"81.9 (77.5, 86.3)",1763,,NA,Jammu & Kashmir,1,Badgam
2,htn_diagnosed,19.2,15.5,22.9,Proportion,"19.2 (15.5, 22.9)",1763,,NA,Jammu & Kashmir,1,Badgam
2,htn_unscreened,18.1,13.7,22.5,Proportion,"18.1 (13.7, 22.5)",1763,,NA,Jammu & Kashmir,1,Badgam
2,htn_undiagnosed,80.8,77.1,84.5,Proportion,"80.8 (77.1, 84.5)",1763,,NA,Jammu & Kashmir,1,Badgam
3,htn_screened,81.7,77.2,86.3,Proportion,"81.7 (77.2, 86.3)",1547,,NA,Ladakh,37,Leh
3,htn_diagnosed,19.4,14.9,23.9,Proportion,"19.4 (14.9, 23.9)",1547,,NA,Ladakh,37,Leh
3,htn_unscreened,18.3,13.7,22.8,Proportion,"18.3 (13.7, 22.8)",1547,,NA,Ladakh,37,Leh
3,htn_undiagnosed,80.6,76.1,85.1,Proportion,"80.6 (76.1, 85.1)",1547,,NA,Ladakh,37,Leh
4,htn_screened,78.4,73,83.9,Proportion,"78.4 (73, 83.9)",1812,,NA,Ladakh,37,Kargil
4,htn_diagnosed,33.7,24.2,43.2,Proportion,"33.7 (24.2, 43.2)",1812,,NA,Ladakh,37,Kargil
4,htn_unscreened,21.6,16.1,27,Proportion,"21.6 (16.1, 27)",1812,,NA,Ladakh,37,Kargil
4,htn_undiagnosed,66.3,56.8,75.8,Proportion,"66.3 (56.8, 75.8)",1812,,NA,Ladakh,37,Kargil
5,htn_screened,76.8,70.5,83.2,Proportion,"76.8 (70.5, 83.2)",1750,,NA,Jammu & Kashmir,1,Punch
5,htn_diagnosed,22.2,17.6,26.8,Proportion,"22.2 (17.6, 26.8)",1750,,NA,Jammu & Kashmir,1,Punch
5,htn_unscreened,23.2,16.8,29.5,Proportion,"23.2 (16.8, 29.5)",1750,,NA,Jammu & Kashmir,1,Punch
5,htn_undiagnosed,77.8,73.2,82.4,Proportion,"77.8 (73.2, 82.4)",1750,,NA,Jammu & Kashmir,1,Punch
6,htn_screened,78.3,71.6,84.9,Proportion,"78.3 (71.6, 84.9)",1660,,NA,Jammu & Kashmir,1,Rajouri
6,htn_diagnosed,14.1,10.9,17.4,Proportion,"14.1 (10.9, 17.4)",1660,,NA,Jammu & Kashmir,1,Rajouri
6,htn_unscreened,21.7,15.1,28.4,Proportion,"21.7 (15.1, 28.4)",1660,,NA,Jammu & Kashmir,1,Rajouri
6,htn_undiagnosed,85.9,82.6,89.1,Proportion,"85.9 (82.6, 89.1)",1660,,NA,Jammu & Kashmir,1,Rajouri
7,htn_screened,86.1,82.1,90.1,Proportion,"86.1 (82.1, 90.1)",1591,,NA,Jammu & Kashmir,1,Kathua
7,htn_diagnosed,6.5,3.7,9.3,Proportion,"6.5 (3.7, 9.3)",1591,,NA,Jammu & Kashmir,1,Kathua
7,htn_unscreened,13.9,9.9,17.9,Proportion,"13.9 (9.9, 17.9)",1591,,NA,Jammu & Kashmir,1,Kathua
7,htn_undiagnosed,93.5,90.7,96.3,Proportion,"93.5 (90.7, 96.3)",1591,,NA,Jammu & Kashmir,1,Kathua
8,htn_screened,73.9,68.8,79,Proportion,"73.9 (68.8, 79)",1949,,NA,Jammu & Kashmir,1,Baramula
8,htn_diagnosed,18.2,14.7,21.6,Proportion,"18.2 (14.7, 21.6)",1949,,NA,Jammu & Kashmir,1,Baramula
8,htn_unscreened,26.1,21,31.2,Proportion,"26.1 (21, 31.2)",1949,,NA,Jammu & Kashmir,1,Baramula
8,htn_undiagnosed,81.8,78.4,85.3,Proportion,"81.8 (78.4, 85.3)",1949,,NA,Jammu & Kashmir,1,Baramula
9,htn_screened,69.3,64.5,74.2,Proportion,"69.3 (64.5, 74.2)",1596,,NA,Jammu & Kashmir,1,Bandipore
9,htn_diagnosed,29.2,21,37.4,Proportion,"29.2 (21, 37.4)",1596,,NA,Jammu & Kashmir,1,Bandipore
9,htn_unscreened,30.7,25.8,35.5,Proportion,"30.7 (25.8, 35.5)",1596,,NA,Jammu & Kashmir,1,Bandipore
9,htn_undiagnosed,70.8,62.6,79,Proportion,"70.8 (62.6, 79)",1596,,NA,Jammu & Kashmir,1,Bandipore
10,htn_screened,77,69.7,84.3,Proportion,"77 (69.7, 84.3)",1354,,NA,Jammu & Kashmir,1,Srinagar
10,htn_diagnosed,34.6,28.5,40.6,Proportion,"34.6 (28.5, 40.6)",1354,,NA,Jammu & Kashmir,1,Srinagar
10,htn_unscreened,23,15.7,30.3,Proportion,"23 (15.7, 30.3)",1354,,NA,Jammu & Kashmir,1,Srinagar
10,htn_undiagnosed,65.4,59.4,71.5,Proportion,"65.4 (59.4, 71.5)",1354,,NA,Jammu & Kashmir,1,Srinagar
11,htn_screened,74.9,71.5,78.2,Proportion,"74.9 (71.5, 78.2)",1664,,NA,Jammu & Kashmir,1,Ganderbal
11,htn_diagnosed,23,18.1,27.9,Proportion,"23 (18.1, 27.9)",1664,,NA,Jammu & Kashmir,1,Ganderbal
11,htn_unscreened,25.1,21.8,28.5,Proportion,"25.1 (21.8, 28.5)",1664,,NA,Jammu & Kashmir,1,Ganderbal
11,htn_undiagnosed,77,72.1,81.9,Proportion,"77 (72.1, 81.9)",1664,,NA,Jammu & Kashmir,1,Ganderbal
12,htn_screened,84.5,81.6,87.4,Proportion,"84.5 (81.6, 87.4)",1837,,NA,Jammu & Kashmir,1,Pulwama
12,htn_diagnosed,22.2,18.6,25.9,Proportion,"22.2 (18.6, 25.9)",1837,,NA,Jammu & Kashmir,1,Pulwama
12,htn_unscreened,15.5,12.6,18.4,Proportion,"15.5 (12.6, 18.4)",1837,,NA,Jammu & Kashmir,1,Pulwama
12,htn_undiagnosed,77.8,74.1,81.4,Proportion,"77.8 (74.1, 81.4)",1837,,NA,Jammu & Kashmir,1,Pulwama
13,htn_screened,83.1,77.4,88.8,Proportion,"83.1 (77.4, 88.8)",1806,,NA,Jammu & Kashmir,1,Shupiyan
13,htn_diagnosed,14.8,10.7,18.9,Proportion,"14.8 (10.7, 18.9)",1806,,NA,Jammu & Kashmir,1,Shupiyan
13,htn_unscreened,16.9,11.2,22.6,Proportion,"16.9 (11.2, 22.6)",1806,,NA,Jammu & Kashmir,1,Shupiyan
13,htn_undiagnosed,85.2,81.1,89.3,Proportion,"85.2 (81.1, 89.3)",1806,,NA,Jammu & Kashmir,1,Shupiyan
14,htn_screened,78.3,72.7,83.9,Proportion,"78.3 (72.7, 83.9)",1586,,NA,Jammu & Kashmir,1,Anantnag
14,htn_diagnosed,16.9,13.5,20.2,Proportion,"16.9 (13.5, 20.2)",1586,,NA,Jammu & Kashmir,1,Anantnag
14,htn_unscreened,21.7,16.1,27.3,Proportion,"21.7 (16.1, 27.3)",1586,,NA,Jammu & Kashmir,1,Anantnag
14,htn_undiagnosed,83.1,79.8,86.5,Proportion,"83.1 (79.8, 86.5)",1586,,NA,Jammu & Kashmir,1,Anantnag
15,htn_screened,82.1,79.3,84.9,Proportion,"82.1 (79.3, 84.9)",1750,,NA,Jammu & Kashmir,1,Kulgam
15,htn_diagnosed,12.1,10.3,13.9,Proportion,"12.1 (10.3, 13.9)",1750,,NA,Jammu & Kashmir,1,Kulgam
15,htn_unscreened,17.9,15.1,20.7,Proportion,"17.9 (15.1, 20.7)",1750,,NA,Jammu & Kashmir,1,Kulgam
15,htn_undiagnosed,87.9,86.1,89.7,Proportion,"87.9 (86.1, 89.7)",1750,,NA,Jammu & Kashmir,1,Kulgam
16,htn_screened,70.9,66.5,75.3,Proportion,"70.9 (66.5, 75.3)",1421,,NA,Jammu & Kashmir,1,Doda
16,htn_diagnosed,14.7,10.4,18.9,Proportion,"14.7 (10.4, 18.9)",1421,,NA,Jammu & Kashmir,1,Doda
16,htn_unscreened,29.1,24.7,33.5,Proportion,"29.1 (24.7, 33.5)",1421,,NA,Jammu & Kashmir,1,Doda
16,htn_undiagnosed,85.3,81.1,89.6,Proportion,"85.3 (81.1, 89.6)",1421,,NA,Jammu & Kashmir,1,Doda
17,htn_screened,82.3,77.9,86.6,Proportion,"82.3 (77.9, 86.6)",1776,,NA,Jammu & Kashmir,1,Ramban
17,htn_diagnosed,24.6,17.1,32.2,Proportion,"24.6 (17.1, 32.2)",1776,,NA,Jammu & Kashmir,1,Ramban
17,htn_unscreened,17.7,13.4,22.1,Proportion,"17.7 (13.4, 22.1)",1776,,NA,Jammu & Kashmir,1,Ramban
17,htn_undiagnosed,75.4,67.8,82.9,Proportion,"75.4 (67.8, 82.9)",1776,,NA,Jammu & Kashmir,1,Ramban
18,htn_screened,74.9,70,79.7,Proportion,"74.9 (70, 79.7)",1189,,NA,Jammu & Kashmir,1,Kishtwar
18,htn_diagnosed,24,19.5,28.4,Proportion,"24 (19.5, 28.4)",1189,,NA,Jammu & Kashmir,1,Kishtwar
18,htn_unscreened,25.1,20.3,30,Proportion,"25.1 (20.3, 30)",1189,,NA,Jammu & Kashmir,1,Kishtwar
18,htn_undiagnosed,76,71.6,80.5,Proportion,"76 (71.6, 80.5)",1189,,NA,Jammu & Kashmir,1,Kishtwar
19,htn_screened,79.8,74.9,84.8,Proportion,"79.8 (74.9, 84.8)",1604,,NA,Jammu & Kashmir,1,Udhampur
19,htn_diagnosed,17.3,13.9,20.6,Proportion,"17.3 (13.9, 20.6)",1604,,NA,Jammu & Kashmir,1,Udhampur
19,htn_unscreened,20.2,15.2,25.1,Proportion,"20.2 (15.2, 25.1)",1604,,NA,Jammu & Kashmir,1,Udhampur
19,htn_undiagnosed,82.7,79.4,86.1,Proportion,"82.7 (79.4, 86.1)",1604,,NA,Jammu & Kashmir,1,Udhampur
20,htn_screened,77.5,72.2,82.9,Proportion,"77.5 (72.2, 82.9)",1479,,NA,Jammu & Kashmir,1,Reasi
20,htn_diagnosed,12.5,9.4,15.5,Proportion,"12.5 (9.4, 15.5)",1479,,NA,Jammu & Kashmir,1,Reasi
20,htn_unscreened,22.5,17.1,27.8,Proportion,"22.5 (17.1, 27.8)",1479,,NA,Jammu & Kashmir,1,Reasi
20,htn_undiagnosed,87.5,84.5,90.6,Proportion,"87.5 (84.5, 90.6)",1479,,NA,Jammu & Kashmir,1,Reasi
21,htn_screened,78.2,71.9,84.5,Proportion,"78.2 (71.9, 84.5)",1498,,NA,Jammu & Kashmir,1,Jammu
21,htn_diagnosed,25.8,22.2,29.5,Proportion,"25.8 (22.2, 29.5)",1498,,NA,Jammu & Kashmir,1,Jammu
21,htn_unscreened,21.8,15.5,28.1,Proportion,"21.8 (15.5, 28.1)",1498,,NA,Jammu & Kashmir,1,Jammu
21,htn_undiagnosed,74.2,70.5,77.8,Proportion,"74.2 (70.5, 77.8)",1498,,NA,Jammu & Kashmir,1,Jammu
22,htn_screened,78.6,74.3,82.9,Proportion,"78.6 (74.3, 82.9)",1574,,NA,Jammu & Kashmir,1,Samba
22,htn_diagnosed,24.4,19.2,29.6,Proportion,"24.4 (19.2, 29.6)",1574,,NA,Jammu & Kashmir,1,Samba
22,htn_unscreened,21.4,17.1,25.7,Proportion,"21.4 (17.1, 25.7)",1574,,NA,Jammu & Kashmir,1,Samba
22,htn_undiagnosed,75.6,70.4,80.8,Proportion,"75.6 (70.4, 80.8)",1574,,NA,Jammu & Kashmir,1,Samba
23,htn_screened,74.4,69.2,79.6,Proportion,"74.4 (69.2, 79.6)",1529,,NA,Himachal Pradesh,2,Chamba
23,htn_diagnosed,15.2,12,18.5,Proportion,"15.2 (12, 18.5)",1529,,NA,Himachal Pradesh,2,Chamba
23,htn_unscreened,25.6,20.4,30.8,Proportion,"25.6 (20.4, 30.8)",1529,,NA,Himachal Pradesh,2,Chamba
23,htn_undiagnosed,84.8,81.5,88,Proportion,"84.8 (81.5, 88)",1529,,NA,Himachal Pradesh,2,Chamba
24,htn_screened,70.1,66.1,74.1,Proportion,"70.1 (66.1, 74.1)",1328,,NA,Himachal Pradesh,2,Kangra
24,htn_diagnosed,20,17.1,22.9,Proportion,"20 (17.1, 22.9)",1328,,NA,Himachal Pradesh,2,Kangra
24,htn_unscreened,29.9,25.9,33.9,Proportion,"29.9 (25.9, 33.9)",1328,,NA,Himachal Pradesh,2,Kangra
24,htn_undiagnosed,80,77.1,82.9,Proportion,"80 (77.1, 82.9)",1328,,NA,Himachal Pradesh,2,Kangra
25,htn_screened,77.3,73.1,81.6,Proportion,"77.3 (73.1, 81.6)",1195,,NA,Himachal Pradesh,2,Lahul & Spiti
25,htn_diagnosed,13.1,10.6,15.6,Proportion,"13.1 (10.6, 15.6)",1195,,NA,Himachal Pradesh,2,Lahul & Spiti
25,htn_unscreened,22.7,18.4,26.9,Proportion,"22.7 (18.4, 26.9)",1195,,NA,Himachal Pradesh,2,Lahul & Spiti
25,htn_undiagnosed,86.9,84.4,89.4,Proportion,"86.9 (84.4, 89.4)",1195,,NA,Himachal Pradesh,2,Lahul & Spiti
26,htn_screened,74.5,69.5,79.5,Proportion,"74.5 (69.5, 79.5)",1311,,NA,Himachal Pradesh,2,Kullu
26,htn_diagnosed,22.2,15.3,29,Proportion,"22.2 (15.3, 29)",1311,,NA,Himachal Pradesh,2,Kullu
26,htn_unscreened,25.5,20.5,30.5,Proportion,"25.5 (20.5, 30.5)",1311,,NA,Himachal Pradesh,2,Kullu
26,htn_undiagnosed,77.8,71,84.7,Proportion,"77.8 (71, 84.7)",1311,,NA,Himachal Pradesh,2,Kullu
27,htn_screened,79.7,76.9,82.5,Proportion,"79.7 (76.9, 82.5)",1358,,NA,Himachal Pradesh,2,Mandi
27,htn_diagnosed,18,15.5,20.4,Proportion,"18 (15.5, 20.4)",1358,,NA,Himachal Pradesh,2,Mandi
27,htn_unscreened,20.3,17.5,23.1,Proportion,"20.3 (17.5, 23.1)",1358,,NA,Himachal Pradesh,2,Mandi
27,htn_undiagnosed,82,79.6,84.5,Proportion,"82 (79.6, 84.5)",1358,,NA,Himachal Pradesh,2,Mandi
28,htn_screened,81,77.9,84.2,Proportion,"81 (77.9, 84.2)",1287,,NA,Himachal Pradesh,2,Hamirpur
28,htn_diagnosed,28.4,24.5,32.4,Proportion,"28.4 (24.5, 32.4)",1287,,NA,Himachal Pradesh,2,Hamirpur
28,htn_unscreened,19,15.8,22.1,Proportion,"19 (15.8, 22.1)",1287,,NA,Himachal Pradesh,2,Hamirpur
28,htn_undiagnosed,71.6,67.6,75.5,Proportion,"71.6 (67.6, 75.5)",1287,,NA,Himachal Pradesh,2,Hamirpur
29,htn_screened,77.8,75.1,80.4,Proportion,"77.8 (75.1, 80.4)",1303,,NA,Himachal Pradesh,2,Una
29,htn_diagnosed,31.2,26.1,36.4,Proportion,"31.2 (26.1, 36.4)",1303,,NA,Himachal Pradesh,2,Una
29,htn_unscreened,22.2,19.6,24.9,Proportion,"22.2 (19.6, 24.9)",1303,,NA,Himachal Pradesh,2,Una
29,htn_undiagnosed,68.8,63.6,73.9,Proportion,"68.8 (63.6, 73.9)",1303,,NA,Himachal Pradesh,2,Una
30,htn_screened,78.2,74.3,82,Proportion,"78.2 (74.3, 82)",1350,,NA,Himachal Pradesh,2,Bilaspur
30,htn_diagnosed,20.9,16.9,24.8,Proportion,"20.9 (16.9, 24.8)",1350,,NA,Himachal Pradesh,2,Bilaspur
30,htn_unscreened,21.8,18,25.7,Proportion,"21.8 (18, 25.7)",1350,,NA,Himachal Pradesh,2,Bilaspur
30,htn_undiagnosed,79.1,75.2,83.1,Proportion,"79.1 (75.2, 83.1)",1350,,NA,Himachal Pradesh,2,Bilaspur
31,htn_screened,78.1,75.4,80.9,Proportion,"78.1 (75.4, 80.9)",1326,,NA,Himachal Pradesh,2,Solan
31,htn_diagnosed,14.8,12.3,17.3,Proportion,"14.8 (12.3, 17.3)",1326,,NA,Himachal Pradesh,2,Solan
31,htn_unscreened,21.9,19.1,24.6,Proportion,"21.9 (19.1, 24.6)",1326,,NA,Himachal Pradesh,2,Solan
31,htn_undiagnosed,85.2,82.7,87.7,Proportion,"85.2 (82.7, 87.7)",1326,,NA,Himachal Pradesh,2,Solan
32,htn_screened,78.4,75.1,81.7,Proportion,"78.4 (75.1, 81.7)",1668,,NA,Himachal Pradesh,2,Sirmaur
32,htn_diagnosed,19.6,14.6,24.5,Proportion,"19.6 (14.6, 24.5)",1668,,NA,Himachal Pradesh,2,Sirmaur
32,htn_unscreened,21.6,18.3,24.9,Proportion,"21.6 (18.3, 24.9)",1668,,NA,Himachal Pradesh,2,Sirmaur
32,htn_undiagnosed,80.4,75.5,85.4,Proportion,"80.4 (75.5, 85.4)",1668,,NA,Himachal Pradesh,2,Sirmaur
33,htn_screened,83.7,80.2,87.2,Proportion,"83.7 (80.2, 87.2)",1521,,NA,Himachal Pradesh,2,Shimla
33,htn_diagnosed,14.4,11.9,16.9,Proportion,"14.4 (11.9, 16.9)",1521,,NA,Himachal Pradesh,2,Shimla
33,htn_unscreened,16.3,12.8,19.8,Proportion,"16.3 (12.8, 19.8)",1521,,NA,Himachal Pradesh,2,Shimla
33,htn_undiagnosed,85.6,83.1,88.1,Proportion,"85.6 (83.1, 88.1)",1521,,NA,Himachal Pradesh,2,Shimla
34,htn_screened,83.7,80.6,86.8,Proportion,"83.7 (80.6, 86.8)",1320,,NA,Himachal Pradesh,2,Kinnaur
34,htn_diagnosed,14.1,11.9,16.4,Proportion,"14.1 (11.9, 16.4)",1320,,NA,Himachal Pradesh,2,Kinnaur
34,htn_unscreened,16.3,13.2,19.4,Proportion,"16.3 (13.2, 19.4)",1320,,NA,Himachal Pradesh,2,Kinnaur
34,htn_undiagnosed,85.9,83.6,88.1,Proportion,"85.9 (83.6, 88.1)",1320,,NA,Himachal Pradesh,2,Kinnaur
36,htn_screened,87.1,84.1,90.2,Proportion,"87.1 (84.1, 90.2)",1832,,NA,Punjab,3,Kapurthala
36,htn_diagnosed,27.4,22.1,32.7,Proportion,"27.4 (22.1, 32.7)",1832,,NA,Punjab,3,Kapurthala
36,htn_unscreened,12.9,9.8,15.9,Proportion,"12.9 (9.8, 15.9)",1832,,NA,Punjab,3,Kapurthala
36,htn_undiagnosed,72.6,67.3,77.9,Proportion,"72.6 (67.3, 77.9)",1832,,NA,Punjab,3,Kapurthala
37,htn_screened,85,81.1,88.8,Proportion,"85 (81.1, 88.8)",1497,,NA,Punjab,3,Jalandhar
37,htn_diagnosed,20.9,16.8,25,Proportion,"20.9 (16.8, 25)",1497,,NA,Punjab,3,Jalandhar
37,htn_unscreened,15,11.2,18.9,Proportion,"15 (11.2, 18.9)",1497,,NA,Punjab,3,Jalandhar
37,htn_undiagnosed,79.1,75,83.2,Proportion,"79.1 (75, 83.2)",1497,,NA,Punjab,3,Jalandhar
38,htn_screened,82.8,79,86.6,Proportion,"82.8 (79, 86.6)",1999,,NA,Punjab,3,Hoshiarpur
38,htn_diagnosed,17,14,19.9,Proportion,"17 (14, 19.9)",1999,,NA,Punjab,3,Hoshiarpur
38,htn_unscreened,17.2,13.4,21,Proportion,"17.2 (13.4, 21)",1999,,NA,Punjab,3,Hoshiarpur
38,htn_undiagnosed,83,80.1,86,Proportion,"83 (80.1, 86)",1999,,NA,Punjab,3,Hoshiarpur
39,htn_screened,85.8,82.3,89.3,Proportion,"85.8 (82.3, 89.3)",2132,,NA,Punjab,3,Shahid Bhagat Singh Nagar
39,htn_diagnosed,18.9,14.4,23.3,Proportion,"18.9 (14.4, 23.3)",2132,,NA,Punjab,3,Shahid Bhagat Singh Nagar
39,htn_unscreened,14.2,10.7,17.7,Proportion,"14.2 (10.7, 17.7)",2132,,NA,Punjab,3,Shahid Bhagat Singh Nagar
