state,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,residence,n5_state,zone
1,htn_screened,78.3,76.8,79.9,Proportion,"78.3 (76.8, 79.9)",32598,,NA,Total,Jammu & Kashmir,North
1,htn_diagnosed,20.8,19.6,22,Proportion,"20.8 (19.6, 22)",32598,,NA,Total,Jammu & Kashmir,North
2,htn_screened,77.3,75.9,78.7,Proportion,"77.3 (75.9, 78.7)",16496,,NA,Total,Himachal Pradesh,North
2,htn_diagnosed,19.6,18.3,20.8,Proportion,"19.6 (18.3, 20.8)",16496,,NA,Total,Himachal Pradesh,North
3,htn_screened,82.1,81,83.2,Proportion,"82.1 (81, 83.2)",37702,,NA,Total,Punjab,North
3,htn_diagnosed,25.3,24.1,26.5,Proportion,"25.3 (24.1, 26.5)",37702,,NA,Total,Punjab,North
4,htn_screened,84.8,80,89.6,Proportion,"84.8 (80, 89.6)",896,,NA,Total,Chandigarh,North
4,htn_diagnosed,22,16.7,27.3,Proportion,"22 (16.7, 27.3)",896,,NA,Total,Chandigarh,North
5,htn_screened,72.4,70.9,73.9,Proportion,"72.4 (70.9, 73.9)",19184,,NA,Total,Uttarakhand,Central
5,htn_diagnosed,16.9,15.9,18,Proportion,"16.9 (15.9, 18)",19184,,NA,Total,Uttarakhand,Central
6,htn_screened,74.8,73.8,75.7,Proportion,"74.8 (73.8, 75.7)",33422,,NA,Total,Haryana,North
6,htn_diagnosed,19.3,18.3,20.3,Proportion,"19.3 (18.3, 20.3)",33422,,NA,Total,Haryana,North
7,htn_screened,81.5,80.2,82.8,Proportion,"81.5 (80.2, 82.8)",15025,,NA,Total,Nct Of Delhi,North
7,htn_diagnosed,18.3,17.3,19.3,Proportion,"18.3 (17.3, 19.3)",15025,,NA,Total,Nct Of Delhi,North
8,htn_screened,57.4,56.1,58.7,Proportion,"57.4 (56.1, 58.7)",58123,,NA,Total,Rajasthan,North
8,htn_diagnosed,13.2,12.3,14.1,Proportion,"13.2 (12.3, 14.1)",58123,,NA,Total,Rajasthan,North
9,htn_screened,64.4,63.6,65.2,Proportion,"64.4 (63.6, 65.2)",120522,,NA,Total,Uttar Pradesh,Central
9,htn_diagnosed,16.2,15.5,16.8,Proportion,"16.2 (15.5, 16.8)",120522,,NA,Total,Uttar Pradesh,Central
10,htn_screened,66.5,65.5,67.5,Proportion,"66.5 (65.5, 67.5)",45939,,NA,Total,Bihar,East
10,htn_diagnosed,24.9,23.6,26.2,Proportion,"24.9 (23.6, 26.2)",45939,,NA,Total,Bihar,East
11,htn_screened,76.4,73.5,79.4,Proportion,"76.4 (73.5, 79.4)",6168,,NA,Total,Sikkim,North East
11,htn_diagnosed,21,19,23.1,Proportion,"21 (19, 23.1)",6168,,NA,Total,Sikkim,North East
12,htn_screened,63.8,61.9,65.8,Proportion,"63.8 (61.9, 65.8)",33516,,NA,Total,Arunachal Pradesh,North East
12,htn_diagnosed,15,13.8,16.1,Proportion,"15 (13.8, 16.1)",33516,,NA,Total,Arunachal Pradesh,North East
13,htn_screened,59.5,56.8,62.2,Proportion,"59.5 (56.8, 62.2)",15649,,NA,Total,Nagaland,North East
13,htn_diagnosed,17.3,15.7,18.8,Proportion,"17.3 (15.7, 18.8)",15649,,NA,Total,Nagaland,North East
14,htn_screened,85.1,84,86.2,Proportion,"85.1 (84, 86.2)",13593,,NA,Total,Manipur,North East
14,htn_diagnosed,19.9,18.8,21,Proportion,"19.9 (18.8, 21)",13593,,NA,Total,Manipur,North East
15,htn_screened,82.2,80.1,84.2,Proportion,"82.2 (80.1, 84.2)",10343,,NA,Total,Mizoram,North East
15,htn_diagnosed,19.5,17.7,21.3,Proportion,"19.5 (17.7, 21.3)",10343,,NA,Total,Mizoram,North East
16,htn_screened,74.7,72.4,76.9,Proportion,"74.7 (72.4, 76.9)",9509,,NA,Total,Tripura,North East
16,htn_diagnosed,22.7,21,24.4,Proportion,"22.7 (21, 24.4)",9509,,NA,Total,Tripura,North East
17,htn_screened,55.7,52.7,58.7,Proportion,"55.7 (52.7, 58.7)",14931,,NA,Total,Meghalaya,North East
17,htn_diagnosed,13.2,11.9,14.6,Proportion,"13.2 (11.9, 14.6)",14931,,NA,Total,Meghalaya,North East
18,htn_screened,70.4,69.2,71.6,Proportion,"70.4 (69.2, 71.6)",45823,,NA,Total,Assam,North East
18,htn_diagnosed,18.2,17.5,19,Proportion,"18.2 (17.5, 19)",45823,,NA,Total,Assam,North East
19,htn_screened,66.2,64.5,67.9,Proportion,"66.2 (64.5, 67.9)",28265,,NA,Total,West Bengal,East
19,htn_diagnosed,15.1,14.3,15.8,Proportion,"15.1 (14.3, 15.8)",28265,,NA,Total,West Bengal,East
20,htn_screened,58.2,56.7,59.7,Proportion,"58.2 (56.7, 59.7)",36044,,NA,Total,Jharkhand,East
