state,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,residence,n5_state,zone
1,htn_unscreened,21.7,20.1,23.2,Proportion,"21.7 (20.1, 23.2)",32598,,NA,Total,Jammu & Kashmir,North
1,htn_undiagnosed,79.2,78,80.4,Proportion,"79.2 (78, 80.4)",32598,,NA,Total,Jammu & Kashmir,North
2,htn_unscreened,22.7,21.3,24.1,Proportion,"22.7 (21.3, 24.1)",16496,,NA,Total,Himachal Pradesh,North
2,htn_undiagnosed,80.4,79.2,81.7,Proportion,"80.4 (79.2, 81.7)",16496,,NA,Total,Himachal Pradesh,North
3,htn_unscreened,17.9,16.8,19,Proportion,"17.9 (16.8, 19)",37702,,NA,Total,Punjab,North
3,htn_undiagnosed,74.7,73.5,75.9,Proportion,"74.7 (73.5, 75.9)",37702,,NA,Total,Punjab,North
4,htn_unscreened,15.2,10.4,20,Proportion,"15.2 (10.4, 20)",896,,NA,Total,Chandigarh,North
4,htn_undiagnosed,78,72.7,83.3,Proportion,"78 (72.7, 83.3)",896,,NA,Total,Chandigarh,North
5,htn_unscreened,27.6,26.1,29.1,Proportion,"27.6 (26.1, 29.1)",19184,,NA,Total,Uttarakhand,Central
5,htn_undiagnosed,83.1,82,84.1,Proportion,"83.1 (82, 84.1)",19184,,NA,Total,Uttarakhand,Central
6,htn_unscreened,25.2,24.3,26.2,Proportion,"25.2 (24.3, 26.2)",33422,,NA,Total,Haryana,North
6,htn_undiagnosed,80.7,79.7,81.7,Proportion,"80.7 (79.7, 81.7)",33422,,NA,Total,Haryana,North
7,htn_unscreened,18.5,17.2,19.8,Proportion,"18.5 (17.2, 19.8)",15025,,NA,Total,Nct Of Delhi,North
7,htn_undiagnosed,81.7,80.7,82.7,Proportion,"81.7 (80.7, 82.7)",15025,,NA,Total,Nct Of Delhi,North
8,htn_unscreened,42.6,41.3,43.9,Proportion,"42.6 (41.3, 43.9)",58123,,NA,Total,Rajasthan,North
8,htn_undiagnosed,86.8,85.9,87.7,Proportion,"86.8 (85.9, 87.7)",58123,,NA,Total,Rajasthan,North
9,htn_unscreened,35.6,34.8,36.4,Proportion,"35.6 (34.8, 36.4)",120522,,NA,Total,Uttar Pradesh,Central
9,htn_undiagnosed,83.8,83.2,84.5,Proportion,"83.8 (83.2, 84.5)",120522,,NA,Total,Uttar Pradesh,Central
10,htn_unscreened,33.5,32.5,34.5,Proportion,"33.5 (32.5, 34.5)",45939,,NA,Total,Bihar,East
10,htn_undiagnosed,75.1,73.8,76.4,Proportion,"75.1 (73.8, 76.4)",45939,,NA,Total,Bihar,East
11,htn_unscreened,23.6,20.6,26.5,Proportion,"23.6 (20.6, 26.5)",6168,,NA,Total,Sikkim,North East
11,htn_undiagnosed,79,76.9,81,Proportion,"79 (76.9, 81)",6168,,NA,Total,Sikkim,North East
12,htn_unscreened,36.2,34.2,38.1,Proportion,"36.2 (34.2, 38.1)",33516,,NA,Total,Arunachal Pradesh,North East
12,htn_undiagnosed,85,83.9,86.2,Proportion,"85 (83.9, 86.2)",33516,,NA,Total,Arunachal Pradesh,North East
