variable,group,Analytic,Excluded
bmi,NA,"22.7 (22.7, 22.8)","22.7 (22.4, 23)"
age,NA,"42.2 (42.1, 42.2)","39.2 (39.1, 39.4)"
highwc,NA,"40.2 (39.9, 40.5)","41 (37.9, 44.1)"
htn,NA,"28.6 (28.4, 28.7)",NA
highbp,NA,"23 (22.8, 23.1)",NA
diaghtn,NA,"49.9 (49.4, 50.4)",NA
htn_screened,NA,"64.1 (63.8, 64.5)","0 (0, 0)"
htn_disease,NA,"28.6 (28.4, 28.7)",NA
htn_diagnosed,NA,"11.1 (11, 11.3)",NA
htn_treated,NA,"6.5 (6.5, 6.6)",NA
htn_controlled,NA,"2.7 (2.7, 2.8)",NA
residence,Rural,"69.3 (68.5, 70.1)","57.9 (56.5, 59.3)"
residence,Urban,"30.7 (29.9, 31.5)","42.1 (40.7, 43.5)"
sex,Female,"55.1 (55, 55.2)","37.4 (37, 37.7)"
sex,Male,"44.9 (44.8, 45)","62.6 (62.3, 63)"
age_category,18-39,"48.7 (48.5, 48.8)","56.7 (56.3, 57)"
age_category,40-64,"39.7 (39.6, 39.8)","34.4 (34.1, 34.7)"
age_category,65 plus,"11.7 (11.6, 11.7)","9 (8.7, 9.2)"
age_category10,"[18,30)","27.8 (27.6, 27.9)","35.1 (34.7, 35.5)"
age_category10,"[30,40)","20.9 (20.8, 21)","21.6 (21.2, 21.9)"
age_category10,"[40,50)","18.2 (18.1, 18.3)","16.6 (16.3, 16.8)"
age_category10,"[50,60)","14.6 (14.5, 14.7)","12.6 (12.3, 12.8)"
age_category10,"[60,70)","11.8 (11.7, 11.9)","8.9 (8.7, 9.1)"
age_category10,"[70,80)","4.9 (4.9, 5)","3.7 (3.5, 3.8)"
age_category10,"[80,100]","1.8 (1.8, 1.8)","1.7 (1.6, 1.8)"
age_category5,"[15,20)","5 (5, 5.1)","6.3 (6.2, 6.5)"
age_category5,"[20,25)","11.3 (11.2, 11.4)","14.8 (14.6, 15.1)"
age_category5,"[25,30)","11.4 (11.3, 11.5)","13.9 (13.7, 14.2)"
age_category5,"[30,35)","10.5 (10.4, 10.5)","11.3 (11.1, 11.5)"
age_category5,"[35,40)","10.4 (10.4, 10.5)","10.2 (10, 10.4)"
age_category5,"[40,45)","8.9 (8.9, 9)","8.4 (8.2, 8.5)"
age_category5,"[45,50)","9.3 (9.3, 9.4)","8.2 (8, 8.4)"
age_category5,"[50,55)","7.4 (7.3, 7.5)","6.6 (6.5, 6.8)"
age_category5,"[55,60)","7.2 (7.2, 7.3)","5.9 (5.8, 6.1)"
age_category5,"[60,65)","6.8 (6.8, 6.9)","5.3 (5.1, 5.4)"
age_category5,"[65,70)","4.9 (4.9, 5)","3.6 (3.5, 3.8)"
age_category5,"[70,75)","3.3 (3.2, 3.3)","2.4 (2.3, 2.5)"
age_category5,"[75,80)","1.6 (1.6, 1.7)","1.3 (1.2, 1.4)"
age_category5,"[80,85)","1 (1, 1)","0.9 (0.8, 1)"
age_category5,"[85,90)","0.5 (0.5, 0.5)","0.4 (0.4, 0.4)"
age_category5,"[90,95)","0.2 (0.2, 0.2)","0.2 (0.2, 0.2)"
age_category5,"[95,100]","0.1 (0.1, 0.1)","0.2 (0.1, 0.2)"
education,Higher,"14.2 (13.9, 14.4)","21.5 (20.9, 22.2)"
education,No education,"28.6 (28.4, 28.9)","22 (21.6, 22.5)"
education,Primary,"14.8 (14.7, 14.9)","11.7 (11.4, 12)"
education,Secondary,"42.4 (42.2, 42.6)","44.8 (44.3, 45.2)"
caste,General,"26.6 (26.2, 27)","31.4 (30.5, 32.4)"
caste,OBC,"42 (41.6, 42.4)","41 (40.2, 41.8)"
caste,Schedule Caste,"21.6 (21.3, 22)","20.2 (19.6, 20.8)"
caste,Schedule Tribe,"9.7 (9.5, 10)","7.3 (7, 7.7)"
religion,Hindu,"83 (82.6, 83.4)","78.7 (77.8, 79.5)"
religion,Muslim,"11.6 (11.2, 12)","14.8 (14, 15.6)"
religion,Other,"5.4 (5.2, 5.5)","6.5 (6, 7)"
wealthq_ur,1,"18.6 (18.3, 19)","16.3 (15.7, 16.8)"
wealthq_ur,2,"19.7 (19.5, 19.9)","17.6 (17.1, 18.1)"
wealthq_ur,3,"20.4 (20.2, 20.7)","18.5 (18.1, 18.9)"
wealthq_ur,4,"20.8 (20.6, 21)","20.9 (20.4, 21.4)"
wealthq_ur,5,"20.4 (20.1, 20.7)","26.8 (25.9, 27.7)"
bmi_category,Underweight,"6.5 (6.4, 6.6)","0.2 (0.2, 0.2)"
bmi_category,Normal,"24.7 (24.6, 24.9)","0.6 (0.5, 0.6)"
bmi_category,Overweight,"8.1 (8, 8.1)","0.2 (0.2, 0.2)"
bmi_category,Obese,"2.7 (2.7, 2.8)","0.1 (0.1, 0.1)"
bmi_category,NA,"58 (57.8, 58.1)","99 (98.9, 99.1)"
