variable,estimate,lci,uci,type,est_ci,n,stratification,strata
htn_screened,76.3,75.9,76.6,Proportion,"76.3 (75.9, 76.6)",439913,,NA
htn_diagnosed,38.9,38.4,39.4,Proportion,"38.9 (38.4, 39.4)",439913,,NA
htn_unscreened,23.7,23.4,24.1,Proportion,"23.7 (23.4, 24.1)",439913,,NA
htn_undiagnosed,61.1,60.6,61.6,Proportion,"61.1 (60.6, 61.6)",439913,,NA
htn_screened,82.5,82.1,83,Proportion,"82.5 (82.1, 83)",225517,sex,Female
htn_diagnosed,46.9,46.3,47.6,Proportion,"46.9 (46.3, 47.6)",225517,sex,Female
htn_unscreened,17.5,17,17.9,Proportion,"17.5 (17, 17.9)",225517,sex,Female
htn_undiagnosed,53.1,52.4,53.7,Proportion,"53.1 (52.4, 53.7)",225517,sex,Female
htn_screened,69.2,68.7,69.6,Proportion,"69.2 (68.7, 69.6)",214396,sex,Male
htn_diagnosed,29.8,29.3,30.3,Proportion,"29.8 (29.3, 30.3)",214396,sex,Male
htn_unscreened,30.8,30.4,31.3,Proportion,"30.8 (30.4, 31.3)",214396,sex,Male
htn_undiagnosed,70.2,69.7,70.7,Proportion,"70.2 (69.7, 70.7)",214396,sex,Male
htn_treated,44.5,43.9,45.1,Proportion,"44.5 (43.9, 45.1)",175054,,NA
htn_untreated,55.5,54.9,56.1,Proportion,"55.5 (54.9, 56.1)",175054,,NA
htn_treated,42,41.3,42.7,Proportion,"42 (41.3, 42.7)",104998,sex,Female
htn_untreated,58,57.3,58.7,Proportion,"58 (57.3, 58.7)",104998,sex,Female
htn_treated,49.2,48.4,50,Proportion,"49.2 (48.4, 50)",70056,sex,Male
htn_untreated,50.8,50,51.6,Proportion,"50.8 (50, 51.6)",70056,sex,Male
htn_controlled,53.1,52.2,53.9,Proportion,"53.1 (52.2, 53.9)",95514,,NA
htn_uncontrolled,46.9,46.1,47.8,Proportion,"46.9 (46.1, 47.8)",95514,,NA
htn_controlled,56.3,55.2,57.3,Proportion,"56.3 (55.2, 57.3)",57360,sex,Female
htn_uncontrolled,43.7,42.7,44.8,Proportion,"43.7 (42.7, 44.8)",57360,sex,Female
htn_controlled,47.7,46.3,49.1,Proportion,"47.7 (46.3, 49.1)",38154,sex,Male
htn_uncontrolled,52.3,50.9,53.7,Proportion,"52.3 (50.9, 53.7)",38154,sex,Male
