stratification,strata,Rural_htn_screened,Rural_htn_disease,Rural_htn_diagnosed,Rural_htn_treated,Rural_htn_controlled,Total_htn_screened,Total_htn_disease,Total_htn_diagnosed,Total_htn_treated,Total_htn_controlled,Urban_htn_screened,Urban_htn_disease,Urban_htn_diagnosed,Urban_htn_treated,Urban_htn_controlled
NA,NA,"60.2 (59.9, 60.6)","26.6 (26.4, 26.8)","37.4 (36.9, 37.9)","52.8 (52, 53.6)","45 (44.5, 45.6)",NA,NA,NA,NA,NA,"71.5 (70.8, 72.2)","30 (29.6, 30.4)","43.9 (43.1, 44.7)","67.3 (66, 68.5)","45.9 (45, 46.8)"
sex,Female,"66.9 (66.5, 67.3)","26.2 (26, 26.4)","44.1 (43.6, 44.7)","52.5 (51.6, 53.3)","45.8 (45.1, 46.5)","70.2 (69.9, 70.6)","27.1 (26.9, 27.3)","46.6 (46.2, 47.1)","57.9 (57.2, 58.6)","46.4 (45.7, 47)","77.3 (76.6, 78)","29.1 (28.7, 29.4)","51.5 (50.6, 52.4)","66.9 (65.7, 68.2)","47 (46, 48.1)"
sex,Male,"52.6 (52.2, 53.1)","27.1 (26.9, 27.3)","30 (29.5, 30.5)","53.4 (52.4, 54.3)","43.8 (42.9, 44.7)","56.6 (56.3, 57)","28.4 (28.1, 28.6)","32.1 (31.7, 32.5)","59.1 (58.3, 59.9)","44 (43.2, 44.7)","65 (64.2, 65.8)","31 (30.6, 31.5)","36 (35.2, 36.8)","67.8 (66.3, 69.2)","44.2 (42.9, 45.5)"
age_category,18-39,"53.5 (53.1, 53.9)","14 (13.8, 14.2)","31.7 (30.9, 32.4)","21.3 (20.4, 22.2)","63.8 (62, 65.6)","56.1 (55.8, 56.5)","14.3 (14.1, 14.4)","30.6 (29.9, 31.2)","22.9 (22.1, 23.7)","61.3 (59.7, 62.8)","61.8 (61.1, 62.6)","14.9 (14.5, 15.2)","28.4 (27.1, 29.7)","26.4 (24.7, 28.1)","56.8 (53.9, 59.7)"
age_category,40-64,"65.7 (65.3, 66.1)","35.6 (35.3, 35.8)","36.8 (36.3, 37.3)","56.2 (55.4, 57)","42.9 (42.2, 43.7)","70.3 (69.9, 70.6)","37.3 (37, 37.5)","39.6 (39.2, 40)","61.9 (61.2, 62.6)","43.7 (43, 44.3)","79.7 (79, 80.4)","40.9 (40.3, 41.4)","44.7 (43.9, 45.5)","70.3 (69.1, 71.4)","44.6 (43.5, 45.6)"
age_category,65 plus,"71 (70.5, 71.5)","50.6 (50.2, 51)","45.6 (45, 46.2)","72.2 (71.4, 73)","43.6 (42.7, 44.5)","75.4 (75, 75.8)","53.3 (53, 53.7)","50.4 (49.9, 51)","76.9 (76.3, 77.6)","44.7 (43.9, 45.5)","85.6 (84.9, 86.3)","59.7 (58.9, 60.5)","59.9 (58.8, 61)","84 (82.9, 85)","46.1 (44.7, 47.5)"
education,Higher,"57.6 (57, 58.2)","18.2 (17.7, 18.7)","36.5 (35.4, 37.5)","40.9 (39.1, 42.7)","52.3 (49.8, 54.7)","64.6 (64, 65.2)","20.6 (20.3, 21)","40.3 (39.4, 41.2)","54.3 (52.8, 55.8)","50.8 (49.2, 52.5)","70.7 (69.8, 71.7)","22.8 (22.2, 23.3)","43 (41.6, 44.3)","62.4 (60.3, 64.4)","50.3 (48.2, 52.3)"
education,No education,"61.4 (61, 61.9)","33 (32.8, 33.3)","37.5 (36.9, 38)","55.6 (54.7, 56.5)","42.2 (41.3, 43)","63.7 (63.3, 64.1)","34.3 (34, 34.6)","39.2 (38.7, 39.7)","58.8 (58, 59.6)","42.1 (41.4, 42.9)","73.4 (72.4, 74.3)","39.8 (39.1, 40.5)","45.6 (44.5, 46.8)","68.4 (66.7, 70.1)","42 (40.4, 43.7)"
education,Primary,"62.8 (62.3, 63.3)","29.8 (29.5, 30.2)","38.9 (38.2, 39.6)","59.2 (58, 60.3)","45.8 (44.5, 47)","65.8 (65.3, 66.2)","31.9 (31.5, 32.2)","41.1 (40.5, 41.7)","63.9 (63, 64.9)","45.6 (44.6, 46.6)","73.8 (72.8, 74.8)","37.4 (36.6, 38.2)","45.8 (44.6, 47.1)","72.8 (71.1, 74.5)","45.3 (43.6, 47)"
education,Secondary,"58.9 (58.5, 59.3)","22.3 (22, 22.5)","36.7 (36.1, 37.3)","48.4 (47.4, 49.4)","47.4 (46.4, 48.5)","63 (62.7, 63.4)","24.5 (24.2, 24.7)","39.2 (38.7, 39.7)","56.6 (55.8, 57.5)","46.9 (46, 47.7)","70.6 (69.9, 71.3)","28.5 (28.1, 28.9)","42.8 (41.9, 43.7)","66.8 (65.4, 68.2)","46.4 (45.1, 47.7)"
caste,General,"64.2 (63.6, 64.8)","28.5 (28.1, 29)","43.6 (42.9, 44.3)","59.5 (58.4, 60.6)","45.9 (44.8, 46.9)","68.2 (67.7, 68.8)","29.5 (29.2, 29.8)","44.9 (44.2, 45.5)","64.6 (63.7, 65.5)","46.7 (45.8, 47.6)","73.9 (72.9, 74.9)","30.9 (30.3, 31.4)","46.5 (45.4, 47.6)","70.8 (69.4, 72.2)","47.6 (46.2, 49)"
caste,OBC,"61.7 (61.2, 62.1)","26.7 (26.4, 26.9)","38.3 (37.7, 39)","51.8 (50.7, 52.9)","45.7 (44.8, 46.5)","64.9 (64.5, 65.3)","27.8 (27.6, 28)","40.3 (39.8, 40.9)","57.6 (56.6, 58.5)","45.6 (44.8, 46.3)","71.8 (71, 72.6)","30.2 (29.8, 30.7)","44.1 (43.1, 45.1)","67 (65.2, 68.7)","45.4 (44.2, 46.7)"
caste,Schedule Caste,"59.8 (59.2, 60.4)","25.7 (25.3, 26)","35.5 (34.7, 36.3)","47.1 (45.7, 48.4)","43.2 (41.9, 44.5)","62.2 (61.7, 62.8)","26.4 (26, 26.7)","36.8 (36.1, 37.5)","51.5 (50.3, 52.7)","43.1 (41.9, 44.2)","68.4 (67.3, 69.5)","28.1 (27.4, 28.8)","39.8 (38.4, 41.1)","60.6 (58.4, 62.9)","42.9 (40.8, 44.9)"
caste,Schedule Tribe,"48.2 (47.3, 49)","24.5 (24.1, 24.9)","23.4 (22.5, 24.2)","47.9 (46, 49.7)","41.9 (40, 43.8)","50.1 (49.3, 50.9)","25 (24.7, 25.4)","25.5 (24.7, 26.3)","51.3 (49.5, 53.1)","42.4 (40.5, 44.3)","62.1 (59.8, 64.5)","28.6 (27.4, 29.9)","36.7 (34.1, 39.2)","62.8 (58.7, 67)","43.8 (38.9, 48.7)"
religion,Hindu,"59.3 (58.9, 59.7)","26.4 (26.2, 26.6)","36.1 (35.6, 36.7)","52.3 (51.5, 53.2)","45.6 (44.9, 46.2)","63.1 (62.7, 63.4)","27.5 (27.3, 27.7)","38.6 (38.1, 39)","57.9 (57.2, 58.6)","45.8 (45.2, 46.3)","71.6 (70.9, 72.3)","30 (29.6, 30.4)","43.5 (42.6, 44.3)","67.2 (65.9, 68.6)","46 (45, 47)"
religion,Muslim,"63.5 (62.6, 64.4)","24.9 (24.4, 25.4)","44 (42.7, 45.3)","55.1 (53.1, 57.1)","44 (42.2, 45.7)","65.5 (64.7, 66.3)","26.3 (25.9, 26.8)","43.6 (42.5, 44.6)","60.1 (58.4, 61.8)","44.1 (42.8, 45.5)","68.4 (66.9, 69.8)","28.4 (27.6, 29.1)","43.1 (41.3, 44.8)","66.5 (63.6, 69.5)","44.3 (42.1, 46.5)"
religion,Other,"68.7 (67.6, 69.7)","33.2 (32.5, 33.9)","43.3 (42, 44.6)","54.8 (52.6, 56.9)","41.4 (39.6, 43.3)","71.9 (71, 72.7)","33.6 (33, 34.1)","46 (44.9, 47.1)","60.4 (58.6, 62.2)","44.1 (42.5, 45.8)","77.8 (76.3, 79.4)","34.2 (33.1, 35.3)","50.8 (48.8, 52.8)","69.1 (66, 72.2)","47.5 (44.6, 50.4)"
wealthq_ur,1,"48.2 (47.6, 48.8)","23.9 (23.6, 24.2)","29.4 (28.6, 30.3)","40.7 (39.2, 42.2)","45.5 (43.6, 47.3)","53.2 (52.6, 53.8)","24.9 (24.6, 25.2)","32.3 (31.5, 33)","47.1 (45.7, 48.5)","43.7 (42.2, 45.1)","62.9 (61.7, 64)","26.8 (26.1, 27.4)","37.2 (35.7, 38.7)","55.8 (53.1, 58.5)","41.9 (39.7, 44.1)"
wealthq_ur,2,"55.2 (54.7, 55.7)","24.2 (23.9, 24.5)","34.5 (33.8, 35.2)","44.6 (43.4, 45.9)","44.3 (42.8, 45.7)","59.8 (59.3, 60.2)","25.7 (25.4, 26)","37.1 (36.4, 37.7)","53 (51.9, 54)","44.2 (43.1, 45.4)","68.9 (67.9, 69.8)","28.8 (28.3, 29.4)","41.4 (40.2, 42.6)","64.6 (62.7, 66.5)","44.2 (42.4, 45.9)"
wealthq_ur,3,"59.9 (59.4, 60.4)","25.8 (25.5, 26.1)","36.5 (35.8, 37.2)","50.2 (49, 51.4)","43.1 (41.8, 44.4)","63.7 (63.2, 64.1)","27.1 (26.8, 27.4)","39.1 (38.4, 39.7)","57.9 (56.8, 58.9)","43.8 (42.7, 44.9)","71.7 (70.8, 72.6)","30 (29.4, 30.5)","43.8 (42.6, 44.9)","69.6 (67.9, 71.4)","44.5 (42.7, 46.4)"
wealthq_ur,4,"64.5 (64, 65.1)","27.5 (27.1, 27.8)","39 (38.3, 39.7)","57.9 (56.7, 59.1)","45.3 (44.2, 46.4)","67.6 (67.1, 68.1)","28.6 (28.3, 28.9)","41.3 (40.7, 41.9)","62.5 (61.6, 63.5)","46 (45.1, 47)","74.4 (73.4, 75.3)","31 (30.5, 31.6)","45.8 (44.6, 46.9)","70.3 (68.6, 72)","47.1 (45.3, 48.8)"
wealthq_ur,5,"70.7 (70.2, 71.2)","31 (30.6, 31.3)","43.8 (43.1, 44.5)","60.2 (59.2, 61.3)","46.1 (45.2, 47.1)","73.3 (72.8, 73.8)","31.7 (31.3, 32)","45.7 (45, 46.3)","64.1 (63.2, 65)","47.2 (46.3, 48.1)","79.4 (78.3, 80.5)","33.3 (32.6, 33.9)","49.7 (48.4, 51)","71.4 (69.7, 73.1)","48.9 (47.2, 50.5)"
