stratification,strata,Rural_htn_screened,Rural_htn_disease,Rural_htn_diagnosed,Rural_htn_treated,Rural_htn_controlled,Total_htn_screened,Total_htn_disease,Total_htn_diagnosed,Total_htn_treated,Total_htn_controlled,Urban_htn_screened,Urban_htn_disease,Urban_htn_diagnosed,Urban_htn_treated,Urban_htn_controlled
NA,NA,"60.9 (60.5, 61.3)","24.9 (24.7, 25.1)","37.8 (37.2, 38.4)","38.3 (37.5, 39.1)","54.3 (53.2, 55.3)",NA,NA,NA,NA,NA,"73.7 (73, 74.3)","31.6 (31.2, 32)","41.9 (41, 42.8)","55.7 (54.4, 57.1)","51.3 (49.8, 52.8)"
sex,Female,"67 (66.7, 67.4)","22.9 (22.7, 23.1)","45.8 (45.1, 46.6)","36.4 (35.5, 37.3)","57.8 (56.5, 59.1)","70.7 (70.4, 71.1)","24.9 (24.7, 25.1)","47.2 (46.6, 47.8)","41.7 (41, 42.4)","56.3 (55.3, 57.3)","78.6 (77.9, 79.3)","29.1 (28.6, 29.5)","50.2 (49.1, 51.3)","53.5 (52, 55)","53.9 (52.2, 55.7)"
sex,Male,"54.1 (53.7, 54.5)","27.2 (27, 27.5)","28.1 (27.5, 28.7)","42.2 (41.2, 43.2)","47.9 (46.2, 49.5)","59.1 (58.8, 59.5)","29.5 (29.3, 29.8)","30.1 (29.6, 30.5)","48.7 (47.9, 49.5)","47.7 (46.3, 49.1)","68.8 (68, 69.5)","34 (33.5, 34.5)","33.7 (32.8, 34.6)","59.3 (57.7, 60.9)","47.5 (45.2, 49.8)"
age_category,18-39,"55.5 (55.1, 55.9)","13.7 (13.5, 13.9)","36 (35.1, 36.9)","22.2 (21.2, 23.2)","63.9 (62.1, 65.7)","57.5 (57.1, 57.9)","13.9 (13.8, 14.1)","34.7 (34, 35.4)","23.3 (22.5, 24.2)","62.2 (60.6, 63.8)","62.8 (62, 63.6)","14.6 (14.2, 14.9)","31.3 (29.9, 32.8)","26.7 (24.8, 28.6)","59.2 (56.2, 62.2)"
age_category,40-64,"65.8 (65.4, 66.3)","34.4 (34.1, 34.7)","38.1 (37.6, 38.6)","55.3 (54.5, 56.1)","43.3 (42.5, 44.1)","71.1 (70.8, 71.5)","36.1 (35.9, 36.4)","41.1 (40.6, 41.5)","61.1 (60.5, 61.8)","44.1 (43.5, 44.8)","79.9 (79.2, 80.6)","39 (38.5, 39.5)","46.1 (45.3, 46.9)","69.4 (68.2, 70.6)","45.1 (44, 46.2)"
age_category,65 plus,"71.7 (71.2, 72.2)","50.1 (49.6, 50.6)","46.2 (45.5, 46.8)","71.1 (70.2, 71.9)","42.8 (41.9, 43.7)","77.6 (77.2, 78.1)","53.8 (53.2, 54.3)","51.9 (51.3, 52.5)","76.6 (75.9, 77.3)","44 (43.2, 44.8)","86.7 (85.8, 87.5)","59.3 (58.3, 60.4)","60.7 (59.5, 61.9)","83.4 (82.3, 84.6)","45.5 (44.1, 47)"
education,Higher,"62.5 (61.8, 63.1)","23.4 (22.8, 24)","38.6 (37.5, 39.8)","34.1 (32.4, 35.7)","63 (59.2, 66.9)","70.5 (69.9, 71.1)","27.2 (26.7, 27.7)","41.9 (41, 42.8)","46.3 (45.1, 47.4)","61.2 (58.8, 63.7)","76.4 (75.5, 77.3)","30 (29.3, 30.7)","44.2 (42.9, 45.6)","54.7 (52.9, 56.6)","60.1 (56.8, 63.4)"
education,No education,"59.8 (59.4, 60.3)","25.6 (25.4, 25.9)","37.9 (37.1, 38.8)","38.3 (37.2, 39.4)","49.3 (48, 50.7)","61.7 (61.3, 62.2)","26.7 (26.5, 27)","38.5 (37.8, 39.3)","41.1 (40.1, 42.1)","48.2 (47.1, 49.4)","70.4 (69.4, 71.5)","31.7 (31, 32.5)","40.8 (39.1, 42.6)","51.6 (49, 54.2)","45.3 (42.8, 47.8)"
education,Primary,"61.8 (61.3, 62.3)","25.7 (25.4, 26.1)","37.5 (36.6, 38.4)","41.6 (40.1, 43.1)","52.9 (50.7, 55.1)","64.6 (64.1, 65)","27.8 (27.5, 28.1)","38.2 (37.4, 39)","46.4 (45.2, 47.5)","51 (49.2, 52.7)","72.6 (71.5, 73.6)","33.7 (32.9, 34.4)","40 (38.6, 41.5)","58.5 (56.1, 60.9)","47.3 (44.5, 50)"
education,Secondary,"61.1 (60.7, 61.5)","24.4 (24.2, 24.7)","37.6 (36.9, 38.3)","37.3 (36.4, 38.2)","56.1 (54.3, 57.8)","65.6 (65.3, 66)","27.1 (26.9, 27.4)","39.3 (38.8, 39.8)","45.2 (44.5, 46)","53.4 (52.1, 54.8)","73.5 (72.7, 74.2)","31.9 (31.4, 32.3)","42 (41, 43)","57.3 (55.8, 58.8)","49.9 (47.8, 52)"
