stratification,strata,Rural_htn_screened,Rural_htn_disease,Rural_htn_diagnosed,Rural_htn_treated,Rural_htn_controlled,Total_htn_screened,Total_htn_disease,Total_htn_diagnosed,Total_htn_treated,Total_htn_controlled,Urban_htn_screened,Urban_htn_disease,Urban_htn_diagnosed,Urban_htn_treated,Urban_htn_controlled
NA,NA,"60.6 (60.2, 61)","25.9 (25.7, 26.1)","35.4 (34.8, 35.9)","38.8 (38, 39.6)","53.9 (52.9, 55)",NA,NA,NA,NA,NA,"73.4 (72.7, 74.1)","32.6 (32.2, 33)","39.9 (39.1, 40.8)","56.3 (54.9, 57.6)","50.4 (49, 51.9)"
sex,Female,"66.8 (66.4, 67.2)","23.7 (23.5, 23.9)","43.1 (42.4, 43.8)","36.9 (36, 37.8)","57.1 (55.8, 58.4)","70.5 (70.2, 70.8)","25.7 (25.5, 25.9)","44.6 (44, 45.1)","42.2 (41.5, 42.9)","55.6 (54.6, 56.6)","78.4 (77.7, 79.1)","30.1 (29.7, 30.5)","47.9 (46.8, 48.9)","54 (52.5, 55.5)","53.2 (51.4, 55)"
sex,Male,"53.8 (53.3, 54.2)","28.2 (27.9, 28.5)","26.3 (25.8, 26.8)","42.8 (41.8, 43.9)","48.1 (46.5, 49.8)","58.8 (58.5, 59.2)","30.6 (30.3, 30.8)","28.4 (27.9, 28.8)","49.3 (48.5, 50.1)","47.4 (46, 48.7)","68.5 (67.8, 69.3)","35.1 (34.6, 35.6)","32.2 (31.4, 33)","59.9 (58.3, 61.5)","46.4 (44.1, 48.7)"
age_category,18-39,"55.2 (54.8, 55.6)","14.7 (14.5, 14.9)","32.6 (31.8, 33.4)","22.7 (21.7, 23.7)","63.4 (61.6, 65.2)","57.2 (56.9, 57.6)","14.9 (14.8, 15.1)","31.5 (30.8, 32.2)","23.8 (22.9, 24.7)","61.3 (59.7, 62.9)","62.6 (61.8, 63.4)","15.6 (15.2, 15.9)","28.6 (27.2, 29.9)","27.2 (25.3, 29)","57.6 (54.6, 60.5)"
age_category,40-64,"65.6 (65.1, 66)","35.4 (35.1, 35.7)","36.6 (36.1, 37.1)","56 (55.2, 56.8)","43 (42.2, 43.8)","70.9 (70.5, 71.2)","37.2 (36.9, 37.5)","39.5 (39.1, 40)","61.8 (61.1, 62.4)","43.7 (43.1, 44.4)","79.7 (79, 80.4)","40.2 (39.6, 40.7)","44.5 (43.7, 45.3)","70 (68.8, 71.2)","44.6 (43.5, 45.7)"
age_category,65 plus,"71.3 (70.8, 71.8)","50.4 (49.9, 50.9)","45.7 (45.1, 46.4)","71.7 (70.8, 72.5)","43.3 (42.4, 44.2)","77.2 (76.7, 77.7)","54.3 (53.8, 54.8)","51.3 (50.7, 51.9)","77.1 (76.5, 77.8)","44.4 (43.6, 45.2)","86.1 (85.2, 87)","60.1 (59.1, 61.1)","59.8 (58.6, 61)","83.9 (82.8, 85)","45.8 (44.4, 47.2)"
education,Higher,"62.1 (61.5, 62.7)","24.4 (23.8, 25)","35.8 (34.7, 36.9)","34.6 (33, 36.2)","63.6 (60, 67.2)","70.2 (69.6, 70.8)","28.2 (27.8, 28.7)","39.4 (38.6, 40.3)","46.9 (45.7, 48)","59.6 (57.1, 62.2)","76.2 (75.2, 77.1)","31 (30.3, 31.7)","42.1 (40.8, 43.3)","55.4 (53.5, 57.3)","57.1 (53.6, 60.5)"
education,No education,"59.5 (59, 60)","26.5 (26.2, 26.8)","35.6 (34.8, 36.4)","38.8 (37.7, 40)","48.5 (47.1, 49.8)","61.4 (61, 61.8)","27.6 (27.4, 27.9)","36.3 (35.6, 37)","41.6 (40.7, 42.6)","47.4 (46.2, 48.6)","70.2 (69.2, 71.3)","32.8 (32.1, 33.5)","39 (37.4, 40.6)","52.1 (49.4, 54.7)","44.5 (42.1, 47)"
education,Primary,"61.5 (61, 62)","26.7 (26.4, 27)","35.1 (34.3, 36)","42 (40.6, 43.5)","53.2 (51, 55.3)","64.2 (63.8, 64.7)","28.8 (28.5, 29.1)","36 (35.3, 36.7)","46.8 (45.6, 48)","50.8 (49.1, 52.5)","72.3 (71.2, 73.3)","34.8 (34, 35.5)","38.3 (36.9, 39.6)","58.9 (56.5, 61.3)","46.3 (43.6, 49)"
education,Secondary,"60.8 (60.4, 61.2)","25.3 (25.1, 25.6)","35.2 (34.5, 35.8)","37.9 (36.9, 38.8)","55.6 (53.8, 57.3)","65.3 (65, 65.7)","28.1 (27.9, 28.3)","37 (36.5, 37.5)","45.8 (45.1, 46.5)","53.2 (51.9, 54.5)","73.2 (72.5, 73.9)","32.9 (32.5, 33.4)","40 (39.1, 40.9)","57.9 (56.4, 59.4)","50.1 (48, 52.1)"
caste,General,"63.7 (63.1, 64.3)","26.7 (26.3, 27.1)","39.8 (38.9, 40.7)","42.6 (41.3, 43.9)","52.7 (50.7, 54.6)","68.4 (67.8, 68.9)","28.9 (28.6, 29.3)","40.2 (39.4, 40.9)","48.5 (47.5, 49.4)","51.9 (50.4, 53.4)","74.9 (73.9, 75.8)","32.1 (31.5, 32.6)","40.7 (39.5, 42)","57.6 (55.7, 59.4)","51 (48.6, 53.4)"
caste,OBC,"62 (61.5, 62.4)","25.5 (25.3, 25.8)","36.4 (35.6, 37.3)","37.1 (36, 38.2)","55.5 (54, 57.1)","66 (65.6, 66.4)","28 (27.8, 28.3)","37.8 (37.1, 38.4)","43.4 (42.6, 44.3)","53.6 (52.4, 54.9)","74 (73.3, 74.8)","33.1 (32.6, 33.6)","40.6 (39.4, 41.7)","56.6 (54.7, 58.5)","50.8 (48.8, 52.9)"
caste,Schedule Caste,"60.7 (60.1, 61.3)","25.9 (25.5, 26.3)","34.7 (33.8, 35.6)","37 (35.7, 38.3)","53.2 (51, 55.3)","63.9 (63.3, 64.4)","27.8 (27.4, 28.1)","35.6 (34.9, 36.4)","41.6 (40.5, 42.7)","51.2 (49.4, 52.9)","71.3 (70.2, 72.5)","32.2 (31.4, 33)","37.9 (36.4, 39.4)","52.4 (50, 54.8)","47.4 (44.5, 50.4)"
caste,Schedule Tribe,"49.3 (48.5, 50.1)","25.2 (24.8, 25.7)","22.1 (21.2, 23.1)","38.3 (36.3, 40.3)","51.8 (49.1, 54.4)","51.7 (50.9, 52.5)","26.6 (26.2, 27.1)","24.2 (23.3, 25.1)","42.1 (40.1, 44.1)","51.6 (48.6, 54.6)","65.2 (62.8, 67.6)","34.5 (32.9, 36.1)","35.3 (32.4, 38.2)","56.6 (51.2, 62.1)","51.2 (42, 60.3)"
religion,Hindu,"59.6 (59.2, 60)","25.5 (25.3, 25.8)","34.3 (33.7, 34.9)","38.1 (37.3, 39)","54.9 (53.7, 56.1)","64 (63.7, 64.4)","27.7 (27.5, 27.9)","35.9 (35.4, 36.5)","44 (43.3, 44.7)","53.3 (52.3, 54.3)","73.5 (72.8, 74.2)","32.6 (32.1, 33)","39.5 (38.6, 40.5)","56.1 (54.5, 57.6)","50.8 (49.1, 52.6)"
religion,Muslim,"64.2 (63.3, 65.1)","25.6 (25.1, 26.2)","41.6 (40.2, 43.1)","42.9 (40.9, 44.9)","51.9 (49.2, 54.6)","67 (66.2, 67.8)","28.4 (27.9, 28.9)","40.9 (39.7, 42.1)","48.6 (47, 50.1)","50.2 (48.1, 52.2)","70.9 (69.5, 72.4)","32.1 (31.3, 33)","39.9 (38, 41.8)","57.2 (54.1, 60.4)","48 (44.8, 51.2)"
