residence,variable,estimate,lci,uci,type,est_ci,n,stratification,strata
Rural,htn_screened,67.7,67.3,68.1,Proportion,"67.7 (67.3, 68.1)",528070,,NA
Rural,htn_disease,43.1,42.8,43.4,Proportion,"43.1 (42.8, 43.4)",528070,,NA
Rural,htn_diagnosed,16.9,16.6,17.1,Proportion,"16.9 (16.6, 17.1)",528070,,NA
Rural,htn_treated,10.8,10.6,11,Proportion,"10.8 (10.6, 11)",528070,,NA
Rural,htn_controlled,4.2,4.1,4.3,Proportion,"4.2 (4.1, 4.3)",528070,,NA
Urban,htn_screened,82.2,81.6,82.8,Proportion,"82.2 (81.6, 82.8)",168695,,NA
Urban,htn_disease,49.6,49.1,50.2,Proportion,"49.6 (49.1, 50.2)",168695,,NA
Urban,htn_diagnosed,24.6,24.1,25.1,Proportion,"24.6 (24.1, 25.1)",168695,,NA
Urban,htn_treated,19,18.6,19.4,Proportion,"19 (18.6, 19.4)",168695,,NA
Urban,htn_controlled,7.8,7.5,8,Proportion,"7.8 (7.5, 8)",168695,,NA
Rural,htn_screened,71.3,70.8,71.7,Proportion,"71.3 (70.8, 71.7)",273017,sex,Female
Rural,htn_disease,44.6,44.2,44.9,Proportion,"44.6 (44.2, 44.9)",273017,sex,Female
Rural,htn_diagnosed,19.2,18.9,19.5,Proportion,"19.2 (18.9, 19.5)",273017,sex,Female
Rural,htn_treated,12.5,12.3,12.8,Proportion,"12.5 (12.3, 12.8)",273017,sex,Female
Rural,htn_controlled,4.8,4.7,5,Proportion,"4.8 (4.7, 5)",273017,sex,Female
Rural,htn_screened,63.9,63.4,64.3,Proportion,"63.9 (63.4, 64.3)",255053,sex,Male
Rural,htn_disease,41.5,41.2,41.9,Proportion,"41.5 (41.2, 41.9)",255053,sex,Male
Rural,htn_diagnosed,14.3,14.1,14.6,Proportion,"14.3 (14.1, 14.6)",255053,sex,Male
Rural,htn_treated,8.9,8.7,9.1,Proportion,"8.9 (8.7, 9.1)",255053,sex,Male
Rural,htn_controlled,3.5,3.3,3.6,Proportion,"3.5 (3.3, 3.6)",255053,sex,Male
Urban,htn_screened,84.7,84.1,85.4,Proportion,"84.7 (84.1, 85.4)",87965,sex,Female
Urban,htn_disease,50.6,50,51.2,Proportion,"50.6 (50, 51.2)",87965,sex,Female
Urban,htn_diagnosed,27.5,26.9,28.1,Proportion,"27.5 (26.9, 28.1)",87965,sex,Female
Urban,htn_treated,21.5,21,22,Proportion,"21.5 (21, 22)",87965,sex,Female
Urban,htn_controlled,9,8.7,9.3,Proportion,"9 (8.7, 9.3)",87965,sex,Female
Urban,htn_screened,79.4,78.7,80.1,Proportion,"79.4 (78.7, 80.1)",80730,sex,Male
Urban,htn_disease,48.5,47.8,49.2,Proportion,"48.5 (47.8, 49.2)",80730,sex,Male
Urban,htn_diagnosed,21.4,20.8,21.9,Proportion,"21.4 (20.8, 21.9)",80730,sex,Male
Urban,htn_treated,16.2,15.8,16.7,Proportion,"16.2 (15.8, 16.7)",80730,sex,Male
Urban,htn_controlled,6.5,6.2,6.8,Proportion,"6.5 (6.2, 6.8)",80730,sex,Male
