variable,group,Analytic,Excluded
bmi,NA,"24 (23.9, 24)","24 (23.1, 24.9)"
age,NA,"58.5 (58.5, 58.5)","57.9 (57.8, 58)"
highwc,NA,"51.9 (51.4, 52.4)","50.8 (42.8, 58.8)"
htn,NA,"45.2 (44.9, 45.4)",NA
highbp,NA,"36.9 (36.7, 37.1)",NA
diaghtn,NA,"57.2 (56.7, 57.6)",NA
htn_screened,NA,"72.3 (72, 72.7)","0 (0, 0)"
htn_disease,NA,"45.2 (44.9, 45.4)",NA
htn_diagnosed,NA,"19.3 (19.1, 19.5)",NA
htn_treated,NA,"13.4 (13.2, 13.6)",NA
htn_controlled,NA,"5.3 (5.2, 5.4)",NA
residence,Rural,"68.3 (67.5, 69.1)","54.7 (53.1, 56.3)"
residence,Urban,"31.7 (30.9, 32.5)","45.3 (43.7, 46.9)"
sex,Female,"52.3 (52.2, 52.4)","39 (38.6, 39.5)"
sex,Male,"47.7 (47.6, 47.8)","61 (60.5, 61.4)"
age_category,40-64,"72.7 (72.5, 72.9)","74.8 (74.3, 75.3)"
age_category,65 plus,"27.3 (27.1, 27.5)","25.2 (24.7, 25.7)"
age_category10,"[40,50)","22.1 (22, 22.3)","23.8 (23.3, 24.3)"
age_category10,"[50,60)","34.6 (34.4, 34.8)","36.2 (35.6, 36.7)"
age_category10,"[60,70)","27.5 (27.4, 27.7)","25.1 (24.6, 25.5)"
age_category10,"[70,80)","11.5 (11.3, 11.6)","10.3 (9.9, 10.6)"
age_category10,"[80,100]","4.3 (4.2, 4.4)","4.7 (4.5, 5)"
age_category5,"[45,50)","22.1 (22, 22.3)","23.8 (23.3, 24.3)"
age_category5,"[50,55)","17.6 (17.5, 17.7)","19.2 (18.8, 19.7)"
age_category5,"[55,60)","17 (16.9, 17.1)","16.9 (16.5, 17.4)"
age_category5,"[60,65)","16 (15.9, 16.1)","14.9 (14.5, 15.2)"
age_category5,"[65,70)","11.5 (11.4, 11.6)","10.2 (9.9, 10.5)"
age_category5,"[70,75)","7.6 (7.5, 7.7)","6.6 (6.4, 6.9)"
age_category5,"[75,80)","3.9 (3.8, 3.9)","3.6 (3.4, 3.8)"
age_category5,"[80,85)","2.4 (2.4, 2.5)","2.5 (2.3, 2.7)"
age_category5,"[85,90)","1.1 (1.1, 1.1)","1.1 (1, 1.2)"
age_category5,"[90,95)","0.5 (0.5, 0.5)","0.6 (0.6, 0.7)"
age_category5,"[95,100]","0.3 (0.3, 0.3)","0.5 (0.4, 0.5)"
education,Higher,"7 (6.8, 7.3)","13.6 (12.7, 14.4)"
education,No education,"44.9 (44.5, 45.3)","38.4 (37.5, 39.3)"
education,Primary,"18.1 (17.9, 18.3)","14.4 (14, 14.8)"
education,Secondary,"30 (29.7, 30.2)","33.6 (32.9, 34.3)"
caste,General,"28.7 (28.3, 29.2)","34.3 (33.2, 35.5)"
caste,OBC,"42.4 (42, 42.8)","40.4 (39.4, 41.3)"
caste,Schedule Caste,"20.1 (19.8, 20.5)","18.6 (18, 19.3)"
caste,Schedule Tribe,"8.8 (8.5, 9)","6.7 (6.3, 7.1)"
religion,Hindu,"83.5 (83.1, 83.9)","79.2 (78.2, 80.1)"
religion,Muslim,"10.6 (10.2, 10.9)","13.4 (12.6, 14.2)"
religion,Other,"5.9 (5.7, 6.1)","7.5 (6.8, 8.1)"
wealthq_ur,1,"18 (17.7, 18.3)","14.9 (14.3, 15.5)"
wealthq_ur,2,"18.7 (18.5, 18.9)","16.1 (15.5, 16.7)"
wealthq_ur,3,"19.9 (19.7, 20.1)","17.3 (16.7, 17.9)"
wealthq_ur,4,"21 (20.8, 21.3)","20.8 (20.1, 21.4)"
wealthq_ur,5,"22.3 (22, 22.7)","30.9 (29.8, 32.1)"
bmi_category,Underweight,"1.3 (1.3, 1.4)","0 (0, 0.1)"
bmi_category,Normal,"8 (7.9, 8.1)","0.2 (0.1, 0.2)"
bmi_category,Overweight,"3.8 (3.7, 3.9)","0.1 (0, 0.1)"
bmi_category,Obese,"1.4 (1.4, 1.5)","0.1 (0, 0.1)"
bmi_category,NA,"85.4 (85.3, 85.6)","99.6 (99.6, 99.7)"
